nbr_declaration,investissement_decalre,mois,gouvernorat,delegation,feuille
2,78895.0,ماي,القصرين,حاسي الفريد,SQL Results
1,82000.0,جانفي,تطاوين,الصمّار,SQL Results
1,64000.0,جانفي,قابس,مطماطة الجديدة,SQL Results
1,151881.0,ماي,نابل,قربة,SQL Results
4,1372177.0,جانفي,نابل,الهوارية,SQL Results
1,14000.0,أفريل,المهدية,بو مرداس,SQL Results
1,80016.0,ماي,قبلي,رجيم معتوق,SQL Results
1,100000.0,مارس,الكاف,ساقية سيدي يوسف,SQL Results
1,11800.0,مارس,الكاف,السرس,SQL Results
2,484000.0,ماي,المهدية,سيدي علوان,SQL Results
1,1850.0,جانفي,نابل,بني خيار,SQL Results
1,40879.0,مارس,منــوبة,البطان,SQL Results
1,13400.0,جانفي,مدنين,مدنين الشما لية,SQL Results
1,62733.0,ماي,قبلي,الفوار,SQL Results
1,124823.0,مارس,الكاف,قلعة سنان,SQL Results
1,19000.0,ماي,القيروان,منزل المهيري,SQL Results
1,58428.0,فيفري,جندوبة,فرنانة,SQL Results
1,132400.0,فيفري,القصرين,جدليان,SQL Results
1,76000.0,مارس,القيروان,الوسلاتية,SQL Results
4,1768378.0,جانفي,سيدي بوزيد,المكناسي,SQL Results
4,310863.0,أفريل,نابل,بني خيار,SQL Results
3,181483.0,فيفري,نابل,الميدة,SQL Results
4,308000.0,فيفري,المنستير,البقا لطة,SQL Results
9,1740800.0,مارس,بن عروس,مرناق,SQL Results
7,1864495.0,فيفري,بنزرت,غار الملح,SQL Results
9,958545.0,فيفري,صفاقس,عقارب,SQL Results
6,962920.0,أفريل,نابل,تاكلسة,SQL Results
3,184200.0,ماي,سليانة,قعفور,SQL Results
3,704000.0,ماي,المنستير,المكنين,SQL Results
3,847879.0,مارس,نابل,قرمبا لية,SQL Results
4,997254.0,مارس,توزر,دقاش,SQL Results
7,1112644.0,ماي,قفصة,قفصة الشما لية,SQL Results
2,217998.0,ماي,قفصة,قفصة الجنوبية,SQL Results
12,713925.0,أفريل,سليانة,مكثر,SQL Results
3,339607.0,أفريل,قفصة,بلخير,SQL Results
4,4065000.0,فيفري,بن عروس,المحمدية,SQL Results
2,240000.0,جانفي,سوسة,مساكن,SQL Results
4,722278.0,ماي,سليانة,سليانة الشما لية,SQL Results
1,43800.0,ماي,سليانة,برقو,SQL Results
2,352590.0,مارس,منــوبة,الجديدة,SQL Results
1,85687.0,مارس,بنزرت,جومين,SQL Results
5,746010.0,جانفي,منــوبة,برج العامري,SQL Results
3,431288.0,ماي,نابل,تاكلسة,SQL Results
3,327040.0,ماي,بنزرت,أوتيك,SQL Results
2,218000.0,مارس,المهدية,بو مرداس,SQL Results
4,262735.0,فيفري,سليانة,سليانة الجنوبية,SQL Results
3,247500.0,أفريل,المنستير,بني حسان,SQL Results
10,1299389.0,أفريل,باجة,مجاز الباب,SQL Results
2,969370.0,جانفي,منــوبة,البطان,SQL Results
2,339000.0,أفريل,صفاقس,الصخيرة,SQL Results
3,133607.0,مارس,بنزرت,راس الجبل,SQL Results
1,605000.0,جانفي,المنستير,بني حسان,SQL Results
2,103592.0,جانفي,سليانة,سيدي بورويس,SQL Results
3,1120056.0,ماي,نابل,الهوارية,SQL Results
1,135000.0,جانفي,قفصة,المتلوي,SQL Results
3,410000.0,جانفي,المهدية,السواسي,SQL Results
5,651547.0,جانفي,نابل,تاكلسة,SQL Results
1,70400.0,أفريل,سليانة,برقو,SQL Results
1,706880.0,مارس,بن عروس,حمام الأنف,SQL Results
1,850000.0,جانفي,المنستير,الوردانين,SQL Results
7,707640.0,أفريل,الكاف,تاجروين,SQL Results
4,384453.0,جانفي,قبلي,سوق الأحد,SQL Results
2,177800.0,فيفري,تطاوين,رمادة,SQL Results
6,987397.0,ماي,الكاف,القصور,SQL Results
3,429500.0,جانفي,باجة,قبلاط,SQL Results
2,147290.0,أفريل,قابس,مارث,SQL Results
3,273925.0,مارس,القيروان,حفوز,SQL Results
3,393950.0,جانفي,زغوان,الفحص,SQL Results
4,469037.0,مارس,سيدي بوزيد,جلمة,SQL Results
7,346255.0,ماي,قبلي,قبلي الجنوبية,SQL Results
3,192000.0,مارس,المهدية,الجم,SQL Results
4,328000.0,أفريل,المهدية,سيدي علوان,SQL Results
7,497000.0,جانفي,القيروان,القيروان الجنوبية,SQL Results
6,701880.0,فيفري,القصرين,سبيبة,SQL Results
8,3908496.0,مارس,القيروان,السبيخة,SQL Results
2,492000.0,ماي,سيدي بوزيد,الرقاب,SQL Results
9,936677.0,مارس,القيروان,سيدي علي نصرالله,SQL Results
8,195800.0,مارس,صفاقس,صفاقس المدينة,SQL Results
1,370000.0,جانفي,الكاف,الكاف الغربية,SQL Results
1,105942.0,جانفي,نابل,الحمامات,SQL Results
5,370386.0,أفريل,سيدي بوزيد,سبا لة أولاد عسكر,SQL Results
3,139047.0,أفريل,منــوبة,طبربة,SQL Results
4,417198.0,فيفري,الكاف,الدهماني,SQL Results
1,71000.0,مارس,جندوبة,جندوبة الشما لية,SQL Results
3,202855.0,فيفري,مدنين,بن قردان,SQL Results
9,1507000.0,جانفي,القيروان,الشبيكة,SQL Results
2,97900.0,جانفي,الكاف,الكاف الشرقية,SQL Results
1,42000.0,مارس,منــوبة,المرناقية,SQL Results
6,635688.0,ماي,قابس,المطوية,SQL Results
3,163000.0,مارس,القيروان,منزل المهيري,SQL Results
4,164950.0,ماي,قابس,منزل الحبيب,SQL Results
2,144400.0,أفريل,الكاف,الطويرف,SQL Results
1,77000.0,أفريل,الكاف,قلعة سنان,SQL Results
7,468058.0,مارس,القصرين,سبيبة,SQL Results
3,173460.0,مارس,باجة,تيبار,SQL Results
7,877559.0,فيفري,سيدي بوزيد,سيدي بوزيد الشرقية,SQL Results
1,64902.0,أفريل,باجة,تيبار,SQL Results
3,435832.0,أفريل,سيدي بوزيد,منزل بوزيان,SQL Results
3,632415.0,ماي,سيدي بوزيد,سبا لة أولاد عسكر,SQL Results
4,252952.0,فيفري,جندوبة,بلطة بوعوان,SQL Results
9,549642.0,جانفي,قبلي,قبلي الجنوبية,SQL Results
2,349440.0,أفريل,نابل,قربة,SQL Results
3,551366.0,مارس,سيدي بوزيد,المكناسي,SQL Results
5,281804.0,فيفري,جندوبة,غارالدماء,SQL Results
7,502025.0,فيفري,سيدي بوزيد,سيدي بوزيد الغربية,SQL Results
2,124476.0,أفريل,قفصة,زانوش,SQL Results
2,192546.0,أفريل,قبلي,سوق الأحد,SQL Results
1,130519.0,أفريل,قبلي,دوز الجنوبية,SQL Results
3,1555000.0,فيفري,المهدية,بو مرداس,SQL Results
2,202900.0,مارس,قابس,منزل الحبيب,SQL Results
1,179033.0,مارس,جندوبة,جندوبة,SQL Results
2,159843.0,ماي,سيدي بوزيد,جلمة,SQL Results
2,8613.0,ماي,جندوبة,طبرقة,SQL Results
2,170000.0,ماي,المهدية,أولاد الشامخ,SQL Results
2,146469.0,مارس,جندوبة,فرنانة,SQL Results
2,53820.0,فيفري,جندوبة,جندوبة الشما لية,SQL Results
4,337000.0,جانفي,القيروان,حاجب العيون,SQL Results
3,246781.0,ماي,قابس,مارث,SQL Results
3,234937.0,فيفري,قبلي,دوز الجنوبية,SQL Results
6,942200.0,أفريل,منــوبة,الجديدة,SQL Results
2,82136.0,أفريل,جندوبة,غارالدماء,SQL Results
1,73800.0,أفريل,نابل,حمام الغزاز,SQL Results
1,283800.0,أفريل,أريانة,رواد,SQL Results
1,98000.0,مارس,قفصة,الرديف,SQL Results
4,669000.0,مارس,المهدية,شربان,SQL Results
1,13089.0,فيفري,قابس,قابس المدينة,SQL Results
1,106948.0,أفريل,جندوبة,جندوبة الشما لية,SQL Results
2,1490000.0,أفريل,زغوان,الناظور,SQL Results
1,197441.0,مارس,نابل,بني خيار,SQL Results
1,98000.0,جانفي,جندوبة,جندوبة الشما لية,SQL Results
1,82600.0,فيفري,باجة,نفزة,SQL Results
4,358651.0,جانفي,صفاقس,بئر علي بن خليفة,SQL Results
3,337889.0,ماي,نابل,بني خيار,SQL Results
6,716382.0,مارس,نابل,الهوارية,SQL Results
5,3413440.0,مارس,باجة,باجة الجنوبية,SQL Results
9,1090600.0,جانفي,بن عروس,مرناق,SQL Results
10,935962.0,فيفري,صفاقس,منزل شاكر,SQL Results
2,1600000.0,مارس,المنستير,بني حسان,SQL Results
6,347375.0,مارس,قفصة,سيدي عيش,SQL Results
2,2717000.0,ماي,المنستير,طبلبة,SQL Results
7,1192531.0,جانفي,بنزرت,ماطر,SQL Results
5,295105.0,مارس,سليانة,سليانة الجنوبية,SQL Results
3,173500.0,أفريل,المنستير,صيادة لمطة بوحجر,SQL Results
2,450000.0,أفريل,المنستير,المكنين,SQL Results
6,315996.0,أفريل,سليانة,سليانة الجنوبية,SQL Results
1,39800.0,ماي,بنزرت,منزل بورقيبة,SQL Results
5,517730.0,فيفري,بنزرت,أوتيك,SQL Results
3,422900.0,أفريل,سوسة,مساكن,SQL Results
2,142000.0,مارس,سليانة,كسرى,SQL Results
2,504217.0,أفريل,سليانة,بوعرادة,SQL Results
1,100000.0,أفريل,المنستير,جمال,SQL Results
9,978738.0,أفريل,صفاقس,منزل شاكر,SQL Results
1,53000.0,مارس,المنستير,بنبلة,SQL Results
4,460000.0,مارس,سليانة,قعفور,SQL Results
2,430800.0,ماي,قفصة,سيدي عيش,SQL Results
2,103041.0,فيفري,سليانة,كسرى,SQL Results
1,355000.0,مارس,بن عروس,فوشانة,SQL Results
2,89383.0,جانفي,بنزرت,العا لية,SQL Results
1,31000.0,مارس,سوسة,كندار,SQL Results
3,341817.0,مارس,بنزرت,غار الملح,SQL Results
2,271100.0,أفريل,سليانة,العروسة,SQL Results
1,106780.0,ماي,قفصة,بلخير,SQL Results
1,26298.0,فيفري,نابل,سليمان,SQL Results
1,76000.0,ماي,المنستير,بني حسان,SQL Results
4,259837.0,فيفري,منــوبة,برج العامري,SQL Results
5,349428.0,جانفي,القصرين,القصرين الجنوبية,SQL Results
2,390000.0,أفريل,بنزرت,منزل بورقيبة,SQL Results
2,137982.0,ماي,قفصة,القصر,SQL Results
3,202000.0,فيفري,القيروان,منزل المهيري,SQL Results
9,736699.0,جانفي,مدنين,بن قردان,SQL Results
8,1664000.0,جانفي,القيروان,السبيخة,SQL Results
8,397497.0,أفريل,القصرين,ماجل با لعباس,SQL Results
14,1237815.0,جانفي,باجة,باجة الجنوبية,SQL Results
9,907806.0,مارس,سيدي بوزيد,الرقاب,SQL Results
4,196100.0,أفريل,القيروان,الشراردة,SQL Results
11,965929.0,أفريل,سيدي بوزيد,سيدي بوزيد الشرقية,SQL Results
3,444036.0,مارس,سيدي بوزيد,المزونة,SQL Results
7,3452903.0,جانفي,سيدي بوزيد,المزونة,SQL Results
7,1709000.0,فيفري,سيدي بوزيد,سيدي علي بن عون,SQL Results
7,473388.0,ماي,الكاف,السرس,SQL Results
2,564531.0,جانفي,جندوبة,بلطة بوعوان,SQL Results
3,150000.0,جانفي,المهدية,المهدية,SQL Results
1,4435.0,جانفي,زغوان,بئر مشارقة,SQL Results
4,513035.0,جانفي,قابس,المطوية,SQL Results
1,71000.0,مارس,القيروان,عين جلولة,SQL Results
2,47500.0,ماي,جندوبة,واد مليز,SQL Results
1,319100.0,أفريل,تطاوين,بني مهيرة,SQL Results
6,424582.0,مارس,زغوان,الفحص,SQL Results
4,4605751.0,مارس,زغوان,الناظور,SQL Results
7,615034.0,فيفري,سيدي بوزيد,جلمة,SQL Results
10,262806.0,مارس,القصرين,فوسانة,SQL Results
5,237053.0,فيفري,جندوبة,واد مليز,SQL Results
7,1128531.0,فيفري,قابس,المطوية,SQL Results
3,582500.0,أفريل,الكاف,ساقية سيدي يوسف,SQL Results
2,96400.0,فيفري,قفصة,أم  العرائس,SQL Results
3,15388.0,ماي,تطاوين,تطاوين الشما لية,SQL Results
11,673546.0,جانفي,باجة,باجة الشما لية,SQL Results
2,65100.0,أفريل,الكاف,الكاف الغربية,SQL Results
3,171279.0,جانفي,أريانة,قلعة الأندلس,SQL Results
4,444257.0,جانفي,قبلي,دوز الشما لية,SQL Results
3,105260.0,مارس,جندوبة,غارالدماء,SQL Results
1,734000.0,جانفي,سوسة,هرقلة,SQL Results
8,659243.0,جانفي,القصرين,سبيبة,SQL Results
4,396088.0,جانفي,سيدي بوزيد,أولاد حفوز,SQL Results
4,312285.0,مارس,سيدي بوزيد,السعيدة,SQL Results
6,1565949.0,جانفي,قابس,منزل الحبيب,SQL Results
2,70001.0,ماي,القصرين,تا لة,SQL Results
4,184400.0,فيفري,تطاوين,غمراسن,SQL Results
5,597894.0,مارس,مدنين,مدنين الجنوبية,SQL Results
1,52906.0,جانفي,نابل,بوعرقوب,SQL Results
6,641433.0,فيفري,قابس,الحامة,SQL Results
3,361490.0,أفريل,قابس,المطوية,SQL Results
3,446750.0,جانفي,الكاف,الطويرف,SQL Results
5,359600.0,ماي,باجة,مجاز الباب,SQL Results
1,6000.0,جانفي,تطاوين,الذهيبة,SQL Results
2,148465.0,ماي,مدنين,مدنين الشما لية,SQL Results
3,142000.0,أفريل,المهدية,أولاد الشامخ,SQL Results
1,96000.0,فيفري,المهدية,السواسي,SQL Results
4,419241.0,جانفي,بنزرت,غار الملح,SQL Results
3,124557.0,فيفري,الكاف,القصور,SQL Results
1,99320.0,جانفي,سيدي بوزيد,جلمة,SQL Results
3,209726.0,مارس,جندوبة,بلطة بوعوان,SQL Results
1,6000.0,جانفي,المهدية,بو مرداس,SQL Results
2,242000.0,أفريل,القيروان,منزل المهيري,SQL Results
4,232644.0,فيفري,سيدي بوزيد,منزل بوزيان,SQL Results
1,168679.0,أفريل,جندوبة,واد مليز,SQL Results
1,23275.0,ماي,قبلي,دوز الشما لية,SQL Results
2,117200.0,فيفري,المهدية,شربان,SQL Results
1,20888.0,فيفري,أريانة,أريانة المدينة,SQL Results
2,401000.0,ماي,سيدي بوزيد,السعيدة,SQL Results
1,61307.0,فيفري,صفاقس,العامرة,SQL Results
1,63162.0,مارس,صفاقس,ساقية الدائر,SQL Results
3,107515.0,مارس,نابل,سليمان,SQL Results
1,108349.0,مارس,نابل,منزل تميم,SQL Results
4,1039000.0,جانفي,المهدية,الشابة,SQL Results
1,15400.0,مارس,نابل,الحمامات,SQL Results
1,78951.0,ماي,تــونس,الكرم,SQL Results
2,188521.0,ماي,قابس,قابس الغربية,SQL Results
2,303250.0,أفريل,الكاف,الجريصة,SQL Results
1,149722.0,مارس,قابس,قابس الجنوبية,SQL Results
1,296000.0,فيفري,القيروان,سيدي علي نصرالله,SQL Results
12,2840863.0,جانفي,صفاقس,الصخيرة,SQL Results
7,992093.0,أفريل,سليانة,الكريب,SQL Results
3,265200.0,ماي,القصرين,سبيطلة,SQL Results
9,846638.0,مارس,بنزرت,سجنان,SQL Results
3,1629312.0,ماي,نابل,منزل تميم,SQL Results
3,389857.0,أفريل,زغوان,زغوان,SQL Results
4,2125308.0,أفريل,صفاقس,الحنشة,SQL Results
1,3517.0,جانفي,بنزرت,بنزرت الشما لية,SQL Results
2,177290.0,فيفري,سليانة,قعفور,SQL Results
1,44000.0,مارس,صفاقس,الغريبة,SQL Results
3,325352.0,أفريل,بنزرت,جرزونة,SQL Results
1,174800.0,ماي,قفصة,المتلوي,SQL Results
3,236100.0,مارس,سليانة,الكريب,SQL Results
1,41500.0,مارس,صفاقس,ساقية الزيت,SQL Results
6,1548840.0,مارس,باجة,مجاز الباب,SQL Results
3,277175.0,مارس,صفاقس,عقارب,SQL Results
2,265918.0,ماي,نابل,سليمان,SQL Results
2,530000.0,جانفي,سليانة,سليانة الشما لية,SQL Results
1,3500000.0,أفريل,توزر,تمغزة,SQL Results
1,100000.0,مارس,المنستير,الوردانين,SQL Results
1,129000.0,فيفري,بنزرت,تينجة,SQL Results
1,92329.0,أفريل,نابل,دار شعبان الفهري,SQL Results
1,1260000.0,جانفي,توزر,تمغزة,SQL Results
2,93253.0,أفريل,سوسة,القلعة الكبرى,SQL Results
1,76700.0,فيفري,بن عروس,المروج,SQL Results
2,207000.0,فيفري,المهدية,الجم,SQL Results
1,16182.0,أفريل,توزر,دقاش,SQL Results
4,1062700.0,جانفي,سليانة,الكريب,SQL Results
2,466975.0,ماي,بنزرت,سجنان,SQL Results
1,45543.0,مارس,نابل,حمام الغزاز,SQL Results
3,153600.0,ماي,المنستير,جمال,SQL Results
2,1769921.0,مارس,سوسة,النفيضة,SQL Results
3,972287.0,أفريل,باجة,قبلاط,SQL Results
10,1639314.0,أفريل,باجة,تستور,SQL Results
2,306000.0,أفريل,صفاقس,العامرة,SQL Results
1,190000.0,جانفي,سوسة,النفيضة,SQL Results
1,62000.0,جانفي,بنزرت,جومين,SQL Results
1,90000.0,ماي,المهدية,قصور الساف,SQL Results
7,2362266.0,مارس,سيدي بوزيد,سيدي بوزيد الشرقية,SQL Results
5,918000.0,أفريل,المهدية,الشابة,SQL Results
2,34119.0,مارس,بنزرت,جرزونة,SQL Results
1,87900.0,مارس,جندوبة,عين دراهم,SQL Results
7,125146.0,أفريل,باجة,باجة الجنوبية,SQL Results
8,966903.0,جانفي,القصرين,ماجل با لعباس,SQL Results
5,159862.0,جانفي,باجة,نفزة,SQL Results
8,542438.0,أفريل,الكاف,نبر,SQL Results
3,222506.0,أفريل,القصرين,سبيبة,SQL Results
2,292500.0,مارس,الكاف,تاجروين,SQL Results
5,341023.0,مارس,قابس,المطوية,SQL Results
15,1442130.0,مارس,القصرين,سبيطلة,SQL Results
1,83300.0,جانفي,مدنين,أجيم,SQL Results
10,935300.0,أفريل,سيدي بوزيد,بئر الحفي,SQL Results
7,431317.0,مارس,القيروان,الشراردة,SQL Results
4,459833.0,فيفري,جندوبة,بوسا لم,SQL Results
2,542192.0,فيفري,قفصة,القطار,SQL Results
3,446428.0,أفريل,سيدي بوزيد,سوق الجديد,SQL Results
8,2280820.0,فيفري,صفاقس,صفاقس المدينة,SQL Results
7,1133075.0,ماي,سيدي بوزيد,المزونة,SQL Results
10,981700.0,مارس,سيدي بوزيد,بئر الحفي,SQL Results
9,1304006.0,أفريل,سيدي بوزيد,سيدي علي بن عون,SQL Results
1,175500.0,مارس,سيدي بوزيد,سيدي علي بن عون,SQL Results
4,392000.0,أفريل,القيروان,سيدي عمر بوحجلة,SQL Results
2,213378.0,جانفي,سيدي بوزيد,منزل بوزيان,SQL Results
2,65433.0,مارس,باجة,تستور,SQL Results
8,1055721.0,ماي,جندوبة,جندوبة,SQL Results
1,12960.0,ماي,نابل,بني خلاد,SQL Results
7,648000.0,أفريل,المهدية,الجم,SQL Results
10,746874.0,أفريل,الكاف,الدهماني,SQL Results
1,1370000.0,أفريل,تــونس,حلق الوادي,SQL Results
3,439000.0,فيفري,القيروان,حفوز,SQL Results
3,329976.0,أفريل,القيروان,حفوز,SQL Results
4,592000.0,فيفري,المهدية,قصور الساف,SQL Results
2,201470.0,ماي,الكاف,الطويرف,SQL Results
3,445000.0,جانفي,القيروان,القيروان الشما لية,SQL Results
2,118402.0,جانفي,جندوبة,بوسا لم,SQL Results
5,394667.0,فيفري,قبلي,سوق الأحد,SQL Results
2,62365.0,أفريل,نابل,سليمان,SQL Results
8,505712.0,مارس,القصرين,فريانة,SQL Results
11,1026354.0,فيفري,قابس,مارث,SQL Results
1,62230.0,مارس,قبلي,دوز الجنوبية,SQL Results
4,1125000.0,مارس,المهدية,الشابة,SQL Results
4,455100.0,فيفري,تطاوين,الصمّار,SQL Results
4,265754.0,ماي,صفاقس,قرقنة,SQL Results
1,140000.0,فيفري,مدنين,سيدي مخلوف,SQL Results
2,123086.0,فيفري,زغوان,الناظور,SQL Results
3,223203.0,جانفي,مدنين,سيدي مخلوف,SQL Results
1,75000.0,مارس,المهدية,سيدي علوان,SQL Results
1,119000.0,جانفي,المهدية,ملولش,SQL Results
2,41000.0,ماي,تطاوين,غمراسن,SQL Results
1,60000.0,جانفي,منــوبة,طبربة,SQL Results
1,70000.0,جانفي,تطاوين,غمراسن,SQL Results
1,141600.0,ماي,زغوان,بئر مشارقة,SQL Results
1,40000.0,ماي,تطاوين,الصمّار,SQL Results
1,198000.0,مارس,تطاوين,الصمّار,SQL Results
2,136432.0,ماي,القصرين,فريانة,SQL Results
2,369886.0,مارس,توزر,الحامة,SQL Results
3,79314.0,جانفي,مدنين,بني خداش,SQL Results
2,265521.0,أفريل,قابس,الحامة,SQL Results
1,591430.0,مارس,جندوبة,طبرقة,SQL Results
2,517950.0,أفريل,القصرين,القصرين الشما لية,SQL Results
5,374288.0,مارس,القصرين,ماجل با لعباس,SQL Results
2,145252.0,ماي,سيدي بوزيد,سوق الجديد,SQL Results
3,291709.0,ماي,باجة,تستور,SQL Results
1,85900.0,ماي,باجة,نفزة,SQL Results
2,81015.0,فيفري,سيدي بوزيد,سوق الجديد,SQL Results
1,59240.0,جانفي,قبلي,الفوار,SQL Results
1,81200.0,ماي,تــونس,حلق الوادي,SQL Results
1,110298.0,جانفي,قبلي,قبلي الشما لية,SQL Results
1,88133.0,جانفي,نابل,نابل,SQL Results
2,73198.0,مارس,باجة,باجة الشما لية,SQL Results
1,210000.0,جانفي,أريانة,سيدي ثابت,SQL Results
1,1975.0,مارس,مدنين,حومة السوق,SQL Results
1,500000.0,مارس,نابل,نابل,SQL Results
1,108635.0,أفريل,جندوبة,طبرقة,SQL Results
1,12000.0,ماي,تطاوين,البئر الأحمر,SQL Results
3,195000.0,ماي,المهدية,السواسي,SQL Results
1,26000.0,ماي,مدنين,بني خداش,SQL Results
1,100000.0,جانفي,نابل,منزل تميم,SQL Results
1,11000000.0,مارس,زغوان,الزريبة,SQL Results
4,577180.0,جانفي,سوسة,كندار,SQL Results
11,2531160.0,جانفي,باجة,تستور,SQL Results
4,281726.0,أفريل,سليانة,سليانة الشما لية,SQL Results
5,664963.0,فيفري,بنزرت,منزل جميل,SQL Results
5,191711.0,أفريل,صفاقس,المحرس,SQL Results
1,94000.0,جانفي,قفصة,السند,SQL Results
3,123431.0,ماي,سليانة,الروحية,SQL Results
5,165126.0,فيفري,صفاقس,صفاقس الجنوبية,SQL Results
2,1610000.0,فيفري,المهدية,سيدي علوان,SQL Results
3,3725617.0,جانفي,نابل,قرمبا لية,SQL Results
4,224615.0,جانفي,نابل,قليبية,SQL Results
13,1605349.0,جانفي,صفاقس,منزل شاكر,SQL Results
5,321836.0,فيفري,صفاقس,الصخيرة,SQL Results
6,1611528.0,أفريل,نابل,بوعرقوب,SQL Results
6,4044174.0,أفريل,قفصة,سيدي عيش,SQL Results
6,563178.0,أفريل,بنزرت,أوتيك,SQL Results
10,1281300.0,جانفي,المنستير,طبلبة,SQL Results
4,310242.0,فيفري,سوسة,القلعة الكبرى,SQL Results
5,527338.0,فيفري,سليانة,الكريب,SQL Results
1,67984.0,جانفي,سليانة,العروسة,SQL Results
5,694100.0,ماي,بنزرت,ماطر,SQL Results
4,732732.0,مارس,بنزرت,الغزالة,SQL Results
1,29312.0,ماي,بنزرت,جرزونة,SQL Results
10,3001950.0,جانفي,القصرين,فوسانة,SQL Results
2,589009.0,أفريل,بنزرت,جومين,SQL Results
1,18654.0,فيفري,نابل,الحمامات,SQL Results
3,479183.0,فيفري,نابل,قربة,SQL Results
6,725672.0,أفريل,صفاقس,صفاقس الجنوبية,SQL Results
1,52000.0,فيفري,سوسة,سيدي الهاني,SQL Results
7,1856238.0,مارس,مدنين,جرجيس,SQL Results
2,719940.0,ماي,منــوبة,طبربة,SQL Results
2,559795.0,ماي,صفاقس,جبنيانة,SQL Results
5,4657136.0,جانفي,زغوان,زغوان,SQL Results
4,684781.0,مارس,قفصة,بلخير,SQL Results
1,112000.0,مارس,قفصة,القصر,SQL Results
1,100000.0,أفريل,صفاقس,الغريبة,SQL Results
1,75000.0,جانفي,قفصة,الرديف,SQL Results
3,623627.0,مارس,نابل,تاكلسة,SQL Results
1,100400.0,ماي,صفاقس,المحرس,SQL Results
5,426946.0,أفريل,مدنين,مدنين الشما لية,SQL Results
3,928195.0,فيفري,زغوان,الفحص,SQL Results
6,1256961.0,ماي,سيدي بوزيد,المكناسي,SQL Results
3,551325.0,مارس,باجة,تبرسق,SQL Results
2,304919.0,ماي,زغوان,زغوان,SQL Results
2,102600.0,جانفي,الكاف,القصور,SQL Results
5,377129.0,ماي,سيدي بوزيد,سيدي بوزيد الغربية,SQL Results
5,366693.0,أفريل,سيدي بوزيد,سيدي بوزيد الغربية,SQL Results
4,182879.0,فيفري,جندوبة,طبرقة,SQL Results
8,1358259.0,ماي,الكاف,الدهماني,SQL Results
27,2384709.0,فيفري,القصرين,سبيطلة,SQL Results
5,1554499.0,مارس,قبلي,قبلي الجنوبية,SQL Results
4,468279.0,أفريل,القيروان,حاجب العيون,SQL Results
2,183087.0,ماي,جندوبة,فرنانة,SQL Results
3,559000.0,جانفي,تطاوين,رمادة,SQL Results
1,159232.0,مارس,منــوبة,واد الليل,SQL Results
3,178900.0,فيفري,مدنين,أجيم,SQL Results
1,123000.0,جانفي,المهدية,قصور الساف,SQL Results
2,256000.0,مارس,الكاف,الكاف الشرقية,SQL Results
6,1176701.0,مارس,سيدي بوزيد,سبا لة أولاد عسكر,SQL Results
5,641790.0,جانفي,سيدي بوزيد,سبا لة أولاد عسكر,SQL Results
3,333000.0,ماي,المهدية,هبيرة,SQL Results
4,410349.0,فيفري,زغوان,زغوان,SQL Results
1,95500.0,جانفي,جندوبة,غارالدماء,SQL Results
4,271000.0,جانفي,القيروان,سيدي علي نصرالله,SQL Results
6,602425.0,فيفري,القصرين,ماجل با لعباس,SQL Results
1,63162.0,مارس,صفاقس,العامرة,SQL Results
5,758516.0,أفريل,قابس,منزل الحبيب,SQL Results
1,7100.0,جانفي,توزر,حزوة,SQL Results
6,435267.0,فيفري,القصرين,القصرين الجنوبية,SQL Results
1,4000.0,مارس,المنستير,الساحلين,SQL Results
4,4628000.0,أفريل,المهدية,المهدية,SQL Results
6,380500.0,جانفي,المهدية,الجم,SQL Results
8,831679.0,فيفري,سيدي بوزيد,أولاد حفوز,SQL Results
4,141100.0,أفريل,جندوبة,فرنانة,SQL Results
4,390300.0,مارس,القصرين,العيون,SQL Results
2,161920.0,جانفي,قابس,قابس المدينة,SQL Results
2,186756.0,جانفي,قابس,الحامة,SQL Results
4,1569739.0,ماي,قبلي,قبلي الشما لية,SQL Results
8,1798415.0,ماي,الكاف,الكاف الغربية,SQL Results
5,259214.0,فيفري,القصرين,حاسي الفريد,SQL Results
6,567500.0,ماي,الكاف,ساقية سيدي يوسف,SQL Results
3,891000.0,مارس,قابس,الحامة,SQL Results
2,112178.0,مارس,صفاقس,جبنيانة,SQL Results
7,1611687.0,جانفي,مدنين,مدنين الجنوبية,SQL Results
4,261879.0,جانفي,تــونس,تونس المدينة,SQL Results
2,174819.0,أفريل,قبلي,قبلي الشما لية,SQL Results
1,123000.0,ماي,باجة,تبرسق,SQL Results
1,417000.0,أفريل,نابل,بني خلاد,SQL Results
1,7800.0,جانفي,الكاف,نبر,SQL Results
1,62981.0,ماي,صفاقس,ساقية الزيت,SQL Results
1,59259.0,أفريل,تــونس,الكرم,SQL Results
1,235000.0,مارس,أريانة,المنيهلة,SQL Results
1,144000.0,فيفري,توزر,حزوة,SQL Results
2,160560.0,ماي,مدنين,سيدي مخلوف,SQL Results
1,63282.0,ماي,مدنين,حومة السوق,SQL Results
1,63162.0,مارس,قابس,غنوش,SQL Results
1,26456.0,جانفي,مدنين,حومة السوق,SQL Results
