annee,auteur_affil,isn,langue,m_coll_auteur,m_lieu_edition,m_titre_orig,projet_develop,resume,titre,source,feuille
2011.0,INAT,14147,(FR),INAT,Tunis,"Effets des amendements organiques (Margine, fumier ovin, fumier camelin et compost) sur propriétés chimiques des sols des régions arides (El Fjè, Dar Dhaoui, gouvernorat de Médenine)\n",,,"Effets des amendements organiques (Margine, fumier ovin, fumier camelin et compost) sur propriétés chimiques des sols des régions arides (El Fjè, Dar Dhaoui, gouvernorat de Médenine)\n",CD:448*ONAGRI,Feuil1
2012.0,INAT,14200,(FR),INAT,Tunis,Essai d'explication de la performance des associations d'irrigants : Gouvernorat de Nabeul\n,,,Essai d'explication de la performance des associations d'irrigants : Gouvernorat de Nabeul\n,CD:501*ONAGRI,Feuil1
2010.0,INAT,14156,(FR),INAT,Tunis,Essai d'utilisation des argiles minéralogiques pour la fertilisation potassique des sols\n,,,Essai d'utilisation des argiles minéralogiques pour la fertilisation potassique des sols\n,CD:456*ONAGRI,Feuil1
2013.0,INAT,14312,(FR),INAT,Tunis,Estimation régionale de l'évapotranspiration sur la plaine de Kairouan (Tunisie) à partir de données satellites multi-capteurs,,/THESE//TELEDETECTION/OPTIQUE ET/TELEDETECTION/ OPTIQUE/EVAPOTRANSPIRATION/SECHERESSE/DYNAMIQUE VEGETATION,Estimation régionale de l'évapotranspiration sur la plaine de Kairouan (Tunisie) à partir de données satellites multi-capteurs,CD:313*ONAGRI,Feuil1
2011.0,INAT,14132,(FR),INAT,Tunis,Etude comparée de la croissance des agneaux des différentes races ovines à viande tunisiennes et de ses facteurs de variation\n,,,Etude comparée de la croissance des agneaux des différentes races ovines à viande tunisiennes et de ses facteurs de variation\n,CD:433*ONAGRI,Feuil1
2005.0,"Mannai,Y",11604,(FR),INAT,Tunis,"Etude de la dormance des differents types de bourgeons chez deux varietés de pommier  ( Malus communis L. ) "" GOLDEN DELICIOUS "" et  "" ANNA """,,/MEMOIRE D'ETUDE//DORMANCE//BOURGEON//POMMIER//MALUS/ COMMUNIS L.,"Etude de la dormance des differents types de bourgeons chez deux varietés de pommier  ( Malus communis L. ) "" GOLDEN DELICIOUS "" et  "" ANNA """,,Feuil1
2012.0,INAT,14135,(FR),INAT,Tunis,Etude de la variabilité génétique d'une collection de blé dur (Triticum durum Desf.\n,,,Etude de la variabilité génétique d'une collection de blé dur (Triticum durum Desf.\n,CD:436*ONAGRI,Feuil1
2012.0,INAT,14146,(FR),INAT,Tunis,Etude des paramètres des courbes de lactation des caractères de la production laitière de la vache Holstein\n,,,Etude des paramètres des courbes de lactation des caractères de la production laitière de la vache Holstein\n,CD:447*ONAGRI,Feuil1
2011.0,RIAHI; A,14143,(FR),INAT,Tunis,Etude du spermogramme et des paramètres cinétiques de la semence des taureaux Holstein de Sidi Thabet et leur effet sur le taux de non retour en chaleur des vaches locales croisée des petits éleveurs au gouvernorat de Nabeul.\n,,,Etude du spermogramme et des paramètres cinétiques de la semence des taureaux Holstein de Sidi Thabet et leur effet sur le taux de non retour en chaleur des vaches locales croisée des petits éleveurs au gouvernorat de Nabeul.\n,CD:444*ONAGRI,Feuil1
2012.0,"Jouini,K",13173,(FR),ENMV,Sidi Thabet,Etude épidemiologique de la cryptospoporidiose bovine dans des elevages extensifs.,,/THESE//MEDECINE VETERINAIRE//BOVIN//PATHOLOGIE ANIMALE//APPAREIL DIGESTIF/,Etude épidemiologique de la cryptospoporidiose bovine dans des elevages extensifs.,Birsa.agrinet.Tn/Bibliothéque l'onagri,Feuil1
2007.0,"Barhoumi, L.",11991,(FR),INAT,Tunis,Evaluation à mi-parcours des impacts d'un plan de développement communautaire élaboré par l'ODESYPANO: cas du PDC d'Ouled Ghanem,,/MEMOIRE D'ETUDE//DEVELOPPEMENT RURAL//PARTICIPATION SOCIALE//JOUMINE/,Evaluation à mi-parcours des impacts d'un plan de développement communautaire élaboré par l'ODESYPANO: cas du PDC d'Ouled Ghanem,,Feuil1
2011.0,INAT,14138,(FR),INAT,Tunis,Evaluation de la qualité microbiologique des fruits issus de l'irrigation par les eaux usées traitées dans le périmètre de EL Ourdanine (Monastir)\n,,,Evaluation de la qualité microbiologique des fruits issus de l'irrigation par les eaux usées traitées dans le périmètre de EL Ourdanine (Monastir)\n,CD:439*ONAGRI,Feuil1
2012.0,INAT,14136,(FR),INAT,Tunis,EVALUATION DE SIX GENOTYPES DE TOURNESOL (Helianthus annuus L.) EN CONDITION HYDRIQUE LIMITANTE\n,,,EVALUATION DE SIX GENOTYPES DE TOURNESOL (Helianthus annuus L.) EN CONDITION HYDRIQUE LIMITANTE\n,CD:437*ONAGRI,Feuil1
2012.0,INAT,14201,(FR),INAT,Tunis,"Extraction, caractérisation et valorisation de l'huile essentielle de Ruta chalepensis L.\n",,,"Extraction, caractérisation et valorisation de l'huile essentielle de Ruta chalepensis L.\n",CD:502*ONAGRI,Feuil1
1983.0,"FAC. SCIENCES AGRONOMIQUES, GEMBLOUX (BE) OEP",4059,(FR),"FAC. SCIENCES AGRONOMIQUES, GEMBLOUX (BE) OEP",Tunis,Ferme modèle et démonstrative de Frétissa,,"/Rapport d'activité/ concern. la /ferme pilote/ de /Frétissa/ - Données concernant la /climatologie/, la /mécanisation de l'agriculture/. Données sur l/experimentation/ en /grandes cultures/ et essais de variétés en /blé/, /orge/, /pois chiche/, /triticale/, /vesce/, /pois/, /fèverole/, /avoine/. Essais d/herbicide/, d/engrais/",Ferme modèle et démonstrative de Frétissa,http://www.onagri.tn/uploads/docagri/4059N.PDF,Feuil1
