nbr,inv,emp,gouv,delegation,annee_doa,feuille
13,954029,25,تطاوين,الصمّار,2012,SQL Results
6,259245,8,بنزرت,العا لية,2012,SQL Results
2,75473,2,صفاقس,العامرة,2012,SQL Results
3,368000,4,سليانة,العروسة,2012,SQL Results
4,135000,4,القيروان,العلا,2012,SQL Results
12,561119,13,القصرين,العيون,2012,SQL Results
10,494274,10,صفاقس,الغريبة,2012,SQL Results
11,2136086,20,بنزرت,الغزالة,2012,SQL Results
5,262102,5,قبلي,الفوار,2012,SQL Results
10,1481351,18,قفصة,القصر,2012,SQL Results
46,2376253,61,القصرين,القصرين الجنوبية,2012,SQL Results
2,1420000,5,القصرين,القصرين الشما لية,2012,SQL Results
53,3725335,58,الكاف,القصور,2012,SQL Results
5,285132,5,قفصة,القطار,2012,SQL Results
1,74000,1,سوسة,القلعة الصغرى,2012,SQL Results
11,11350000,54,سوسة,القلعة الكبرى,2012,SQL Results
43,2791000,49,القيروان,القيروان الجنوبية,2012,SQL Results
13,1061000,16,القيروان,القيروان الشما لية,2012,SQL Results
26,1022950,26,الكاف,الكاف الشرقية,2012,SQL Results
16,554935,15,الكاف,الكاف الغربية,2012,SQL Results
1,61500,1,تــونس,الكرم,2012,SQL Results
4,2590000,11,سليانة,الكريب,2012,SQL Results
10,1240241,16,صفاقس,المحرس,2012,SQL Results
12,11773900,23,بن عروس,المحمدية,2012,SQL Results
4,742000,6,بن عروس,المدينة الجديدة,2012,SQL Results
7,1357770,17,منــوبة,المرناقية,2012,SQL Results
31,9291117,35,سيدي بوزيد,المزونة,2012,SQL Results
13,1844456,17,قابس,المطوية,2012,SQL Results
20,1959894,27,سيدي بوزيد,المكناسي,2012,SQL Results
13,5400200,7,المنستير,المكنين,2012,SQL Results
12,2122690,14,المنستير,المنستير,2012,SQL Results
2,253532,2,أريانة,المنيهلة,2012,SQL Results
22,49134000,63,المهدية,المهدية,2012,SQL Results
5,125707,5,نابل,الميدة,2012,SQL Results
4,135016,5,زغوان,الناظور,2012,SQL Results
2,137000,2,سوسة,النفيضة,2012,SQL Results
10,5108220,31,نابل,الهوارية,2012,SQL Results
5,492200,5,المنستير,الوردانين,2012,SQL Results
7,337000,8,القيروان,الوسلاتية,2012,SQL Results
34,4044306,47,سيدي بوزيد,بئر الحفي,2012,SQL Results
9,956400,10,صفاقس,بئر علي بن خليفة,2012,SQL Results
10,1470554,14,زغوان,بئر مشارقة,2012,SQL Results
17,6176061,17,باجة,باجة الجنوبية,2012,SQL Results
36,15200991,52,باجة,باجة الشما لية,2012,SQL Results
10,2351814,13,منــوبة,برج العامري,2012,SQL Results
2,225864,3,قفصة,بلخير,2012,SQL Results
15,546330,15,جندوبة,بلطة بوعوان,2012,SQL Results
12,3180500,12,مدنين,بن قردان,2012,SQL Results
5,407300,2,المنستير,بنبلة,2012,SQL Results
23,24998426,25,بنزرت,بنزرت الجنوبية,2012,SQL Results
2,8100,0,المنستير,بني حسان,2012,SQL Results
11,2658620,16,مدنين,بني خداش,2012,SQL Results
4,223670,5,نابل,بني خلاد,2012,SQL Results
12,22468980,22,نابل,بني خيار,2012,SQL Results
6,349000,6,المهدية,بو مرداس,2012,SQL Results
47,58964501,64,جندوبة,بوسا لم,2012,SQL Results
7,171477,7,نابل,بوعرقوب,2012,SQL Results
9,2970000,18,سوسة,بوفيشة,2012,SQL Results
24,980762,25,القصرين,تا لة,2012,SQL Results
14,559280,14,الكاف,تاجروين,2012,SQL Results
16,4136302,22,نابل,تاكلسة,2012,SQL Results
9,601683,9,باجة,تبرسق,2012,SQL Results
12,760813,12,باجة,تستور,2012,SQL Results
5,419488,10,تطاوين,تطاوين الجنوبية,2012,SQL Results
15,1886823,35,تطاوين,تطاوين الشما لية,2012,SQL Results
2,132692,2,توزر,تمغزة,2012,SQL Results
9,432341,2,توزر,توزر,2012,SQL Results
1,2000,1,تــونس,تونس المدينة,2012,SQL Results
1,171500,1,باجة,تيبار,2012,SQL Results
5,326057,5,صفاقس,جبنيانة,2012,SQL Results
7,377943,9,القصرين,جدليان,2012,SQL Results
29,5689502,74,مدنين,جرجيس,2012,SQL Results
1,150733,7,بنزرت,جرزونة,2012,SQL Results
31,3398956,35,سيدي بوزيد,جلمة,2012,SQL Results
6,199500,5,المنستير,جمال,2012,SQL Results
37,5097865,44,جندوبة,جندوبة,2012,SQL Results
32,10610489,32,جندوبة,جندوبة الشما لية,2012,SQL Results
15,883013,18,بنزرت,جومين,2012,SQL Results
22,1553000,26,القيروان,حاجب العيون,2012,SQL Results
8,248448,9,القصرين,حاسي الفريد,2012,SQL Results
1,57000,2,توزر,حزوة,2012,SQL Results
19,1135000,23,القيروان,حفوز,2012,SQL Results
30,1342800,40,تــونس,حلق الوادي,2012,SQL Results
1,74000,2,بن عروس,حمام الأنف,2012,SQL Results
10,6983998,24,نابل,حمام الغزاز,2012,SQL Results
4,140779,4,مدنين,حومة السوق,2012,SQL Results
2,57276,2,القصرين,حيدرة,2012,SQL Results
5,307534,5,نابل,دار شعبان الفهري,2012,SQL Results
5,255348,5,قبلي,دوز الجنوبية,2012,SQL Results
4,235541,4,قبلي,دوز الشما لية,2012,SQL Results
2,148000,2,بن عروس,رادس,2012,SQL Results
5,456818,7,بنزرت,راس الجبل,2012,SQL Results
7,962140,21,تطاوين,رمادة,2012,SQL Results
5,8004200,7,أريانة,رواد,2012,SQL Results
6,3465300,11,المنستير,زرمدين,2012,SQL Results
19,43535404,44,زغوان,زغوان,2012,SQL Results
2,56565,2,صفاقس,ساقية الدائر,2012,SQL Results
7,7240000,13,صفاقس,ساقية الزيت,2012,SQL Results
35,1664100,35,الكاف,ساقية سيدي يوسف,2012,SQL Results
19,1418161,23,سيدي بوزيد,سبا لة أولاد عسكر,2012,SQL Results
46,3262056,68,القصرين,سبيبة,2012,SQL Results
80,4513504,114,القصرين,سبيطلة,2012,SQL Results
7,399627,8,بنزرت,سجنان,2012,SQL Results
3,489000,4,سليانة,سليانة الجنوبية,2012,SQL Results
3,352000,3,سليانة,سليانة الشما لية,2012,SQL Results
26,26860867,51,نابل,سليمان,2012,SQL Results
1,32500,1,سوسة,سوسة الرياض,2012,SQL Results
2,179000,5,سوسة,سوسة المدينة,2012,SQL Results
9,603136,10,قبلي,سوق الأحد,2012,SQL Results
16,1725588,20,سيدي بوزيد,سوق الجديد,2012,SQL Results
2,73000,2,سوسة,سيدي الهاني,2012,SQL Results
45,9442257,57,سيدي بوزيد,سيدي بوزيد الشرقية,2012,SQL Results
43,2048156,44,سيدي بوزيد,سيدي بوزيد الغربية,2012,SQL Results
5,468000,8,سوسة,سيدي بوعلي,2012,SQL Results
1,2000,1,أريانة,سيدي ثابت,2012,SQL Results
1,49800,1,تــونس,سيدي حسين,2012,SQL Results
8,2049000,21,المهدية,سيدي علوان,2012,SQL Results
27,3374900,35,سيدي بوزيد,سيدي علي بن عون,2012,SQL Results
11,554000,11,القيروان,سيدي علي نصرالله,2012,SQL Results
95,1919000,99,القيروان,سيدي عمر بوحجلة,2012,SQL Results
24,11928582,39,قفصة,سيدي عيش,2012,SQL Results
8,528668,10,مدنين,سيدي مخلوف,2012,SQL Results
11,1862000,13,المهدية,شربان,2012,SQL Results
27,74183905,239,صفاقس,صفاقس المدينة,2012,SQL Results
2,74322,2,زغوان,صواف,2012,SQL Results
4,160200,19,المنستير,صيادة لمطة بوحجر,2012,SQL Results
17,5872017,21,منــوبة,طبربة,2012,SQL Results
5,347792,6,جندوبة,طبرقة,2012,SQL Results
37,56031000,90,المنستير,طبلبة,2012,SQL Results
6,5340000,8,صفاقس,طينة,2012,SQL Results
11,2114167,13,صفاقس,عقارب,2012,SQL Results
6,242860,6,باجة,عمدون,2012,SQL Results
3,99445,3,جندوبة,عين دراهم,2012,SQL Results
12,18577895,22,بنزرت,غار الملح,2012,SQL Results
11,807027,11,جندوبة,غارالدماء,2012,SQL Results
3,235583,4,تطاوين,غمراسن,2012,SQL Results
5,169265,5,قابس,غنوش,2012,SQL Results
11,434388,11,جندوبة,فرنانة,2012,SQL Results
21,1008828,28,القصرين,فريانة,2012,SQL Results
135,5745469,168,القصرين,فوسانة,2012,SQL Results
1,104000,1,بن عروس,فوشانة,2012,SQL Results
18,1581933,25,قابس,قابس الجنوبية,2012,SQL Results
1,135855,2,قابس,قابس الغربية,2012,SQL Results
3,98334,3,قابس,قابس المدينة,2012,SQL Results
19,19606080,30,باجة,قبلاط,2012,SQL Results
16,1345946,26,قبلي,قبلي الجنوبية,2012,SQL Results
6,276378,6,قبلي,قبلي الشما لية,2012,SQL Results
21,8927530,31,نابل,قربة,2012,SQL Results
1,51700,1,تــونس,قرطاج,2012,SQL Results
11,297003,11,صفاقس,قرقنة,2012,SQL Results
25,3729972,33,نابل,قرمبا لية,2012,SQL Results
7,899000,8,المهدية,قصور الساف,2012,SQL Results
15,2830710,20,قفصة,قفصة الجنوبية,2012,SQL Results
84,19552389,134,قفصة,قفصة الشما لية,2012,SQL Results
13,786880,13,أريانة,قلعة الأندلس,2012,SQL Results
18,421675,18,الكاف,قلعة الخصبة,2012,SQL Results
13,416200,13,الكاف,قلعة سنان,2012,SQL Results
7,315005,8,نابل,قليبية,2012,SQL Results
3,216200,3,سوسة,كندار,2012,SQL Results
17,949714,21,القصرين,ماجل با لعباس,2012,SQL Results
11,823627,15,قابس,مارث,2012,SQL Results
16,6643459,23,بنزرت,ماطر,2012,SQL Results
29,3524551,41,باجة,مجاز الباب,2012,SQL Results
13,1320800,24,مدنين,مدنين الجنوبية,2012,SQL Results
6,940000,10,مدنين,مدنين الشما لية,2012,SQL Results
72,17814320,90,بن عروس,مرناق,2012,SQL Results
9,55221500,111,سوسة,مساكن,2012,SQL Results
3,1278000,3,قابس,مطماطة,2012,SQL Results
8,850350,9,قابس,مطماطة الجديدة,2012,SQL Results
2,64000,2,بن عروس,مقرين,2012,SQL Results
9,5829300,11,المهدية,ملولش,2012,SQL Results
11,1157923,13,قابس,منزل الحبيب,2012,SQL Results
8,8885785,9,بنزرت,منزل بورقيبة,2012,SQL Results
7,333679,8,نابل,منزل بوزلفة,2012,SQL Results
11,791361,12,سيدي بوزيد,منزل بوزيان,2012,SQL Results
10,525177,12,نابل,منزل تميم,2012,SQL Results
5,308415,7,بنزرت,منزل جميل,2012,SQL Results
15,2634785,17,صفاقس,منزل شاكر,2012,SQL Results
2,102656,3,منــوبة,منوبة,2012,SQL Results
1,39107,1,مدنين,ميدون,2012,SQL Results
4,229373,5,نابل,نابل,2012,SQL Results
48,2019840,47,الكاف,نبر,2012,SQL Results
10,611946,10,باجة,نفزة,2012,SQL Results
2,188670,3,توزر,نفطة,2012,SQL Results
13,4023000,14,المهدية,هبيرة,2012,SQL Results
5,1214293,6,منــوبة,واد الليل,2012,SQL Results
16,678046,17,جندوبة,واد مليز,2012,SQL Results
8,683574,13,زغوان,الفحص,2013,SQL Results
5,2537600,10,أريانة,أريانة المدينة,2013,SQL Results
4,633000,5,سوسة,أكودة,2013,SQL Results
35,7415063,51,قفصة,أم  العرائس,2013,SQL Results
27,5023242,25,بنزرت,أوتيك,2013,SQL Results
14,6284000,17,المهدية,أولاد الشامخ,2013,SQL Results
43,4153043,46,سيدي بوزيد,أولاد حفوز,2013,SQL Results
1,126500,3,تطاوين,البئر الأحمر,2013,SQL Results
13,3217403,17,منــوبة,البطان,2013,SQL Results
9,1119500,7,المنستير,البقا لطة,2013,SQL Results
29,9477933,39,منــوبة,الجديدة,2013,SQL Results
6,237200,6,الكاف,الجريصة,2013,SQL Results
9,2451000,21,المهدية,الجم,2013,SQL Results
23,18881245,39,قابس,الحامة,2013,SQL Results
2,57768,2,نابل,الحمامات,2013,SQL Results
4,240579,5,صفاقس,الحنشة,2013,SQL Results
27,1102512,27,الكاف,الدهماني,2013,SQL Results
2,161184,3,قفصة,الرديف,2013,SQL Results
145,28940398,190,سيدي بوزيد,الرقاب,2013,SQL Results
1,150000,2,سليانة,الروحية,2013,SQL Results
1,73806,1,زغوان,الزريبة,2013,SQL Results
2,31700,0,المنستير,الساحلين,2013,SQL Results
36,1862000,39,القيروان,السبيخة,2013,SQL Results
32,1521098,34,الكاف,السرس,2013,SQL Results
22,2905522,36,قفصة,السند,2013,SQL Results
10,1442000,17,المهدية,السواسي,2013,SQL Results
7,1468000,9,تــونس,السيجومي,2013,SQL Results
25,22407000,52,المهدية,الشابة,2013,SQL Results
23,1891258,25,القيروان,الشبيكة,2013,SQL Results
15,860616,16,القيروان,الشراردة,2013,SQL Results
11,784838,11,صفاقس,الصخيرة,2013,SQL Results
12,2276593,22,تطاوين,الصمّار,2013,SQL Results
4,209832,4,بنزرت,العا لية,2013,SQL Results
3,918664,4,صفاقس,العامرة,2013,SQL Results
7,2656000,15,سليانة,العروسة,2013,SQL Results
7,345000,7,القيروان,العلا,2013,SQL Results
11,566644,13,القصرين,العيون,2013,SQL Results
5,299350,5,صفاقس,الغريبة,2013,SQL Results
13,908806,12,بنزرت,الغزالة,2013,SQL Results
16,1074646,16,قبلي,الفوار,2013,SQL Results
8,561344,7,قفصة,القصر,2013,SQL Results
45,1571499,53,القصرين,القصرين الجنوبية,2013,SQL Results
4,492027,7,القصرين,القصرين الشما لية,2013,SQL Results
24,775467,24,الكاف,القصور,2013,SQL Results
7,691153,11,قفصة,القطار,2013,SQL Results
10,781000,11,سوسة,القلعة الكبرى,2013,SQL Results
28,2294600,48,القيروان,القيروان الجنوبية,2013,SQL Results
13,86428000,52,القيروان,القيروان الشما لية,2013,SQL Results
23,12399523,26,الكاف,الكاف الشرقية,2013,SQL Results
14,682180,14,الكاف,الكاف الغربية,2013,SQL Results
4,7370000,5,سليانة,الكريب,2013,SQL Results
2,151392,2,قفصة,المتلوي,2013,SQL Results
14,7099115,25,صفاقس,المحرس,2013,SQL Results
2,228000,3,بن عروس,المحمدية,2013,SQL Results
2,115000,3,بن عروس,المدينة الجديدة,2013,SQL Results
1,13770,1,تــونس,المرسى,2013,SQL Results
10,2229114,12,منــوبة,المرناقية,2013,SQL Results
23,5438274,27,سيدي بوزيد,المزونة,2013,SQL Results
14,13953254,23,قابس,المطوية,2013,SQL Results
20,2865378,24,سيدي بوزيد,المكناسي,2013,SQL Results
13,1849600,9,المنستير,المكنين,2013,SQL Results
12,2934767,13,المنستير,المنستير,2013,SQL Results
11,5940000,42,المهدية,المهدية,2013,SQL Results
9,1534089,12,نابل,الميدة,2013,SQL Results
7,20779456,21,زغوان,الناظور,2013,SQL Results
7,447500,8,سوسة,النفيضة,2013,SQL Results
9,398999,9,نابل,الهوارية,2013,SQL Results
6,74100,0,المنستير,الوردانين,2013,SQL Results
15,1363000,15,القيروان,الوسلاتية,2013,SQL Results
40,4675370,44,سيدي بوزيد,بئر الحفي,2013,SQL Results
9,564372,9,صفاقس,بئر علي بن خليفة,2013,SQL Results
9,2679450,12,زغوان,بئر مشارقة,2013,SQL Results
26,85952038,56,باجة,باجة الجنوبية,2013,SQL Results
21,3866052,25,باجة,باجة الشما لية,2013,SQL Results
1,4643,1,تــونس,باردو,2013,SQL Results
15,6060000,20,منــوبة,برج العامري,2013,SQL Results
2,133922,2,قفصة,بلخير,2013,SQL Results
13,985038,13,جندوبة,بلطة بوعوان,2013,SQL Results
1,33000,1,بن عروس,بن عروس,2013,SQL Results
18,2171905,39,مدنين,بن قردان,2013,SQL Results
31,21726594,37,بنزرت,بنزرت الجنوبية,2013,SQL Results
3,125400,3,المنستير,بني حسان,2013,SQL Results
2,237556,4,مدنين,بني خداش,2013,SQL Results
2,224283,3,نابل,بني خلاد,2013,SQL Results
27,16944590,32,نابل,بني خيار,2013,SQL Results
3,180000,3,المهدية,بو مرداس,2013,SQL Results
33,8952107,43,جندوبة,بوسا لم,2013,SQL Results
1,225000,3,سليانة,بوعرادة,2013,SQL Results
7,535939,6,نابل,بوعرقوب,2013,SQL Results
6,494000,6,سوسة,بوفيشة,2013,SQL Results
1,48000,1,بن عروس,بومهل البساتين,2013,SQL Results
17,764705,17,القصرين,تا لة,2013,SQL Results
15,434900,15,الكاف,تاجروين,2013,SQL Results
10,814911,12,نابل,تاكلسة,2013,SQL Results
13,19612195,18,باجة,تبرسق,2013,SQL Results
18,12062332,31,باجة,تستور,2013,SQL Results
4,240394,7,تطاوين,تطاوين الجنوبية,2013,SQL Results
10,990616,21,تطاوين,تطاوين الشما لية,2013,SQL Results
9,719179,8,توزر,توزر,2013,SQL Results
3,145581,3,باجة,تيبار,2013,SQL Results
1,56786,1,صفاقس,جبنيانة,2013,SQL Results
4,372302,6,القصرين,جدليان,2013,SQL Results
23,8015840,98,مدنين,جرجيس,2013,SQL Results
8,3294542,48,بنزرت,جرزونة,2013,SQL Results
29,3364260,34,سيدي بوزيد,جلمة,2013,SQL Results
4,196400,5,المنستير,جمال,2013,SQL Results
19,1419560,29,جندوبة,جندوبة,2013,SQL Results
19,7807547,22,جندوبة,جندوبة الشما لية,2013,SQL Results
25,3389591,28,بنزرت,جومين,2013,SQL Results
26,2185000,34,القيروان,حاجب العيون,2013,SQL Results
14,980460,18,القصرين,حاسي الفريد,2013,SQL Results
1,41983,1,توزر,حزوة,2013,SQL Results
10,397000,10,القيروان,حفوز,2013,SQL Results
16,950145,22,تــونس,حلق الوادي,2013,SQL Results
1,31200,1,بن عروس,حمام الأنف,2013,SQL Results
2,52394,2,نابل,حمام الغزاز,2013,SQL Results
1,2800,1,سوسة,حمام سوسة,2013,SQL Results
1,52000,1,مدنين,حومة السوق,2013,SQL Results
1,48550,1,تــونس,حي الخضراء,2013,SQL Results
2,16264,2,القصرين,حيدرة,2013,SQL Results
4,318456,6,نابل,دار شعبان الفهري,2013,SQL Results
7,861334,9,توزر,دقاش,2013,SQL Results
3,193944,3,قبلي,دوز الجنوبية,2013,SQL Results
3,192915,3,قبلي,دوز الشما لية,2013,SQL Results
5,419906,5,بنزرت,راس الجبل,2013,SQL Results
12,1746290,23,تطاوين,رمادة,2013,SQL Results
3,170700,1,المنستير,زرمدين,2013,SQL Results
8,2211617,11,زغوان,زغوان,2013,SQL Results
6,3129837,10,صفاقس,ساقية الدائر,2013,SQL Results
1,56422,1,صفاقس,ساقية الزيت,2013,SQL Results
20,1091944,20,الكاف,ساقية سيدي يوسف,2013,SQL Results
17,1760322,20,سيدي بوزيد,سبا لة أولاد عسكر,2013,SQL Results
64,3911912,78,القصرين,سبيبة,2013,SQL Results
105,10390985,145,القصرين,سبيطلة,2013,SQL Results
9,566215,9,بنزرت,سجنان,2013,SQL Results
4,333000,4,سليانة,سليانة الشما لية,2013,SQL Results
7,252832,7,نابل,سليمان,2013,SQL Results
1,44000,1,سوسة,سوسة الرياض,2013,SQL Results
17,104369000,63,سوسة,سوسة المدينة,2013,SQL Results
3,193523,3,قبلي,سوق الأحد,2013,SQL Results
17,983099,19,سيدي بوزيد,سوق الجديد,2013,SQL Results
3,103500,3,سوسة,سيدي الهاني,2013,SQL Results
36,6251961,44,سيدي بوزيد,سيدي بوزيد الشرقية,2013,SQL Results
34,2674778,38,سيدي بوزيد,سيدي بوزيد الغربية,2013,SQL Results
4,402590,11,أريانة,سيدي ثابت,2013,SQL Results
1,81096,2,تــونس,سيدي حسين,2013,SQL Results
2,286000,3,المهدية,سيدي علوان,2013,SQL Results
24,2034051,25,سيدي بوزيد,سيدي علي بن عون,2013,SQL Results
16,886000,18,القيروان,سيدي علي نصرالله,2013,SQL Results
41,1610780,42,القيروان,سيدي عمر بوحجلة,2013,SQL Results
26,5007954,29,قفصة,سيدي عيش,2013,SQL Results
2,234500,3,مدنين,سيدي مخلوف,2013,SQL Results
15,1510000,15,المهدية,شربان,2013,SQL Results
3,3080186,5,صفاقس,صفاقس الجنوبية,2013,SQL Results
21,10905553,126,صفاقس,صفاقس المدينة,2013,SQL Results
11,3917118,13,منــوبة,طبربة,2013,SQL Results
13,1205404,19,جندوبة,طبرقة,2013,SQL Results
32,3660700,114,المنستير,طبلبة,2013,SQL Results
11,3439381,17,صفاقس,عقارب,2013,SQL Results
13,11219050,17,باجة,عمدون,2013,SQL Results
8,1913616,10,جندوبة,عين دراهم,2013,SQL Results
11,1141407,20,بنزرت,غار الملح,2013,SQL Results
8,269699,8,جندوبة,غارالدماء,2013,SQL Results
9,2331909,19,تطاوين,غمراسن,2013,SQL Results
5,294788,5,قابس,غنوش,2013,SQL Results
17,1860383,18,جندوبة,فرنانة,2013,SQL Results
22,5883346,29,القصرين,فريانة,2013,SQL Results
127,7831522,169,القصرين,فوسانة,2013,SQL Results
6,4366000,10,بن عروس,فوشانة,2013,SQL Results
19,3020653,23,قابس,قابس الجنوبية,2013,SQL Results
1,160086,1,قابس,قابس الغربية,2013,SQL Results
5,397609,14,قابس,قابس المدينة,2013,SQL Results
4,2451195,7,باجة,قبلاط,2013,SQL Results
11,1259005,22,قبلي,قبلي الجنوبية,2013,SQL Results
4,283107,4,قبلي,قبلي الشما لية,2013,SQL Results
12,737487,16,نابل,قربة,2013,SQL Results
6,250935,6,صفاقس,قرقنة,2013,SQL Results
30,13194938,33,نابل,قرمبا لية,2013,SQL Results
6,585000,7,المهدية,قصور الساف,2013,SQL Results
1,55200,1,المنستير,قصيبة المديوني,2013,SQL Results
6,2920000,7,سليانة,قعفور,2013,SQL Results
30,18052131,68,قفصة,قفصة الجنوبية,2013,SQL Results
52,5791942,88,قفصة,قفصة الشما لية,2013,SQL Results
16,1095977,16,أريانة,قلعة الأندلس,2013,SQL Results
14,460205,14,الكاف,قلعة الخصبة,2013,SQL Results
3,661700,7,الكاف,قلعة سنان,2013,SQL Results
3,74421,3,نابل,قليبية,2013,SQL Results
27,1294166,31,القصرين,ماجل با لعباس,2013,SQL Results
27,15236775,49,قابس,مارث,2013,SQL Results
32,46064193,46,بنزرت,ماطر,2013,SQL Results
29,18457206,36,باجة,مجاز الباب,2013,SQL Results
6,527573,9,مدنين,مدنين الجنوبية,2013,SQL Results
5,439685,5,مدنين,مدنين الشما لية,2013,SQL Results
35,5227100,51,بن عروس,مرناق,2013,SQL Results
11,99137000,23,سوسة,مساكن,2013,SQL Results
4,453489,5,قابس,مطماطة الجديدة,2013,SQL Results
2,393000,4,سليانة,مكثر,2013,SQL Results
6,1045000,6,المهدية,ملولش,2013,SQL Results
15,16244121,26,قابس,منزل الحبيب,2013,SQL Results
6,445130,6,بنزرت,منزل بورقيبة,2013,SQL Results
13,17015151,20,نابل,منزل بوزلفة,2013,SQL Results
20,856890,20,سيدي بوزيد,منزل بوزيان,2013,SQL Results
3,381712,4,نابل,منزل تميم,2013,SQL Results
3,274800,5,بنزرت,منزل جميل,2013,SQL Results
20,8207574,32,صفاقس,منزل شاكر,2013,SQL Results
2,372600,4,مدنين,ميدون,2013,SQL Results
3,131563,3,نابل,نابل,2013,SQL Results
36,1387800,36,الكاف,نبر,2013,SQL Results
8,584613,8,باجة,نفزة,2013,SQL Results
7,3119776,6,توزر,نفطة,2013,SQL Results
8,638000,8,المهدية,هبيرة,2013,SQL Results
3,231138,3,منــوبة,واد الليل,2013,SQL Results
10,591431,10,جندوبة,واد مليز,2013,SQL Results
9,727047,16,زغوان,الفحص,2014,SQL Results
8,280699,8,مدنين,أجيم,2014,SQL Results
1,55600,1,أريانة,أريانة المدينة,2014,SQL Results
2,112000,2,سوسة,أكودة,2014,SQL Results
14,1134096,16,قفصة,أم  العرائس,2014,SQL Results
19,1663907,30,بنزرت,أوتيك,2014,SQL Results
3,436000,3,المهدية,أولاد الشامخ,2014,SQL Results
19,1756709,21,سيدي بوزيد,أولاد حفوز,2014,SQL Results
11,6424382,13,منــوبة,البطان,2014,SQL Results
9,368300,1,المنستير,البقا لطة,2014,SQL Results
26,5167478,31,منــوبة,الجديدة,2014,SQL Results
2,54295,2,الكاف,الجريصة,2014,SQL Results
14,4773800,27,المهدية,الجم,2014,SQL Results
9,1884477,12,قابس,الحامة,2014,SQL Results
3,479779,3,نابل,الحمامات,2014,SQL Results
6,690895,5,صفاقس,الحنشة,2014,SQL Results
20,1275326,20,الكاف,الدهماني,2014,SQL Results
8,1487938,8,قفصة,الرديف,2014,SQL Results
145,31363986,164,سيدي بوزيد,الرقاب,2014,SQL Results
2,1400000,4,سليانة,الروحية,2014,SQL Results
12,11000000,23,زغوان,الزريبة,2014,SQL Results
4,201000,0,المنستير,الساحلين,2014,SQL Results
24,1725000,27,القيروان,السبيخة,2014,SQL Results
20,6582960,26,الكاف,السرس,2014,SQL Results
40,5580861,66,قفصة,السند,2014,SQL Results
7,1305000,7,المهدية,السواسي,2014,SQL Results
32,34224000,34,المهدية,الشابة,2014,SQL Results
30,3081000,35,القيروان,الشبيكة,2014,SQL Results
10,1143000,12,القيروان,الشراردة,2014,SQL Results
10,720892,10,صفاقس,الصخيرة,2014,SQL Results
12,1289895,24,تطاوين,الصمّار,2014,SQL Results
4,248742,5,بنزرت,العا لية,2014,SQL Results
5,180439,5,صفاقس,العامرة,2014,SQL Results
2,274000,1,سليانة,العروسة,2014,SQL Results
6,239407,6,القيروان,العلا,2014,SQL Results
2,9000,2,تــونس,العمران,2014,SQL Results
7,331186,7,القصرين,العيون,2014,SQL Results
3,137832,3,صفاقس,الغريبة,2014,SQL Results
10,939435,10,بنزرت,الغزالة,2014,SQL Results
15,1147561,15,قبلي,الفوار,2014,SQL Results
7,522768,8,قفصة,القصر,2014,SQL Results
31,1828958,42,القصرين,القصرين الجنوبية,2014,SQL Results
1,43355,1,القصرين,القصرين الشما لية,2014,SQL Results
22,1176516,22,الكاف,القصور,2014,SQL Results
9,677308,10,قفصة,القطار,2014,SQL Results
2,196000,3,سوسة,القلعة الصغرى,2014,SQL Results
17,6570000,20,سوسة,القلعة الكبرى,2014,SQL Results
23,8803812,43,القيروان,القيروان الجنوبية,2014,SQL Results
5,261000,6,القيروان,القيروان الشما لية,2014,SQL Results
10,572550,11,الكاف,الكاف الشرقية,2014,SQL Results
6,535200,7,الكاف,الكاف الغربية,2014,SQL Results
1,56000,1,سليانة,الكريب,2014,SQL Results
2,177262,3,قفصة,المتلوي,2014,SQL Results
8,645924,8,صفاقس,المحرس,2014,SQL Results
6,471800,6,بن عروس,المحمدية,2014,SQL Results
1,66000,1,بن عروس,المدينة الجديدة,2014,SQL Results
8,68999665,12,منــوبة,المرناقية,2014,SQL Results
1,67000,1,بن عروس,المروج,2014,SQL Results
11,1235100,11,سيدي بوزيد,المزونة,2014,SQL Results
10,850479,11,قابس,المطوية,2014,SQL Results
21,2094449,25,سيدي بوزيد,المكناسي,2014,SQL Results
10,853000,6,المنستير,المكنين,2014,SQL Results
1,17250,1,تــونس,المنزه,2014,SQL Results
4,74500,2,المنستير,المنستير,2014,SQL Results
30,27556500,70,المهدية,المهدية,2014,SQL Results
4,295044,4,نابل,الميدة,2014,SQL Results
1,72743,2,زغوان,الناظور,2014,SQL Results
6,4750000,15,سوسة,النفيضة,2014,SQL Results
14,5418578,44,نابل,الهوارية,2014,SQL Results
4,206400,2,المنستير,الوردانين,2014,SQL Results
8,396000,8,القيروان,الوسلاتية,2014,SQL Results
35,2808562,37,سيدي بوزيد,بئر الحفي,2014,SQL Results
12,13704381,21,صفاقس,بئر علي بن خليفة,2014,SQL Results
21,58086062,16,زغوان,بئر مشارقة,2014,SQL Results
29,245614588,44,باجة,باجة الجنوبية,2014,SQL Results
14,1324718,16,باجة,باجة الشما لية,2014,SQL Results
7,1725988,9,منــوبة,برج العامري,2014,SQL Results
7,504118,8,قفصة,بلخير,2014,SQL Results
15,1329082,18,جندوبة,بلطة بوعوان,2014,SQL Results
19,945560,15,مدنين,بن قردان,2014,SQL Results
1,59300,1,المنستير,بنبلة,2014,SQL Results
15,987000,16,بنزرت,بنزرت الجنوبية,2014,SQL Results
10,5016900,8,المنستير,بني حسان,2014,SQL Results
1,114763,2,مدنين,بني خداش,2014,SQL Results
