nbr_adi,mt_investissement_declaree,gouvernorat,delegation,secteur_activite,feuille
4,275480.0,باجة,تيبار,الفلاحي,SQL Results
6,1270000.0,المهدية,قصور الساف,تربية الأحياء المائية,SQL Results
3,304000.0,سوسة,القلعة الكبرى,الخدمات,SQL Results
17,5836149.0,نابل,الهوارية,الفلاحي,SQL Results
14,1048004.0,قابس,غنوش,الخدمات,SQL Results
9,2476961.0,الكاف,نبر,الخدمات,SQL Results
1,2195500.0,نابل,بوعرقوب,التحويل الأولي,SQL Results
16,1138514.0,جندوبة,غارالدماء,الفلاحي,SQL Results
6,5546846.0,جندوبة,طبرقة,الفلاحي,SQL Results
2,368116.0,قابس,قابس الجنوبية,الخدمات,SQL Results
10,872618.0,قبلي,قبلي الشما لية,الخدمات,SQL Results
3,377000.0,المنستير,البقا لطة,الفلاحي,SQL Results
3,1172750.0,جندوبة,واد مليز,التحويل الأولي,SQL Results
11,1655192.0,القيروان,سيدي علي نصرالله,الفلاحي,SQL Results
1,192000.0,منــوبة,واد الليل,الخدمات,SQL Results
2,6238817.0,سوسة,سيدي بوعلي,تربية الأحياء المائية,SQL Results
18,1105094.0,مدنين,مدنين الشما لية,الفلاحي,SQL Results
1,47800.0,قابس,غنوش,الصيد البحري,SQL Results
4,662844.0,منــوبة,طبربة,الخدمات,SQL Results
1,96740.0,نابل,منزل بوزلفة,الخدمات,SQL Results
7,1213667.0,بنزرت,جومين,الخدمات,SQL Results
2,149800.0,الكاف,القصور,الخدمات,SQL Results
5,347258.0,سليانة,سيدي بورويس,الخدمات,SQL Results
1,277321.0,القصرين,العيون,التحويل الأولي,SQL Results
2,317000.0,سوسة,سوسة المدينة,الصيد البحري,SQL Results
1,796336.0,باجة,مجاز الباب,التحويل الأولي,SQL Results
3,2391000.0,منــوبة,منوبة,الفلاحي,SQL Results
4,368000.0,المهدية,ملولش,الخدمات,SQL Results
1,79000.0,المنستير,الوردانين,الخدمات,SQL Results
1,80000.0,المنستير,جمال,الخدمات,SQL Results
1,238000.0,بن عروس,حما م الشط,الفلاحي,SQL Results
2,250639.0,قبلي,الفوار,التحويل الأولي,SQL Results
4,427381.0,نابل,قليبية,الفلاحي,SQL Results
1,117760.0,سوسة,أكودة,الفلاحي,SQL Results
1,140839.0,سوسة,كندار,الفلاحي,SQL Results
3,2307000.0,صفاقس,الحنشة,التحويل الأولي,SQL Results
1,5850000.0,صفاقس,الحنشة,الخدمات,SQL Results
1,6400.0,تطاوين,الذهيبة,الخدمات,SQL Results
3,726009.0,نابل,دار شعبان الفهري,الخدمات,SQL Results
1,550000.0,صفاقس,ساقية الدائر,التحويل الأولي,SQL Results
1,,المنستير,بني حسان,التحويل الأولي,SQL Results
1,,نابل,دار شعبان الفهري,التحويل الأولي,SQL Results
117,14330323.0,قفصة,قفصة الشما لية,الفلاحي,SQL Results
6,852492.0,سوسة,النفيضة,الخدمات,SQL Results
20,4247594.0,أريانة,سيدي ثابت,الفلاحي,SQL Results
10,617317.0,سيدي بوزيد,سيدي بوزيد الشرقية,الخدمات,SQL Results
66,11047214.0,سيدي بوزيد,الرقاب,الفلاحي,SQL Results
