annee,gouvernorat,effectif_menages_communal,effectif_menages_non_communal,menages_communal_branches,menages_non_communal_branches,taux_branchement_comm,taux_branchement_non_comm,feuille
2020,Tozeur,20.845693755662182,7.973807421068669,20.83485399490924,7.309031096374173,0.99948,0.9166299999999998,Feuil1
2020,Kebili,21.24443344055621,18.122715300048913,21.23338633516712,17.236514521876522,0.9994799999999998,0.9511,Feuil1
2020,Sud Ouest,109.7533570588612,46.634935873709054,109.45405095028232,30.760545618250696,0.9972729206960079,0.6596030431252782,Feuil1
2020,Gabes,72.10503255809854,25.539698168175956,72.06537479019158,19.302393081544025,0.99945,0.75578,Feuil1
2020,Medenine,105.98249906758512,26.08030628706652,105.65819262043831,16.07798721985077,0.99694,0.61648,Feuil1
2020,Tataouine,20.49282630379616,11.380569262129558,20.44671744461261,9.124485211604991,0.9977499999999995,0.8017599999999997,Feuil1
2020,Sud Est,198.58035792947982,63.000573717372035,198.1702848552425,44.504865512999785,0.9979349766587542,0.7064200036122502,Feuil1
2020,Total,2151.0150040379654,916.50802060394,2147.008599860552,455.05345770866666,0.998137435503754,0.4965078837049409,Feuil1
2021,Tunis,309.14849863844887,,308.9815584491841,,0.9994599999999999,,Feuil1
2021,Ariana,170.10542373273643,22.257452834709824,169.93531830900366,21.048650571256733,0.9989999999999999,0.94569,Feuil1
2021,Ben Arous,189.56912024372136,18.104646090206007,189.47243999239709,14.811,0.9994900000000001,0.8180773005009053,Feuil1
2021,Manouba,88.00698647435271,25.696614866095192,87.96122284138602,20.412,0.9994799999999996,0.7943458742082072,Feuil1
2021,Grand Tunis,756.8300290892594,66.05871379101102,756.3505395919708,56.271650571256735,0.999366450221504,0.8518429642648285,Feuil1
2021,Nabeul,164.07259652620968,73.96046608964906,163.98399732408552,43.399,0.99946,0.5867864589630242,Feuil1
2021,Zaghouan,22.463156827870996,26.931413793154338,22.411491567166884,12.675,0.9976999999999996,0.4706399781812362,Feuil1
2021,Bizerte,105.93441128692652,54.04601047289321,105.654,29.022707623943656,0.9973529726222103,0.537,Feuil1
2021,Nord Est,292.47016464100716,154.9378903556966,292.0494888912524,85.09670762394366,0.998561645594616,0.549231097884346,Feuil1
2021,Beja,36.62233076894652,43.89758383372615,36.60292093363897,17.877,0.9994699999999997,0.4072433705625786,Feuil1
2021,Jendouba,35.81502790334512,78.29308383927292,35.79640408883538,33.485,0.99948,0.4276878410964245,Feuil1
2021,Le Kef,42.75994621000469,29.99956463752343,42.389,8.952,0.991324914016896,0.2984043304682777,Feuil1
2021,Siliana,27.982056472792117,34.23577383510714,27.96722598286153,12.119463937627927,0.9994699999999999,0.354,Feuil1
2021,Nord Ouest,143.17936135508845,186.42600614562963,142.7555510053359,72.43346393762792,0.99704000391019,0.3885373367975569,Feuil1
