id,ref,type,titre,date_text,keywords,link,feuille
892,"J.O.R.T, 21 Mar 2000, V. 143 (23) p. 665 (Ar, Fr)",décret,"Décret no 2000-544 du 6 mars 2000, fixant la liste des équipements, instruments et moyens spécifiques nécessaires à la production conformément au mode de promotion biologique",2000-03-21,EQUIPEMENTS ET INSTRUMENTS CULTURE BIOLOGIQUE,http://www.onagri.tn/uploads/jortagri/4763.pdf,First Sheet
893,"J.O.R.T, 21 Mar 2000, V. 143 (23) p. 666 (Ar, Fr)",décret,"Décret no 2000-548 du 6 mars 2000, portant expropriation pour cause d'utilité publique de parcelles de terre sises à Béchima à la délégation d'El-Hamma gouvernorat de Gabès et sur lesquelles ont été construits des ouvrages hydrauliques",2000-03-21,EXPROPRIATION BECHIMA OUVRAGE HYDRAULIQUE,http://www.onagri.tn/uploads/jortagri/4764.pdf,First Sheet
894,"J.O.R.T, 21 Mar 2000, V. 143 (23) p. 671-675 (Ar, Fr)",décret,"Décret no 2000-554 du 6 mars 2000, accordant à ""la société de production agricole Teboulba"" les avantages fiscaux au titre des équipements prévus par l'article 52 du code d'incitation aux investissements",2000-03-21,AVANTAGE FISCAL SOCIETE DE PRODUCTION AGRICOLE TEBOULBA,http://www.onagri.tn/uploads/jortagri/4765.pdf,First Sheet
895,"J.O.R.T, 17 Mar 2000, V. 143 (22) p. 650 (Ar, Fr)",Arrêté,"Arrêté du ministre de l'agriculture du 2 mars 2000,fixant les dates des sessions principale et de contrôle pour l'obtention du diplôme de fin d'études techniques agricoles, d'ouverture et de clôture des inscriptions ainsi que la désignation des centres d'examen et de correction",2000-03-17,DIPLOME DE FIN D'ETUDES AGRICOLES,http://www.onagri.tn/uploads/jortagri/4755.pdf,First Sheet
896,"J.O.R.T, 17 Mar 2000, V. 143 (22) p. 651 (Ar, Fr)",Arrêté,"Arrêté du ministre de l'agriculture du 2 mars 2000, portant homologation du plan de réaménagement foncier du périmètre public irrigué de Chemtou de la délégation de Jendouba Nord, au gouvernorat de Jendouba",2000-03-17,REAMENAGEMENT FONCIER PPI CHEMTOU,http://www.onagri.tn/uploads/jortagri/4756.pdf,First Sheet
897,"J.O.R.T, 17 Mar 2000, V. 143 (22) p. 651 (Ar, Fr)",Arrêté,"Arrêté du ministre de l'agriculture du 2 mars 2000, portant homologation du plan de réaménagement foncier du périmètre public irrigué d'oued M'liz de la délégation d'oued M'liz, au gouvernorat de Jendouba",2000-03-17,REAMENAGEMENT FONCIER PPI OUED M'LIZ,http://www.onagri.tn/uploads/jortagri/4757.pdf,First Sheet
898,"J.O.R.T, 17 Mar 2000, V. 143 (22) p. 652 (Ar, Fr)",Arrêté,"Arrêté du ministre de l'agriculture du 2 mars 2000, portant homologation du plan de réaménagement foncier du périmètre public irrigué de Bougossa II et III (première tranche) de la délégation d'Oued M'liz, au gouvernorat de Jendouba",2000-03-17,REAMENAGEMENT FONCIER PPI OUED M'LIZ,http://www.onagri.tn/uploads/jortagri/4758.pdf,First Sheet
899,"J.O.R.T, 17 Mar 2000, V. 143 (22) p. 652 (Ar, Fr)",Arrêté,"Arrêté du ministre de l'agriculture du 2 mars 2000, portant homologation du plan de réaménagement foncier du périmètre public irrigué de Tebaba de la délégation de Nefza, au gouvernorat de Béja",2000-03-17,REAMENAGEMENT FONCIER PPI TEBABA,http://www.onagri.tn/uploads/jortagri/4759.pdf,First Sheet
900,"J.O.R.T, 17 Mar 2000, V. 143 (22) p. 653 (Ar, Fr)",Arrêté,"Arrêté du ministre de l'agriculture du 2 mars 2000,portant homologation du plan de réaménagement foncier de Bou-Sedra relevant du périmètre public irrigué de Medjez El Bab - Tebourba et son extension de la délégation de Medjez el Bab gouvernorat de Béjaet de la délégation de Tebourba au gouvernorat de l'Ariana",2000-03-17,REAMENAGEMENT FONCIER PPI MEDJEZ EL BAB TEBOURBA,http://www.onagri.tn/uploads/jortagri/4760.pdf,First Sheet
901,"J.O.R.T, 17 Mar 2000, V. 143 (22) p. 653 (Ar, Fr)",Arrêté,"Arrêté du ministre de l'agriculture du 2 mars 2000, portant homologation du plan de réaménagement foncier du périmètre public irrigué de Bourouiss de la délégation de Amdoun, au gouvernorat de Béja",2000-03-17,REAMENAGEMENT FONCIER PPI BOUROUIS,http://www.onagri.tn/uploads/jortagri/4761.pdf,First Sheet
902,"J.O.R.T, 17 Mar 2000, V. 143 (22) p. 654 (Ar, Fr)",Arrêté,"Arrêté du ministre de l'agriculture du 2 mars 2000,portant homologation du plan de réaménagement foncier de Borj -Ettoumi rive gauche - relevant du périmètre public irrigué de Medjez el Bab - Tebourba de la délégation de Medjez El Bab gouvernorat de Béjaet de la délégation de Tébourba, au gouvernorat de l'Ariana",2000-03-17,REAMENAGEMENT FONCIER PPI MEDJEZ EL BAB TEBOURBA,http://www.onagri.tn/uploads/jortagri/4762.pdf,First Sheet
903,"J.O.R.T, 14 Mar 1999, V. 143 (21) p. 634 (Ar, Fr)",décret,"Décret no 2000-509 du 29 février 2000, portant création d'une unité de gestion par objectifs pour la réalisation du projet de construction du barrage El Abid du gouvernorat de Nabeul et fixant son organisation et les modalités de son fonctionnement",2000-03-14,UNITE DE GESTION BARRAGE EL ABID,http://www.onagri.tn/uploads/jortagri/4752.pdf,First Sheet
904,"J.O.R.T, 14 Mar 2000, V. 143 (21) p. 635 (Ar, Fr)",décret,"Décret no 2000-510 du 29 février 2000, portant création d'une unité de gestion par objectifs pour la réalisation du projet de construction du barrage ""El Brek"" du gouvernorat de Kasserine et fixant son organisation et les modalités de son fonctionnement",2000-03-14,UNITE DE GESTION BARRAGE EL BREK,http://www.onagri.tn/uploads/jortagri/4753.pdf,First Sheet
905,"J.O.R.T, 14 Mar 2000, V. 143 (21) p. 637 (Ar, Fr)",décret,"Décret no 2000-511 du 29 février 2000, portant création d'une unité de gestion par objectifs pour la réalisation du projet de construction du barrage El R'mil du gouvernorat de Siliana et fixant son organisation et les modalités de son fonctionnement",2000-03-14,UNITE DE GESTION BARRAGE EL R'MIL,http://www.onagri.tn/uploads/jortagri/4754.pdf,First Sheet
906,"J.O.R.T, 10 Mar 2000, V. 143 (20) p. 599 (Ar, Fr)",Loi,"Loi no 2000-26 du 6 mars 2000,portant ratification d'un échange de lettres en date des 27 septembre et 28 octobre 1999, entre le gouvernement de la République Tunisienne et le gouvernement des Etats Unis d'Amérique, relatif à l'octroi de deux prêts pourle financement d'importations de produits agricoles américains",2000-03-10,ACCORD INTERNATIONAL IMPORTATION PRODUIT AGRICOLE USA,http://www.onagri.tn/uploads/jortagri/4748.pdf,First Sheet
907,"J.O.R.T, 10 Mar 2000, V. 143 (20) p. 599 (Ar, Fr)",Loi,"Loi 2000-27 du 6 mars 2000,portant approbation de la convention de prêt, conclue le 25 janvier 2000, entre le gouvernement de la République Tunisienne et le Fonds arabe de développement économique et social pour la contribution au financement du projet des barrages Kébir et Moula",2000-03-10,ACCORD INTERNATIONAL BARRAGE KEBIR BARRAGE MOULA,http://www.onagri.tn/uploads/jortagri/4749.pdf,First Sheet
908,"J.O.R.T, 10 Mar 2000, V. 143 (20) p. 600 (Ar, Fr)",Loi,"Loi no 2000-29 du 6 mars 2000, modifiant et complétant la loi no 77-17 du 16 mars 1977, portant création de l'agence de la réforme agraire des périmètres publics irrigués",2000-03-10,ARAPPI AGENCE FONCIERE AGRICOLE,http://www.onagri.tn/uploads/jortagri/4750.pdf,First Sheet
909,"J.O.R.T, 10 Mar 2000, V. 143 (20) p. 600-601 (Ar, Fr)",Loi,"Loi no 2000-30 du 6 mars 2000, modifiant et complétant la loi no 63-18 du 27 mai 1963, portant réforme agraire dans les périmètres publics irrigués",2000-03-10,REFORME AGRAIRE PPI,http://www.onagri.tn/uploads/jortagri/4751.pdf,First Sheet
910,"J.O.R.T, 3 Mar 2000, V. 143 (18) p. 567 (Ar, Fr)",Arrêté,"Arrêté du ministre de l'agriculture du 23 février 2000, portant homologation du plan de réaménagement foncier du périmètre public irrigué de Chiha de la délégation de Sidi Amor Bouhajla, au gouvernorat de Kairouan",2000-03-03,REAMENAGEMENT FONCIER PPI SIDI AMOR BOUHAJLA,http://www.onagri.tn/uploads/jortagri/4747.pdf,First Sheet
911,"J.O.R.T, 29 Fev 2000, V. 143 (17) p.543 (Ar, Fr)",décret,"Décret no 2000-451 du 21 février 2000, instituant une prime de treizième mois au profit des agents de l'agence foncière agricole",2000-02-29,PRIME DE TREIZIEME MOIS AGENCE FONCIERE AGRICOLE,http://www.onagri.tn/uploads/jortagri/4744.pdf,First Sheet
912,"J.O.R.T, 29 Fev 2000, V. 143 (17) p. 543 (Ar, Fr)",décret,"Décret no 2000-452 du 21 février 2000, instituant une prime de treizième mois au profit des agents de l'office de l'élevage et des pâturages",2000-02-29,PRIME DE TREIZIEME MOIS OEP,http://www.onagri.tn/uploads/jortagri/4745.pdf,First Sheet
913,"J.O.R.T, 29 Fev 2000, V. 143 (17) p. 556 (Ar, Fr)",décret,"Décret no 2000-463 du 21 février 2000, modifiant et complétant le décret no 94-538 du 10 mars 1994 portant encouragement des investissements des nouveaux promoteurs [Pêche en haute mer]",2000-02-29,INVESTISSEMENT PECHE EN HAUTE MER,http://www.onagri.tn/uploads/jortagri/4746.pdf,First Sheet
914,"J.O.R.T, 25 Fev 2000, V. 143 (16) p. 526 (Ar, Fr)",décret,"Décret no 2000-409 du 14 février 2000, fixant les conditions d'agrément des organismes de contrôle et de certifications et les procédures de contrôle et de certification dans le domaine de l'agriculture biologique",2000-02-25,AGRICULTURE BIOLOGIQUE,http://www.onagri.tn/uploads/jortagri/4742.pdf,First Sheet
915,"J.O.R.T, 25 Fev 2000, V. 143 (16) p. 529 (Ar, Fr)",décret,"Décret no 2000-410 du 14 février 2000, portant changement de la vocation d'une parcelle de terre agricole et modification des limites des zones de sauvegarde des terres agricoles du gouvernorat de Siliana",2000-02-25,CHANGEMENT DE VOCATION DE PARCELLE GOUVERNORAT DE SILIANA,http://www.onagri.tn/uploads/jortagri/4743.pdf,First Sheet
916,"J.O.R.T, 22 Fev 2000, V. 143 (15) p. 507 (Ar, Fr)",Arrêté,"Arrêtés des ministres de l'agriculture, de la santé publique et du commerce du 12 février 2000, fixant les conditions d'approvisionnement des vétérinaires en produits pharmaceutiques et biologiques destinés à l'usage vétérinaire",2000-02-22,PRODUIT VETERINAIRE,http://www.onagri.tn/uploads/jortagri/4740.pdf,First Sheet
917,"J.O.R.T, 22 Fev 2000, V. 143 (15) p. 510 (Ar, Fr)",décret,"Décret no 2000-377 du 14 février 2000, portant encouragement de l'acquisition de certains produits nécessaires à l'agriculture et à la pêche",2000-02-22,DROITS DE DOUANE TVA IMPORTATION PRODUIT AGRICOLE PRODUIT DE LA PECHE,http://www.onagri.tn/uploads/jortagri/4741.pdf,First Sheet
918,"J.O.R.T, 18 Fev 2000, V. 143 (14) p. 497 (Ar, Fr)",décret,"Décret no 2000-329 du 7 février 2000,fixant à 10% le taux de la taxe sur la valeur ajoutée applicable à l'électricité basse tension à usage domestique et à l'électricité moyenne et basse tension utilisée pour le fonctionnement des équipements de pompagede l'eau destinée à l'irrigation agricole",2000-02-18,TVA ELECTRICITE IRRIGATION AGRICOLE,http://www.onagri.tn/uploads/jortagri/4739.pdf,First Sheet
919,"J.O.R.T, 15 Fev 2000, V. 143 (13) p. 447 (Ar, Fr)",décret,"Décret no 2000-254 du 31 janvier 2000, portant code de déontologie du médecin vétérinaire",2000-02-15,MEDECIN VETERINAIRE,http://www.onagri.tn/uploads/jortagri/4737.pdf,First Sheet
920,"J.O.R.T, 15 Fev 2000, V. 143 (13) p. 457-459 (Ar, Fr)",décret,"Décret no 2000-327 du 7 février 2000, portant suspension ou réduction des droits de douane et suspension de la taxe sur la valeur ajoutée dus sur certains produits agricoles ou à usage agricole",2000-02-15,DROITS DE DOUANE TVA PRODUIT AGRICOLE PRODUIT A USAGE AGRICOLE,http://www.onagri.tn/uploads/jortagri/4738.pdf,First Sheet
921,"J.O.R.T, 8 Fev 2000, V. 143 (11) p. 372 (Ar, Fr)",décret,"Décret no 2000-183 du 26 janvier 2000, portant déclassement d'une parcelle de terrain du domaine public hydraulique au domaine privé de l'Etat",2000-02-11,DECLASSEMENT DE PARCELLE,http://www.onagri.tn/uploads/jortagri/4732.pdf,First Sheet
922,"J.O.R.T, 11 Fev 2000, V. 143 (12) p. 389-390 (Ar, Fr)",décret,"Décret no 2000-233 du 31 janvier 2000, modifiant et complétant le décret no 98-1334 du 22 juin 1998, fixant le statut particulier au corps des enseignants chercheurs des établissements d'enseignement supérieur agricole",2000-02-11,STATUT PARTICULIER ENSEIGNANT CHERCHEUR,http://www.onagri.tn/uploads/jortagri/4733.pdf,First Sheet
923,"J.O.R.T, 11 Fev 2000, V. 143 (12) p. 390 (Ar, Fr)",décret,"Décret no 2000-234 du 31 janvier 2000, fixant la concordance entre l'échelonnement des grades du corps des enseignants chercheurs des établissements d'enseignement supérieur agricole et les niveaux de rémunération",2000-02-11,ECHELONNEMENT ET GRADE ENSEIGNANT CHERCHEUR,http://www.onagri.tn/uploads/jortagri/4734.pdf,First Sheet
924,"J.O.R.T, 11 Fev 2000, V. 143 (12) p. 400 (Ar, Fr)",décret,"Décret no 2000-245 du 31 janvier 2000,portant modification du décret no 94-1031 du 2 mai 1994, fixant la liste des biens d'équipement nécessaires à la réalisation des investissements dans le secteur agricole et éligibles au bénéfice des investissements et les conditions d'octroi de ces incitations",2000-02-11,CODE D'INCITATION AUX INVESTISSEMENTS BIENS D'EQUIPEMENT,http://www.onagri.tn/uploads/jortagri/4735.pdf,First Sheet
925,"J.O.R.T, 11 Fev 2000, V.143 (12) p. 402 (Ar, Fr)",décret,"Décret no 2000-247 du 31 janvier 2000, portant réduction des droits de douane dus à l'importation de certains produits agricoles et agro-alimentaires",2000-02-11,IMPORTATION DROITS DE DOUANE PRODUIT AGRICOLE PRODUIT AGROALIMENTAIRE,http://www.onagri.tn/uploads/jortagri/4736.pdf,First Sheet
926,"J.O.R.T, 8 Fev 2000, V. 143 (11) p. 369 (Ar, Fr)",Loi,"Loi no 2000-18 du 7 février 2000, complétant la loi no 94-86 du 23 juillet 1994, relative aux circuits de distribution des produits agricoles et de la pêche",2000-02-08,CIRCUIT DE DISTRIBUTION PRODUIT AGRICOLE,http://www.onagri.tn/uploads/jortagri/4731.pdf,First Sheet
927,"J.O.R.T, 4 Fev 2000, V. 143 (10) p. 313 (Ar, Fr)",décret,"Décret no 2000-164 du 24 janvier 2000, portant changement de la vocation d'une parcelle de terre classée dans les autres zones agricoles du gouvernorat de Nabeul",2000-02-04,CHANGEMENT DE VOCATION DE PARCELLE GOUVERNORAT DE NABEUL,http://www.onagri.tn/uploads/jortagri/4730.pdf,First Sheet
928,"J.O.R.T, 1er Fev 2000, V. 143 (9) p. 268-271 (Ar, Fr)",décret,"Décret no 2000-99 du 18 janvier 2000, fixant les conditions d'attribution et de retrait des emplois fonctionnels à la société nationale d'exploitation et de distribution des eaux",2000-02-01,SONEDE EMPLOI FONCTIONNEL,http://www.onagri.tn/uploads/jortagri/4713.pdf,First Sheet
929,"J.O.R.T, 1er Fev 2000, V. 143 (9) p. 271 (Ar, Fr)",décret,"Décret no 2000-100 du 18 janvier 2000, instituant une prime de treizième mois au profit des personnels relevant des Ex. offices des périmètres publics irrigués et qui sont intégrés aux commissariats régionaux au développement agricole",2000-02-01,OFFICE DES PERIMETRES IRRIGUES CRDA PRIME DE TREIZIEME MOIS,http://www.onagri.tn/uploads/jortagri/4714.pdf,First Sheet
930,"J.O.R.T, 1er Fev 2000, V. 143 (9) p. 272-277 (Ar, Fr)",décret,"Décret no 2000-101 du 18 janvier 2000, fixant la classification des semences et plants, leur production et multiplication, les normes générales de leur stockage,emballage et étiquetage, le contrôle de leur qualité et état sanitaire et leur commercialisation",2000-02-01,SEMENCE CLASSIFICATION NORME STOCKAGE EMBALLAGE ET ETIQUETAGE CONTROLE SANITAIRE MULTIPLICATION PRODUCTION IMPORTATION EXPORTATION COMMERCIALISATION,http://www.onagri.tn/uploads/jortagri/4715.pdf,First Sheet
931,"J.O.R.T, 1er Fev 2000, V. 143 (9) p. 277-278 (Ar, Fr)",décret,"Décret no 2000-102 du 18 janvier 2000, fixant la composition et les modalités de fonctionnement de la commission technique des semences, plants et obtentions végétales",2000-02-01,COMMISSSION TECHNIQUE DES SEMENCES,http://www.onagri.tn/uploads/jortagri/4716.pdf,First Sheet
932,"J.O.R.T, 1er Fev 2000, V. 143 (9) p. 278 (Ar, Fr)",décret,"Décret no 2000-103 du 18 janvier 2000, portant changement de la vocation d'une parcelle de terre agricole classée dans les autres zones agricoles du gouvernorat de Kairouan",2000-02-01,CHANGEMENT DE VOCATION DE TERRE AGRICOLE GOUVERNORAT DE KAIROUAN,http://www.onagri.tn/uploads/jortagri/4717.pdf,First Sheet
933,"J.O.R.T, 1er Fev 2000, V. 143 (9) p. 278 (Ar, Fr)",décret,"Décret no 2000-104 du 18 janvier 2000, portant changement de la vocation d'une parcelle de terre agricole classée dans les autres zones agricoles du gouvernorat de Kairouan",2000-02-01,CHANGEMENT DE VOCATION D'UNE PARCELLE GOUVERNORAT DE KAIROUAN,http://www.onagri.tn/uploads/jortagri/4718.pdf,First Sheet
934,"J.O.R.T, 1er Fev 2000, V. 143 (9) p. 278 (Ar, Fr)",décret,"Décret no 2000-105 du 18 janvier 2000, portant changement de la vocation d'une parcelle de terre et modification des limites des zones de sauvegarde des terres agricoles du gouvernorat de Nabeul",2000-02-01,CHANGEMENT DE VOCATION DE PARCELLE GOUVERNORAT DE NABEUL,http://www.onagri.tn/uploads/jortagri/4719.pdf,First Sheet
935,"J.O.R.T, 1er Fev 2000, V. 143 (9) p. 279 (Ar, Fr)",décret,"Décret no 2000-106 du 18 janvier 2000, portant changement de la vocation d'une parcelle de terre et modification des limites des zones de sauvegarde des terres agricoles du gouvernorat de Nabeul",2000-02-01,CHANGEMENT DE VOCATION DE PARCELLE GOUVERNORAT DE NABEUL,http://www.onagri.tn/uploads/jortagri/4720.pdf,First Sheet
936,"J.O.R.T, 1er Fev 2000, V. 143 (9) p. 280 (Ar, Fr)",décret,"Décret no 2000-107 du 18 janvier 2000, portant changement de la vocation d'une parcelle de terre et modification des limites des zones de sauvegarde des terres agricoles du gouvernorat de Nabeul",2000-02-01,CHANGEMENNT DE VOCATION DE PARCELLE GOUVERNORAT DE NABEUL,http://www.onagri.tn/uploads/jortagri/4721.pdf,First Sheet
937,"J.O.R.T, 1er Fev 2000, V. 143 (9) p. 280 (Ar, Fr)",décret,"Décret no 2000-108 du 18 janvier 2000,portant changement de la vocation de parcelles de terre classées dans les zones de sauvegarde et les autres zones agricoles et modification des limites des zones de sauvegarde des terres agricoles du gouvernorat de Sfax",2000-02-01,CHANGEMENT DE VOCATION DE PARCELLE GOUVERNORAT DE SFAX,http://www.onagri.tn/uploads/jortagri/4722.pdf,First Sheet
938,"J.O.R.T, 1er Fev 2000, V. 143 (9) p. 250 (Ar, Fr)",décret,"Décret no 2000-109 du 18 janvier 2000, portant changement de la vocation d'une parcelle de terre classée dans les autres zones agricoles du gouvernorat de Tunis",2000-02-01,CHANGEMENT DE VOCATION DE PARCELLE GOUVERNORAT DE TUNIS,http://www.onagri.tn/uploads/jortagri/4723.pdf,First Sheet
939,"J.O.R.T, 1er Fev 2000, V. 143 (9) p. 281 (Ar, Fr)",décret,"Décret no 2000-110 du 18 janvier 2000, portant changement de la vocation d'une parcelle de terre agricole et modification des limites des zones de sauvegarde des terres agricoles du gouvernorat de Sfax",2000-02-01,CHANGEMENT DE VOCATION DE PARCELLE GOUVERNORAT DE SFAX,http://www.onagri.tn/uploads/jortagri/4724.pdf,First Sheet
940,"J.O.R.T, 1er Fev 2000, V. 143 (9) p. 281 (Ar, Fr)",décret,"Décret no 2000-111 du 18 janvier 2000, portant changement de la vocation d'une parcelle de terre agricole et modification des limites des zones de sauvegarde des terres agricoles du gouvernorat de Kasserine",2000-02-01,CHANGEMENT DE VOCATION DE PARCELLE GOUVERNORAT DE KASSERINE,http://www.onagri.tn/uploads/jortagri/4725.pdf,First Sheet
941,"J.O.R.T, 1er Fev 2000, V. 143 (9) p. 282 (Ar, Fr)",décret,"Décret no 2000-112 du 18 janvier 2000, portant changement de la vocation d'une parcelle de terre agricole et modification des limites des zones de sauvegarde des terres agricoles du gouvernorat de Zaghouan",2000-02-01,CHANGEMENT DE VOCATION DE PARCELLE GOUVERNORAT DE ZAGHOUAN,http://www.onagri.tn/uploads/jortagri/4726.pdf,First Sheet
942,"J.O.R.T, 1er Fev 2000, V. 143 (9) p. 282 (Ar, Fr)",décret,"Décret no 2000-113 du 18 janvier 2000, portant changement de la vocation d'une parcelle de terre agricole et modification des zones de sauvegarde des terres agricoles du gouvernorat de Jendouba",2000-02-01,CHANGEMENT DE VOCATION AGRICOLE GOUVERNORAT DE JENDOUBA,http://www.onagri.tn/uploads/jortagri/4727.pdf,First Sheet
943,"J.O.R.T, 1er Fev 2000, V. 143 (9) p. 283 (Ar, Fr)",décret,"Décret no 2000-114 du 18 janvier 2000, portant changement de la vocation d'une parcelle de terre agricole et modification des limites des zones de sauvegarde des terres agricoles du gouvernorat de Jendouba",2000-02-01,CHANGEMENT DE VOCATION DE PARCELLE GOUVERNORAT DE JENDOUBA,http://www.onagri.tn/uploads/jortagri/4728.pdf,First Sheet
944,"J.O.R.T, 1er Fev 2000, V. 143 (9) p. 283 (Ar, Fr)",Arrêté,"Arrêté du ministre de l'agriculture du 19 janvier 2000, portant ouverture de la procédure de réaménagement foncier dans le périmètre public irrigué de Sbitla de la délégation de Sbitla, au gouvernorat de Kasserine",2000-02-01,REAMENAGEMENT FONCIER PPI SBITLA,http://www.onagri.tn/uploads/jortagri/4729.pdf,First Sheet
945,"J.O.R.T, 28 Jan 2000, V. 143 (8) p. 145 (Ar, Fr)",Loi,"Loi 2000-8 du 24 janvier 2000, portant approbation de la convention de garantie conclue le 3 novembre 1999 entre le gouvernement de la République Tunisienne et la Banque Islamique de Développement (B.I.D)et relative à la convention conclue le 3 novembre1999 entre la société  nationale d'exploitation et de distribution des eaux (SONEDE) et la BID et concernant le projet de développement du réseau d'adduction d'eau potable pour les régions de Kairouan et du Sahel",2000-01-28,ACCORD INTERNATIONAL SONEDE ADDUCTION D'EAU POTABLE,http://www.onagri.tn/uploads/jortagri/4712.pdf,First Sheet
946,"J.O.R.T, 25 Jan 2000, V. 143 (7) p. 119-121 (Ar, Fr)",Arrêté,"Arrêté du ministre de l'agriculture du 12 janvier 2000, fixant les mesures sanitaires spécifiques à prendre pour la lutte contre les encéphalopathies spongiformes transmissibles chez les ruminants",2000-01-25,CONTROLE SANITAIRE ENCEPHALOPATHIE SPONGIFORME RUMINANT,http://www.onagri.tn/uploads/jortagri/4711.pdf,First Sheet
947,"J.O.R.T, 21 Jan 2000, V. 143 (6) p. 97 (Ar, Fr)",Arrêté,"Arrêté du ministre de l'agriculture du 5 janvier 2000, portant homologation du plan de réaménagement foncier du périmètre public irrigué d'El M'karem de la délégation de Sidi Bouzid-Est, au gouvernorat de Sidi Bouzid",2000-01-21,REAMENAGEMENT FONCIER PPI DELEGATION SIDI BOUZID,http://www.onagri.tn/uploads/jortagri/4705.pdf,First Sheet
948,"J.O.R.T, 21 Jan 2000, V. 143 (6) p. 97 (Ar, Fr)",Arrêté,"Arrêté du ministre de l'agriculture du 5 janvier 2000, portant homologation du plan de réaménagement foncier du périmètre public irrigué d'El Houejbia de la délégation de Sidi Bouzid-Ouest, au gouvernorat de Sidi Bouzid",2000-01-21,REAMENAGEMENT FONCIER PPI EL HOUEJBIA,http://www.onagri.tn/uploads/jortagri/4706.pdf,First Sheet
949,"J.O.R.T, 21 Jan 2000, V. 143 (6) p. 98 (Ar, Fr)",Arrêté,"Arrêté du ministre de l'agriculture du 5 janvier 2000, portant homologation du plan de réaménagement foncier du périmètre public irrigué d'Ouled Slimène de la délégation de Bir El Hfey, au gouvernorat de Sidi Bouzid",2000-01-21,REAMENAGEMENT FONCIER PPI OULED SLIMENE,http://www.onagri.tn/uploads/jortagri/4707.pdf,First Sheet
950,"J.O.R.T, 21 Jan 2000, V. 143 (6) p. 98 (Ar, Fr)",Arrêté,"Arrêté du ministre de l'agriculture du 5 janvier 2000, portant homologation du plan de réaménagement foncier du périmètre public irrigué El-Mech de la délégation d'El Meknassy, au gouvernorat de Sidi Bouzid",2000-01-21,REAMENAGEMENT FONCIER PPI EL-MECH DELEGATION DE MEKNASSY,http://www.onagri.tn/uploads/jortagri/4708.pdf,First Sheet
951,"J.O.R.T, 21 Jan 2000, V; 143 (6) p. 99 (Ar, Fr)",Arrêté,"Arrêté du ministre de l'agriculture du 5 janvier 2000, portant homologation du plan de réaménagement foncier d'El Azima (2ème tranche) relevant du périmètre public irrigué de Bou-Heurtma IV de la délégation de Jendouba, au gouvernorat de Jendouba",2000-01-21,REAMENAGEMENT FONCIER PPI BOUHEURTMA,http://www.onagri.tn/uploads/jortagri/4709.pdf,First Sheet
952,"J.O.R.T, 21 Jan 2000, V. 143  (6) p. 99 (Ar, Fr)",Arrêté,"Arrêté du ministre de l'agriculture du 5 janvier 2000, portant homologaton du plan de réaménagement foncier du périmètre public irrigué d'Ain Khol de la délégation de Hidra, au gouvernorat de Kasserine",2000-01-21,REAMENAGEMENT FONCIER PPI AIN KHOL,http://www.onagri.tn/uploads/jortagri/4710.pdf,First Sheet
953,"J.O.R.T, 14 Jan 2000, V. 143 (4) p. 60 (Ar, Fr)",décret,"Décret no 2000-9 du 3 janvier 2000, portant création du périmètre public irrigué à Nefza (Bouzenna) de la délégation de Nefza au gouvernorat de Béja",2000-01-14,PPI NEFZA,http://www.onagri.tn/uploads/jortagri/4692.pdf,First Sheet
954,"J.O.R.T, 14 Jan 2000, V. 143 (4) p. 60-61 (Ar, Fr)",décret,"Décret no 2000-10 du 3 janvier 2000, portant création d'un périmètre public irrigué à Barbara (Fernana) de la délégation de Fernana au gouvernorat de Jendouba",2000-01-14,PPI BARBARA DELEGATION DE FERNANA,http://www.onagri.tn/uploads/jortagri/4693.pdf,First Sheet
955,"J.O.R.T, 14 Jan 2000, V. 143 (4) p. 61 (Ar, Fr)",décret,"Décret no 2000-11 du 3 janvier 2000, portant création d'un périmètre public irrigué à Barbara (Hammem Bourguiba) de la délégation de Ain Drahem au gouvernorat de Jendouba",2000-01-14,PPI BARBARA DELEGATION DE AIN DRAHAM,http://www.onagri.tn/uploads/jortagri/4694.pdf,First Sheet
956,"J.O.R.T, 14 Jan 2000, V. 143 (4) p. 61 (Ar, Fr)",décret,"Décret no 2000-12 du 3 janvier 2000, portant création d'un périmètre public irrigué à Nefza (Wechtata) de la délégation de Nefza au gouvernorat de Béja",2000-01-14,PPI NEFZA,http://www.onagri.tn/uploads/jortagri/4695.pdf,First Sheet
957,"J.O.R.T, 14 Jan 2000, V. 143 (4) p. 62 (Ar, Fr)",décret,"Décret no 2000-13 du 3 janvier 2000, portant création d'un périmètre public irrigué à Bouhzem B21 de la délégation de Béja nord au gouvernorat de Béja",2000-01-14,PPI DELEGATION DE BEJA,http://www.onagri.tn/uploads/jortagri/4696.pdf,First Sheet
958,"J.O.R.T, 14 Jan 2000, V. 143 (4) p. 63 (Ar, Fr)",décret,"Décret no 2000-14 du 3 janvier 2000, portant création d'un périmètre public irrigué à Om El Adham de la délégation de Sidi Bouzid au gouvernorat de Sidi Bouzid",2000-01-14,PPI DELEGATION DE SIDI BOUZID,http://www.onagri.tn/uploads/jortagri/4697.pdf,First Sheet
