annee,gouvernorat,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13
2022.0,Gafsa,1502.6,1487.0,1583.5,1765.6,1998.8,2240.5,2407.0,2474.0,2422.0,2201.0,1955.0,1755.0,Feuil1,,,,,,,,,,,,,
2022.0,Tozeur,549.11748395034,486.8888908883999,557.87389940364,566.66316476385,649.0265847840001,680.6807361000001,758.188316,789.8341439999999,743.013,654.094,606.3,563.5,Feuil1,,,,,,,,,,,,,
2022.0,Sidi Bouzid,1302.729,1159.131,1237.991,1368.08,1392.415,1484.624,1660.731,1583.821,1480.588,1393.666,1314.651,1318.275,Feuil1,,,,,,,,,,,,,
2022.0,Gabes,2754.6285,2584.808,2763.8265,2707.842,2711.868,2628.892,2928.8305,2816.1055,2583.686,2810.7485,2753.18,2731.4265,Feuil1,,,,,,,,,,,,,
2022.0,Kebili,787.654,720.364,813.827,839.996,895.128,926.12,973.699,991.937,954.342,906.199,835.194,778.664,Feuil1,,,,,,,,,,,,,
2022.0,Medenine,1983.3552,1973.365632,2010.433824,1976.674839,2088.097,2072.579,2134.0903333333335,2112.26,2066.578666666667,2173.7086666666664,2154.593870967742,2076.2654838709673,Feuil1,,,,,,,,,,,,,
2022.0,Jerba,1513.663,1496.623,1566.926,1830.806,2070.393,2149.554,2270.505,2246.116,1991.787,2116.295,1845.498,1824.467,Feuil1,,,,,,,,,,,,,
2022.0,Tataouine,928.085,876.006,1005.233,999.283,970.53,968.337,995.015,960.863,914.855,910.876,881.629,923.506,Feuil1,,,,,,,,,,,,,
2022.0,Coefficient de pointe mensuelle,0.784357216002346,0.7059152184953926,0.7847484638494745,0.8286083701850959,0.8800214687065238,0.9238564355146204,0.9728680951965452,1.0,0.9160907091755872,0.8706315979578011,0.8243208429147739,0.8101640203618926,Feuil1,,,,,,,,,,,,,
2023.0,Bizerte,1550.716,1480.57,1606.4,1625.4,1750.3,1855.2,2080.5,2090.7,2030.4,1576.156,1417.171,1441.128,Feuil1,,,,,,,,,,,,,
2023.0,Ml Bourguiba,665.54,666.3,680.211,682.151,683.2,705.4,856.6,832.226,821.176,734.262,635.21,633.711,Feuil1,,,,,,,,,,,,,
2023.0,Jendouba,1070.119,1042.074,1105.749,1134.494,1193.609,1402.87,1882.671,1868.298,1681.121,1504.011,1315.156,1278.374,Feuil1,,,,,,,,,,,,,
2023.0,Le Kef,644.863,610.827,669.068,679.24,715.607,784.567,890.87,922.739,889.93,810.23,710.587,716.193,Feuil1,,,,,,,,,,,,,
2023.0,Siliana,662.304,616.0,670.148,664.329,741.199,771.944,780.2,757.8,711.5,633.58,603.57,581.5,Feuil1,,,,,,,,,,,,,
2023.0,Beja,902.707,856.172,1015.742,967.994,1091.412,1384.48,1340.251,1363.885,1306.407,740.588,740.285,761.344,Feuil1,,,,,,,,,,,,,
2023.0,Nabeul,1709.773,1495.552,1674.716,1603.615,1691.466,1913.587,2511.642,2515.423,2241.371,2006.294,1797.37,1818.075,Feuil1,,,,,,,,,,,,,
2023.0,Ml Temime,636.857,601.576,642.422,811.873,827.815,848.045,884.691,930.871,893.404,672.652,622.087,645.841,Feuil1,,,,,,,,,,,,,
2023.0,Grombalia,871.749,883.749,982.984,989.984,982.902,997.721,1066.695,1138.447,1049.58,979.162,904.263,899.323,Feuil1,,,,,,,,,,,,,
2023.0,Zaghouan,628.5,638.9,642.9,764.65,815.4,820.02,836.4,841.3,839.4,800.2,740.08,700.4,Feuil1,,,,,,,,,,,,,
2023.0,Grand Sousse,3196.658,3014.563,3101.569,3191.258,3356.213,3512.478,4156.894,3921.514,3900.652,3621.458,3452.476,3201.654,Feuil1,,,,,,,,,,,,,
2023.0,Moknine,1198.304,1119.971,1074.027,1056.473,1125.478,1265.482,1391.256,1409.875,1302.547,892.364,820.247,802.984,Feuil1,,,,,,,,,,,,,
