inv_declare,nbr_adi,nbr_emploi_pervu,mois,gouvernorat,feuille
2944868,34,56,11,قفصة,SQL Results
1424949,24,34,11,باجة,SQL Results
8083704,12,132,11,بن عروس,SQL Results
1472406,21,21,11,تطاوين,SQL Results
628440,8,0,11,زغوان,SQL Results
1746400,14,6,11,المنستير,SQL Results
3685330,32,37,11,المهدية,SQL Results
2966100,19,73,11,مدنين,SQL Results
904500,7,3,11,سوسة,SQL Results
3956244,21,24,12,قابس,SQL Results
3569310,42,49,12,قفصة,SQL Results
1278128,29,23,12,مدنين,SQL Results
6946800,35,37,12,المهدية,SQL Results
2213374,13,13,12,قبلي,SQL Results
11472000,28,35,12,القيروان,SQL Results
4033071,22,50,12,سيدي بوزيد,SQL Results
8995248,5,35,12,منــوبة,SQL Results
6029590,104,96,12,نابل,SQL Results
1220308,10,10,12,أريانة,SQL Results
5406510,13,11,12,بن عروس,SQL Results
1176207,11,19,12,توزر,SQL Results
719820,8,19,12,تــونس,SQL Results
43698588,29,67,12,باجة,SQL Results
2949924,35,30,12,صفاقس,SQL Results
2530068,11,16,12,زغوان,SQL Results
5232762,109,99,12,القصرين,SQL Results
3743104,27,0,12,جندوبة,SQL Results
10837222,46,88,12,بنزرت,SQL Results
1670240,29,6,12,الكاف,SQL Results
1285271,16,15,12,تطاوين,SQL Results
503000,10,0,12,سليانة,SQL Results
11197450,11,20,12,سوسة,SQL Results
4600800,27,106,12,المنستير,SQL Results
