nbr_projets,inv_declare,nbr_emploi,gouv_ar,gouv_fr,delegation_ar,delegation_fr,secteur_act_ar,secteur_act_ar_1,mois_ar,mois_fr,annee_doa,feuille
2.0,247050,3,تطاوين,TATAWINE,تطاوين الشما لية,TATAWIN NORD,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
2.0,371000,24,القيروان,KAIROUAN,حاجب العيون,HAJEB LAYOUN,الخدمات,SERVICE,جويلية,juill.,2017,SQL Results
9.0,998062,6,سيدي بوزيد,SIDI BOUZIDE,منزل بوزيان,MANZEL BOUZAYEN,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
1.0,37500,2,المنستير,MOUNASTIR,زرمدين,ZMERDIN,الخدمات,SERVICE,جويلية,juill.,2017,SQL Results
1.0,52268,1,صفاقس,SFAXE,الصخيرة,SKHIRA,الخدمات,SERVICE,جويلية,juill.,2017,SQL Results
1.0,227000,3,سليانة,SILIANA,بوعرادة,BOU ARADA,الخدمات,SERVICE,جويلية,juill.,2017,SQL Results
1.0,46681,0,الكاف,KEF,الكاف الغربية,EL KEF OUSET,الخدمات,SERVICE,جويلية,juill.,2017,SQL Results
1.0,34376,0,القيروان,KAIROUAN,القيروان الشما لية,KAIROUAN NORD,التحويل الأولي,PREMIERE TRANSFORMATION,جويلية,juill.,2017,SQL Results
1.0,2557,0,بنزرت,BIZERTE,بنزرت الشما لية,BIZETE NORD,الصيد البحري,PECHE,جويلية,juill.,2017,SQL Results
1.0,85198,1,قبلي,KEBELLI,دوز الشما لية,DOUZ NORD,الخدمات,SERVICE,جويلية,juill.,2017,SQL Results
1.0,3877,1,مدنين,MEDENINE,مدنين الشما لية,MEDNI NORD,الخدمات,SERVICE,جويلية,juill.,2017,SQL Results
2.0,147580,1,صفاقس,SFAXE,الغريبة,ELGRIBA,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
1.0,54397,1,أريانة,ARIANA,رواد,RAWED,الخدمات,SERVICE,جويلية,juill.,2017,SQL Results
1.0,54000,1,القيروان,KAIROUAN,الشراردة,CHRARDA,الخدمات,SERVICE,جويلية,juill.,2017,SQL Results
1.0,110540,1,توزر,TOZEUR,دقاش,DGECH,التحويل الأولي,PREMIERE TRANSFORMATION,جويلية,juill.,2017,SQL Results
9.0,1652994,35,بنزرت,BIZERTE,ماطر,MATEUR,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
4.0,723084,3,باجة,BEJA,قبلاط,KBELLAT,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
16.0,2622003,7,زغوان,ZAGHOUANE,زغوان,ZAGOUAN,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
3.0,340785,6,نابل,NABEUL,بني خيار,BENI KHYAR,الصيد البحري,PECHE,جويلية,juill.,2017,SQL Results
12.0,2292286,27,بنزرت,BIZERTE,بنزرت الجنوبية,BIZETE SUD,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
2.0,14094,0,بنزرت,BIZERTE,غار الملح,GAR EL MELH,الصيد البحري,PECHE,جويلية,juill.,2017,SQL Results
3.0,168000,3,القيروان,KAIROUAN,سيدي علي نصرالله,SIDI ALI NASR ALLAH,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
5.0,1190736,69,الكاف,KEF,الدهماني,DAHMENI,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
23.0,1199112,14,سيدي بوزيد,SIDI BOUZIDE,سيدي بوزيد الغربية,SIDI BOUZID OUST,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
1.0,8600000,10,نابل,NABEUL,حمام الغزاز,HAMMEM GZEZ,الخدمات,SERVICE,جويلية,juill.,2017,SQL Results
6.0,1145557,13,صفاقس,SFAXE,المحرس,MAHRES,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
5.0,287000,5,القيروان,KAIROUAN,العلا,AL ALAA,الخدمات,SERVICE,جويلية,juill.,2017,SQL Results
2.0,152600,24,أريانة,ARIANA,سيدي ثابت,SID THABET,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
7.0,990531,3,قابس,GABES,مارث,MARETH,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
2.0,168191,0,سليانة,SILIANA,قعفور,GAAFOUR,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
3.0,87513,1,باجة,BEJA,عمدون,AMDOUN,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
1.0,1116700,2,قبلي,KEBELLI,الفوار,ELFAWAR,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
4.0,150000,1,المهدية,MAHDIA,أولاد الشامخ,AWLED CHAMEKH,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
1.0,85522,0,جندوبة,JENDOUBA,جندوبة,JENDOUBA,الخدمات,SERVICE,جويلية,juill.,2017,SQL Results
3.0,320651,3,قبلي,KEBELLI,سوق الأحد,SOUK LAHAD,التحويل الأولي,PREMIERE TRANSFORMATION,جويلية,juill.,2017,SQL Results
2.0,107000,0,جندوبة,JENDOUBA,جندوبة الشما لية,JENDOUBA NORD,الخدمات,SERVICE,جويلية,juill.,2017,SQL Results
1.0,2950,0,سوسة,SOUSSE,سيدي بوعلي,SIDI BOUALI,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
3.0,425859,6,منــوبة,MANOUBA,طبربة,TOUBOURBA,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
1.0,3000,2,بن عروس,BEN AROUSSE,بومهل البساتين,BOUMHAL ALBASSATIN,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
1.0,50563,0,قفصة,GAFSA,سيدي عيش,SIDI ICH,الخدمات,SERVICE,جويلية,juill.,2017,SQL Results
7.0,965995,10,باجة,BEJA,مجاز الباب,MJEZ ELBEB,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
1.0,67397,0,زغوان,ZAGHOUANE,الفحص,FAHS,الخدمات,SERVICE,جويلية,juill.,2017,SQL Results
6.0,663300,9,بنزرت,BIZERTE,غار الملح,GAR EL MELH,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
12.0,1226972,23,القصرين,KASSERINE,سبيبة,SBIBA,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
10.0,1091918,1,باجة,BEJA,باجة الجنوبية,BEJA SUD,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
1.0,610000,2,نابل,NABEUL,نابل,NABEUL,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
23.0,2205658,16,سيدي بوزيد,SIDI BOUZIDE,بئر الحفي,BIR HFAY,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
6.0,9080950,0,صفاقس,SFAXE,عقارب,AGAREB,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
17.0,1919671,18,سيدي بوزيد,SIDI BOUZIDE,المكناسي,EL MEKNASSI,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
2.0,506300,4,سيدي بوزيد,SIDI BOUZIDE,المزونة,ELMZOUNA,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
1.0,1150000,3,المنستير,MOUNASTIR,زرمدين,ZMERDIN,التحويل الأولي,PREMIERE TRANSFORMATION,جويلية,juill.,2017,SQL Results
13.0,1825000,28,القيروان,KAIROUAN,الشبيكة,CHBIKA,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
3.0,468000,5,المهدية,MAHDIA,الشابة,CHEBBA,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
4.0,400557,1,نابل,NABEUL,قربة,KOURBA,الفلاحي,AGRICULTURE,جويلية,juill.,2017,SQL Results
2.0,125460,0,صفاقس,SFAXE,الحنشة,HANCHA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
2.0,170000,2,القيروان,KAIROUAN,سيدي عمر بوحجلة,SIDI OMOR BOUHAJLA,الخدمات,SERVICE,أوت,août,2017,SQL Results
1.0,56000,1,سوسة,SOUSSE,القلعة الكبرى,KALAA ELKOUBRA,الخدمات,SERVICE,أوت,août,2017,SQL Results
2.0,370037,2,أريانة,ARIANA,قلعة الأندلس,KALAT AL ANDALOUS,الخدمات,SERVICE,أوت,août,2017,SQL Results
3.0,436150,2,بنزرت,BIZERTE,الغزالة,GZELA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,90000,1,المهدية,MAHDIA,السواسي,ESSWASSI,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
3.0,192446,1,صفاقس,SFAXE,جبنيانة,JEBINYANA,الخدمات,SERVICE,أوت,août,2017,SQL Results
1.0,45713,0,توزر,TOZEUR,دقاش,DGECH,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
2.0,70458,0,القصرين,KASSERINE,تا لة,TELA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
5.0,359000,5,القيروان,KAIROUAN,الشبيكة,CHBIKA,الخدمات,SERVICE,أوت,août,2017,SQL Results
2.0,539000,1,قابس,GABES,الحامة,HAMMA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
2.0,377806,1,مدنين,MEDENINE,مدنين الجنوبية,MEDNIN SUD,الخدمات,SERVICE,أوت,août,2017,SQL Results
7.0,864121,6,سيدي بوزيد,SIDI BOUZIDE,سوق الجديد,SOUK EJDID,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
5.0,292381,1,صفاقس,SFAXE,بئر علي بن خليفة,BIR ALI KHELIFFA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
2.0,175143,5,منــوبة,MANOUBA,واد الليل,WAD ELIL,الخدمات,SERVICE,أوت,août,2017,SQL Results
2.0,440000,0,المهدية,MAHDIA,سيدي علوان,SIDI ALWEN,التحويل الأولي,PREMIERE TRANSFORMATION,أوت,août,2017,SQL Results
2.0,177475,0,سليانة,SILIANA,العروسة,ALAROUSSA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,80400,0,الكاف,KEF,تاجروين,TAJERWIN,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
2.0,83363,0,الكاف,KEF,نبر,NEBR,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
3.0,278459,9,زغوان,ZAGHOUANE,زغوان,ZAGOUAN,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
3.0,520000,0,المهدية,MAHDIA,الشابة,CHEBBA,الصيد البحري,PECHE,أوت,août,2017,SQL Results
5.0,585000,6,المهدية,MAHDIA,المهدية,MAHDIA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
2.0,127000,0,المنستير,MOUNASTIR,المكنين,MEKNIN,الخدمات,SERVICE,أوت,août,2017,SQL Results
2.0,128723,1,تــونس,TUNIS,الكرم,EL KRAM,الخدمات,SERVICE,أوت,août,2017,SQL Results
5.0,405394,4,القيروان,KAIROUAN,القيروان الجنوبية,KAIROUAN SUD,الخدمات,SERVICE,أوت,août,2017,SQL Results
6.0,845478,3,صفاقس,SFAXE,منزل شاكر,MANZEL CHAKKER,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
2.0,785596,1,قابس,GABES,قابس الجنوبية,GABES SUD,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
14.0,1521394,8,سيدي بوزيد,SIDI BOUZIDE,سبا لة أولاد عسكر,SEBELET AWLED ASKAR,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
3.0,112100,75,المنستير,MOUNASTIR,طبلبة,TBOLBA,تربية الأحياء المائية,AQUACULTURE,أوت,août,2017,SQL Results
2.0,174778,0,جندوبة,JENDOUBA,بلطة بوعوان,BALTA BOU OUN,الخدمات,SERVICE,أوت,août,2017,SQL Results
3.0,312000,6,المهدية,MAHDIA,الجم,EL JEM,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,110000,1,المهدية,MAHDIA,الشابة,CHEBBA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
2.0,142000,3,تــونس,TUNIS,سيدي حسين,SID HSSIN,الخدمات,SERVICE,أوت,août,2017,SQL Results
3.0,429429,0,الكاف,KEF,قلعة الخصبة,KALAA KHESBA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
3.0,247000,4,بن عروس,BEN AROUSSE,مرناق,MORNAG,التحويل الأولي,PREMIERE TRANSFORMATION,أوت,août,2017,SQL Results
1.0,1600000,11,المنستير,MOUNASTIR,الساحلين,SAHLIN,التحويل الأولي,PREMIERE TRANSFORMATION,أوت,août,2017,SQL Results
1.0,19000,0,المنستير,MOUNASTIR,قصيبة المديوني,KSIBET ALMADYOUNI,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,165000,6,مدنين,MEDENINE,حومة السوق,HOUMMET SOUK,الصيد البحري,PECHE,أوت,août,2017,SQL Results
1.0,45994,0,صفاقس,SFAXE,قرقنة,KAREKNA,الخدمات,SERVICE,أوت,août,2017,SQL Results
1.0,6000000,18,القيروان,KAIROUAN,القيروان الجنوبية,KAIROUAN SUD,التحويل الأولي,PREMIERE TRANSFORMATION,أوت,août,2017,SQL Results
1.0,58539,1,صفاقس,SFAXE,العامرة,EL AMRA,الخدمات,SERVICE,أوت,août,2017,SQL Results
1.0,2170972,4,سيدي بوزيد,SIDI BOUZIDE,سيدي علي بن عون,SIDI ALI BEN OUN,التحويل الأولي,PREMIERE TRANSFORMATION,أوت,août,2017,SQL Results
1.0,80762,1,قبلي,KEBELLI,دوز الشما لية,DOUZ NORD,الخدمات,SERVICE,أوت,août,2017,SQL Results
1.0,16000,1,نابل,NABEUL,بني خيار,BENI KHYAR,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
7.0,266836,0,باجة,BEJA,تبرسق,TBORSOK,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
4.0,228189,1,صفاقس,SFAXE,صفاقس المدينة,SFAXE MEDINA,الخدمات,SERVICE,أوت,août,2017,SQL Results
2.0,75645,0,القصرين,KASSERINE,جدليان,JDELYAN,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
3.0,225000,3,المهدية,MAHDIA,السواسي,ESSWASSI,الخدمات,SERVICE,أوت,août,2017,SQL Results
1.0,75000,2,تــونس,TUNIS,باردو,BARDO,الخدمات,SERVICE,أوت,août,2017,SQL Results
1.0,29000,0,المهدية,MAHDIA,المهدية,MAHDIA,التحويل الأولي,PREMIERE TRANSFORMATION,أوت,août,2017,SQL Results
1.0,70000,0,القيروان,KAIROUAN,العلا,AL ALAA,الخدمات,SERVICE,أوت,août,2017,SQL Results
1.0,535000,0,صفاقس,SFAXE,طينة,TINA,التحويل الأولي,PREMIERE TRANSFORMATION,أوت,août,2017,SQL Results
6.0,1276500,24,بن عروس,BEN AROUSSE,مرناق,MORNAG,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
2.0,198688,1,صفاقس,SFAXE,عقارب,AGAREB,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
2.0,161050,2,سيدي بوزيد,SIDI BOUZIDE,السعيدة,ASSAIDA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
2.0,60938,0,الكاف,KEF,ساقية سيدي يوسف,SAKIYET SIDI YOUSSEF,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,120000,0,سليانة,SILIANA,كسرى,KESSRA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,80000,6,بن عروس,BEN AROUSSE,بومهل البساتين,BOUMHAL ALBASSATIN,التحويل الأولي,PREMIERE TRANSFORMATION,أوت,août,2017,SQL Results
6.0,540166,0,بنزرت,BIZERTE,جرزونة,JARZOUNA,الصيد البحري,PECHE,أوت,août,2017,SQL Results
31.0,2130736,11,سيدي بوزيد,SIDI BOUZIDE,سيدي بوزيد الغربية,SIDI BOUZID OUST,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
18.0,1941800,8,سيدي بوزيد,SIDI BOUZIDE,المكناسي,EL MEKNASSI,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
2.0,104774,1,صفاقس,SFAXE,طينة,TINA,الخدمات,SERVICE,أوت,août,2017,SQL Results
2.0,1764360,2,القيروان,KAIROUAN,القيروان الشما لية,KAIROUAN NORD,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
4.0,183343,1,نابل,NABEUL,بني خلاد,BENI KHALLED,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,78500,2,قفصة,GAFSA,قفصة الشما لية,GAFSSA NORD,الخدمات,SERVICE,أوت,août,2017,SQL Results
1.0,68162,0,صفاقس,SFAXE,ساقية الدائر,SAKIYET EDAYER,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
6.0,3629786,4,صفاقس,SFAXE,الصخيرة,SKHIRA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
2.0,1452587,4,نابل,NABEUL,نابل,NABEUL,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
3.0,156367,2,قبلي,KEBELLI,سوق الأحد,SOUK LAHAD,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
2.0,270000,4,قفصة,GAFSA,القطار,ALKATAR,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
8.0,453204,0,باجة,BEJA,باجة الشما لية,BEJANORD,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
3.0,671397,0,باجة,BEJA,قبلاط,KBELLAT,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
22.0,2205326,7,القصرين,KASSERINE,سبيطلة,SBITLA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
3.0,1423100,7,سوسة,SOUSSE,بوفيشة,BOUFICHA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
2.0,95238,0,جندوبة,JENDOUBA,فرنانة,FERNANA,الخدمات,SERVICE,أوت,août,2017,SQL Results
4.0,604556,5,قفصة,GAFSA,قفصة الجنوبية,GAFSA SUD,الخدمات,SERVICE,أوت,août,2017,SQL Results
2.0,369459,4,قبلي,KEBELLI,سوق الأحد,SOUK LAHAD,التحويل الأولي,PREMIERE TRANSFORMATION,أوت,août,2017,SQL Results
1.0,100505,1,قبلي,KEBELLI,قبلي الشما لية,KEBELLI NORD,التحويل الأولي,PREMIERE TRANSFORMATION,أوت,août,2017,SQL Results
2.0,143200,11,المنستير,MOUNASTIR,طبلبة,TBOLBA,الصيد البحري,PECHE,أوت,août,2017,SQL Results
1.0,27500,0,تطاوين,TATAWINE,غمراسن,GOMRASSEN,التحويل الأولي,PREMIERE TRANSFORMATION,أوت,août,2017,SQL Results
5.0,814950,12,سليانة,SILIANA,سليانة الشما لية,SILIANA NORD,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
5.0,275614,1,سليانة,SILIANA,الروحية,ROUHIYA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
3.0,758228,21,القصرين,KASSERINE,سبيبة,SBIBA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
5.0,1108495,21,نابل,NABEUL,قليبية,KLIBYA,الصيد البحري,PECHE,أوت,août,2017,SQL Results
4.0,532219,6,توزر,TOZEUR,توزر,TOZEUR,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
10.0,2996936,23,قفصة,GAFSA,قفصة الشما لية,GAFSSA NORD,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
18.0,1895779,14,سيدي بوزيد,SIDI BOUZIDE,الرقاب,ERGAB,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
7.0,894839,32,سيدي بوزيد,SIDI BOUZIDE,المزونة,ELMZOUNA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
6.0,845900,0,سيدي بوزيد,SIDI BOUZIDE,منزل بوزيان,MANZEL BOUZAYEN,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
7.0,2170665,10,سيدي بوزيد,SIDI BOUZIDE,جلمة,JELMA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
3.0,294207,3,قابس,GABES,مطماطة الجديدة,MATMATA ELJADIDA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,38200,0,صفاقس,SFAXE,منزل شاكر,MANZEL CHAKKER,تربية الأحياء المائية,AQUACULTURE,أوت,août,2017,SQL Results
6.0,3477550,1,باجة,BEJA,تستور,TASTOUR,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,8400,0,سليانة,SILIANA,الكريب,EL KRIB,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,245000,10,سوسة,SOUSSE,مساكن,MSAKEN,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,72000,1,مدنين,MEDENINE,جرجيس,JERJIS,الخدمات,SERVICE,أوت,août,2017,SQL Results
2.0,100740,1,جندوبة,JENDOUBA,جندوبة,JENDOUBA,الخدمات,SERVICE,أوت,août,2017,SQL Results
3.0,495148,3,قابس,GABES,قابس الغربية,GABES WEST,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,330000,10,قبلي,KEBELLI,الفوار,ELFAWAR,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,1050000,9,المهدية,MAHDIA,شربان,CHERBEN,التحويل الأولي,PREMIERE TRANSFORMATION,أوت,août,2017,SQL Results
1.0,36235,1,قابس,GABES,مطماطة الجديدة,MATMATA ELJADIDA,الخدمات,SERVICE,أوت,août,2017,SQL Results
1.0,53000,1,مدنين,MEDENINE,حومة السوق,HOUMMET SOUK,الخدمات,SERVICE,أوت,août,2017,SQL Results
1.0,127000,2,بنزرت,BIZERTE,غار الملح,GAR EL MELH,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
3.0,248451,0,سيدي بوزيد,SIDI BOUZIDE,سيدي بوزيد الغربية,SIDI BOUZID OUST,الخدمات,SERVICE,أوت,août,2017,SQL Results
2.0,296730,1,سيدي بوزيد,SIDI BOUZIDE,سوق الجديد,SOUK EJDID,الخدمات,SERVICE,أوت,août,2017,SQL Results
4.0,910000,7,المنستير,MOUNASTIR,المكنين,MEKNIN,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
2.0,95042,0,أريانة,ARIANA,قلعة الأندلس,KALAT AL ANDALOUS,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
7.0,1089900,9,بنزرت,BIZERTE,ماطر,MATEUR,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
4.0,449478,5,قفصة,GAFSA,قفصة الجنوبية,GAFSA SUD,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
5.0,1541000,12,القيروان,KAIROUAN,سيدي عمر بوحجلة,SIDI OMOR BOUHAJLA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,80000,0,الكاف,KEF,قلعة سنان,KALAT SINAN,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
4.0,2986699,7,زغوان,ZAGHOUANE,بئر مشارقة,BIR MCHARGA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
2.0,107000,3,المهدية,MAHDIA,شربان,CHERBEN,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,52913,1,بنزرت,BIZERTE,جرزونة,JARZOUNA,الخدمات,SERVICE,أوت,août,2017,SQL Results
1.0,472700,7,منــوبة,MANOUBA,المرناقية,MOURNAGIA,الخدمات,SERVICE,أوت,août,2017,SQL Results
1.0,8951,0,توزر,TOZEUR,نفطة,NAFTA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
3.0,1275000,2,بنزرت,BIZERTE,أوتيك,UTIK,الخدمات,SERVICE,أوت,août,2017,SQL Results
1.0,66000,1,القيروان,KAIROUAN,سيدي علي نصرالله,SIDI ALI NASR ALLAH,الخدمات,SERVICE,أوت,août,2017,SQL Results
1.0,124491,1,بنزرت,BIZERTE,بنزرت الشما لية,BIZETE NORD,الخدمات,SERVICE,أوت,août,2017,SQL Results
3.0,191867,0,مدنين,MEDENINE,جرجيس,JERJIS,الصيد البحري,PECHE,أوت,août,2017,SQL Results
4.0,235000,4,المهدية,MAHDIA,الجم,EL JEM,الخدمات,SERVICE,أوت,août,2017,SQL Results
3.0,365391,3,منــوبة,MANOUBA,الجديدة,ALJADIDA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
3.0,320400,4,المنستير,MOUNASTIR,زرمدين,ZMERDIN,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,102000,15,المنستير,MOUNASTIR,صيادة لمطة بوحجر,SAYADAT LAMTA BOUHJAR,الصيد البحري,PECHE,أوت,août,2017,SQL Results
1.0,49000,0,سوسة,SOUSSE,القلعة الكبرى,KALAA ELKOUBRA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,152000,0,صفاقس,SFAXE,صفاقس الجنوبية,SFAXE SUD,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,141000,0,جندوبة,JENDOUBA,بلطة بوعوان,BALTA BOU OUN,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,37000,0,المنستير,MOUNASTIR,البقا لطة,BKALTA,تربية الأحياء المائية,AQUACULTURE,أوت,août,2017,SQL Results
1.0,101450,2,قفصة,GAFSA,أم  العرائس,OM ELARAYES,الخدمات,SERVICE,أوت,août,2017,SQL Results
2.0,153960,0,قفصة,GAFSA,زانوش,,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,60000,1,مدنين,MEDENINE,بني خداش,BENI KHEDECH,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,1055000,6,سيدي بوزيد,SIDI BOUZIDE,الرقاب,ERGAB,التحويل الأولي,PREMIERE TRANSFORMATION,أوت,août,2017,SQL Results
1.0,446667,12,قابس,GABES,المطوية,EL METWEYA,الخدمات,SERVICE,أوت,août,2017,SQL Results
13.0,1334783,2,القصرين,KASSERINE,ماجل با لعباس,MAJEL BELABBES,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
3.0,359668,0,زغوان,ZAGHOUANE,الفحص,FAHS,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,58000,5,مدنين,MEDENINE,بن قردان,BEN GERDAN,الصيد البحري,PECHE,أوت,août,2017,SQL Results
6.0,596635,0,باجة,BEJA,باجة الجنوبية,BEJA SUD,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,28400,1,القصرين,KASSERINE,حيدرة,HIDRA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
4.0,156098,0,الكاف,KEF,السرس,SERS,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,12079,0,نابل,NABEUL,حمام الغزاز,HAMMEM GZEZ,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
3.0,468020,6,قفصة,GAFSA,أم  العرائس,OM ELARAYES,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,4460,0,جندوبة,JENDOUBA,جندوبة,JENDOUBA,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
1.0,53603,1,سوسة,SOUSSE,هرقلة,HIRGLA,الخدمات,SERVICE,أوت,août,2017,SQL Results
1.0,84000,1,المهدية,MAHDIA,بو مرداس,BOU MERDES,الخدمات,SERVICE,أوت,août,2017,SQL Results
4.0,426085,0,باجة,BEJA,عمدون,AMDOUN,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
12.0,1432140,8,القصرين,KASSERINE,القصرين الجنوبية,KASSERINE SUD,الفلاحي,AGRICULTURE,أوت,août,2017,SQL Results
