الاسطول_و_اليد_العاملة_بقطاع_الصيد_البحري,unnamed_1,unnamed_2,unnamed_3,unnamed_4,feuille,unnamed_6,unnamed_0,الــولايـــــة,مركب_صيد_ساحلي_مجهز_بمحرك,مركب_صيد_ساحلي_غير_مجهز_بمحرك,وحدات_صيد_بالجر,السمك_الازرق,وحدات_صيد_التن,تربية_احياء_مايية,سدود
,مراكب صيد ساحلي مجهزة بمحرك,275.0,0.0,898.0,FLO-POP-SO17,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,99.0,0.0,198.0,FLO-POP-SO17,,,,,,,,,,
المــجــمــــوع,وحدات صيد السمك الأزرق,1.0,0.0,12.0,FLO-POP-SO17,,,,,,,,,,
,تربية أحياء مائية,5.0,4.0,22.0,FLO-POP-SO17,,,,,,,,,,
الــمــجـــمـــــــــــــــوع,,389.0,4.0,1247.0,FLO-POP-SO17,,,,,,,,,,
بولاية المنستير لسنة 2017,,,,,FLO-POPMO2017,,,,,,,,,,
,,,,,FLO-POPMO2017,,,,,,,,,,
الميناء,الأسطول,,,,FLO-POPMO2017,,,,,,,,,,
,نوع المركب,,,,FLO-POPMO2017,,,,,,,,,,
المنستير,مراكب صيد ساحلي مجهزة بمحرك,195.0,5.0,780.0,FLO-POPMO2017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,52.0,0.0,104.0,FLO-POPMO2017,,,,,,,,,,
,تربية أحياء مائية,8.0,0.0,88.0,FLO-POPMO2017,,,,,,,,,,
,وحدات الصيد بالجر القاعي,1.0,0.0,15.0,FLO-POPMO2017,,,,,,,,,,
خنيس,مراكب صيد ساحلي مجهزة بمحرك,16.0,0.0,64.0,FLO-POPMO2017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,18.0,0.0,36.0,FLO-POPMO2017,,,,,,,,,,
,مراكب صيد ساحلي مجهزة بمحرك,20.0,3.0,80.0,FLO-POPMO2017,,,,,,,,,,
قصيبة المديوني,مراكب صيد ساحلي بدون محرك,15.0,0.0,30.0,FLO-POPMO2017,,,,,,,,,,
صيادة,مراكب صيد ساحلي مجهزة بمحرك,148.0,4.0,592.0,FLO-POPMO2017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,54.0,0.0,108.0,FLO-POPMO2017,,,,,,,,,,
,وحدات صيد السمك الأزرق,14.0,2.0,224.0,FLO-POPMO2017,,,,,,,,,,
طبلبة,مراكب صيد ساحلي مجهزة بمحرك,239.0,16.0,956.0,FLO-POPMO2017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,125.0,0.0,250.0,FLO-POPMO2017,,,,,,,,,,
,وحدات صيد السمك الأزرق,71.0,4.0,1136.0,FLO-POPMO2017,,,,,,,,,,
,وحدات الصيد بالجر القاعي,9.0,0.0,135.0,FLO-POPMO2017,,,,,,,,,,
,وحدات صيد التن,1.0,0.0,15.0,FLO-POPMO2017,,,,,,,,,,
,تربية أحياء مائية,19.0,0.0,209.0,FLO-POPMO2017,,,,,,,,,,
بقالطة,مراكب صيد ساحلي مجهزة بمحرك,36.0,0.0,144.0,FLO-POPMO2017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,19.0,3.0,38.0,FLO-POPMO2017,,,,,,,,,,
,تربية الأسماك,8.0,0.0,88.0,FLO-POPMO2017,,,,,,,,,,
,مراكب صيد ساحلي مجهزة بمحرك,654.0,28.0,2616.0,FLO-POPMO2017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,283.0,3.0,566.0,FLO-POPMO2017,,,,,,,,,,
المــجــمــــوع,وحدات صيد السمك الأزرق,85.0,6.0,1360.0,FLO-POPMO2017,,,,,,,,,,
,وحدات الصيد بالجر,11.0,0.0,165.0,FLO-POPMO2017,,,,,,,,,,
,تربية أحياء مائية,35.0,0.0,385.0,FLO-POPMO2017,,,,,,,,,,
الــمــجـــمـــــــــــــــوع,,1069.0,37.0,5107.0,FLO-POPMO2017,,,,,,,,,,
بولاية المــهديـــة لسنة 2017,,,,,FLO-POP-MAH017,,,,,,,,,,
,,,,,FLO-POP-MAH017,,,,,,,,,,
الميناء,الأسطول,,,,FLO-POP-MAH017,,,,,,,,,,
,نوع المركب,,,,FLO-POP-MAH017,,,,,,,,,,
,مراكب صيد ساحلي مجهزة بمحرك,174.0,0.0,696.0,FLO-POP-MAH017,,,,,,,,,,
المــهـديــــة,مراكب صيد ساحلي بدون محرك,244.0,0.0,488.0,FLO-POP-MAH017,,,,,,,,,,
,وحدات الصيد بالجر,39.0,0.0,507.0,FLO-POP-MAH017,,,,,,,,,,
,مراكب صيد السمك الأزرق,24.0,0.0,360.0,FLO-POP-MAH017,,,,,,,,,,
,وحدات صيد التــن,5.0,0.0,60.0,FLO-POP-MAH017,,,,,,,,,,
,تربية أحياء مائية,8.0,0.0,64.0,FLO-POP-MAH017,,,,,,,,,,
,مراكب صيد ساحلي مجهزة بمحرك,280.0,0.0,1120.0,FLO-POP-MAH017,,,,,,,,,,
الــشــابـــة,مراكب صيد ساحلي بدون محرك,429.0,0.0,858.0,FLO-POP-MAH017,,,,,,,,,,
,مراكب صيد السمك الأزرق,58.0,0.0,870.0,FLO-POP-MAH017,,,,,,,,,,
,وحدات الصيد بالجر,45.0,0.0,585.0,FLO-POP-MAH017,,,,,,,,,,
,تربية أحياء مائية,5.0,0.0,55.0,FLO-POP-MAH017,,,,,,,,,,
,مراكب صيد ساحلي مجهزة بمحرك,15.0,0.0,60.0,FLO-POP-MAH017,,,,,,,,,,
ملولش,مراكب صيد ساحلي بدون محرك,35.0,0.0,35.0,FLO-POP-MAH017,,,,,,,,,,
سلــقــطـــة,مراكب صيد ساحلي مجهزة بمحرك,84.0,0.0,252.0,FLO-POP-MAH017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,115.0,0.0,230.0,FLO-POP-MAH017,,,,,,,,,,
,مراكب صيد ساحلي مجهزة بمحرك,553.0,0.0,2128.0,FLO-POP-MAH017,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,823.0,0.0,1611.0,FLO-POP-MAH017,,,,,,,,,,
المــجــمــــوع,وحدات الصيد بالجر,84.0,0.0,1092.0,FLO-POP-MAH017,,,,,,,,,,
,مراكب صيد السمك الأزرق,82.0,0.0,1230.0,FLO-POP-MAH017,,,,,,,,,,
,تربية أحياء مائية,13.0,0.0,119.0,FLO-POP-MAH017,,,,,,,,,,
