unnamed_0,feuille,تطور_استغلال_البحيرات_الجبلية,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,تطور_استغلال_السدود_الكبرى_و_السدود_الجبلية,تطور_الموارد_المايية_حسب_المايدة_السطحية,تطور_الموارد_المايية_حسب_المايدة_العميقة,تطور_مساحة_الاراضي_الفلاحية_حسب_الموهلات,تطور_المساحات_المزروعة_حسب_الاستغلال_هك,تطور_المساحات_المزروعة_حسب_الاستغلال_هك_يتبع,تطور_الانتاج_النباتي_حسب_الصنف_طن,تطور_تربية_الماشية_الصغرى,تطور_وتوزيع_الاستثمارات_المصادق_عليها_من_صنفي_ب_ج,unnamed_11,توزيع_المشاريع_الفلاحية_من_صنفي_ب_وج_حسب_القطاع,تطور_معاصر_زيت_الزيتون,مراكز_تجميع_الحليب_حسب_المعتمدية,موشرات_حول_البيية_وجودة_الحياة
,S-SP,,,,,,,,,,,,,,,,,,,,,,,,,
القطاعات المنتجة,S-SP,,,,,,,,,,,,,,,,,,,,,,,,,
Secteurs Productifs,S-SP,,,,,,,,,,,,,,,,,,,,,,,,,
,S-Agri46,,,,,,,,,,,,,,,,,,,,,,,,,
الفلاحة,S-Agri46,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,S-Agri46,,,,,,,,,,,,,,,,,,,,,,,,,
,Agric1,Evolution de l'exploitation des Lacs Collinaires,,,,,,,,,,,,,,,,,,,,,,,,
,Agric1,المعتمدية,عدد البحيرات,,طاقة الخزن (ألف متر مكعب) بعد طرح الترسبات,,المخزون إلى أخر السنة (ألف متر مكعب),,الكمية المستغلة,,DELEGATION,Code géographique,,,,,,,,,,,,,,
المجموع,Agric8,,0.5821679139382601,0.49520579981290924,1.0513500574854395,0.8259325044404974,0.4285196445275959,0.3716089803554724,0.7348043349333135,0.5772646536412078,TOTAL,16,,,,,,,,,,,,,,
المصدر: المندوبية الجهوية للتنمية الفلاحية,Agric8,,,,,Source : Commissariat Régional au Développement Agricole,,,,,,,,,,,,,,,,,,,,
,Agric9,,,,,,,,,,,,,,,,Evolution de la superficie agricole selon l'exploitation (Ha),,,,,,,,,
,Agric9,,الخضروات,,زراعات صناعية,,أشجار مثمرة (بدون زياتين),,DELEGATION,Code géographique,,,,,,,المعتمدية,,,,,,,,,
,Agric9,,Maraîchage,,Cultures Industrielles,,Arboriculture,,,,,,,,,,,,,,,,,,,
,Agric9,,2020,2021.0,2020,2021.0,2020,2021.0,,,,,,,,,,,,,,,,,,
,Agric9,,208,240.0,148,328.0,1124,1144.0,Zaghouan,1651,,,,,,,زغوان,,,,,,,,,
,Agric9,,111,110.0,,20.0,721,682.0,Zriba,1652,,,,,,,الزريبة,,,,,,,,,
,Agric9,,18,20.0,382,576.0,1088,1043.0,Bir Mchergua,1653,,,,,,,بئر مشارقة,,,,,,,,,
,Agric9,,908,850.0,110,633.0,2814,3045.0,Fahs,1654,,,,,,,الفحص,,,,,,,,,
,Agric9,,2789,2900.0,,,465,498.0,Nadhour,1655,,,,,,,الناظور,,,,,,,,,
,Agric9,,326,335.0,,,483,465.0,Saouaf,1656,,,,,,,صواف,,,,,,,,,
,Agric9,,4360,4455.0,640,1557.0,6695,6877.0,TOTAL,16,,,,,,,المجموع,,,,,,,,,
,Agric9,,,,,,,,,Source : Commissariat Régional au Développement Agricole,,,,,,,المصدر: المندوبية الجهوية للتنمية الفلاحية,,,,,,,,,
,Agric10,,,,,,,,,,,,,,,,,Evolution de la superficie agricole selon l'exploitation (Ha) (suite),,,,,,,,
المعتمدية,Agric10,,,,بقول,,الأعلاف,,زيتون,,DELEGATION,Code géographique,,,,,,الحبوب,,,,,,,,
,Agric10,,,,Légumineuses,,Fourrages,,Olives,,,,,,,,,Céréaliculture,,,,,,,,
,Agric10,,,2021.0,2020,2021.0,2020,2021.0,2020,2021.0,,,,,,,,2020,,,,,,,,
زغوان,Agric10,,,10160.0,420,225.0,6758,6805.0,10101,10319.0,Zaghouan,1651,,,,,,9720,,,,,,,,
الزريبة,Agric10,,,6700.0,62,99.0,1120,972.0,8573,8676.0,Zriba,1652,,,,,,6700,,,,,,,,
بئر مشارقة,Agric10,,,18280.0,150,170.0,9381,9350.0,8183,8470.0,Bir Mchergua,1653,,,,,,17620,,,,,,,,
الفحص,Agric10,,,21100.0,590,450.0,8920,8480.0,15351,15824.0,Fahs,1654,,,,,,23100,,,,,,,,
الناظور,Agric10,,,6450.0,465,55.0,850,1100.0,9502,9672.0,Nadhour,1655,,,,,,6450,,,,,,,,
صواف,Agric10,,,2913.0,33,0.0,1721,1767.0,6913,7023.0,Saouaf,1656,,,,,,3610,,,,,,,,
المجموع,Agric10,,,65603.0,1720,999.0,28750,28474.0,58623,59984.0,TOTAL,16,,,,,,67200,,,,,,,,
المصدر: المندوبية الجهوية للتنمية الفلاحية,Agric10,,,,,,,,,,,Source : Commissariat Régional au Développement Agricole,,,,,,,,,,,,,,
,Agric11,,,,,,,,,,,,,,,,,,Evolution de la Production Végétale selon l'Espèce (tonne),,,,,,,
,Agric11,,الخضروات,,زراعات صناعية,,أشجار مثمرة (بدون زياتين),,DELEGATION,Code géographique,,,,,,,,,المعتمدية,,,,,,,
,Agric11,,Maraîchage,,Cultures Industrielles,,Arboriculture,,,,,,,,,,,,,,,,,,,
,Agric11,,2020,2021.0,2020,2021.0,2020,2021.0,,,,,,,,,,,,,,,,,,
,Agric11,,6955,6300.0,165,5400.0,11420,14150.0,Zaghouan,1651,,,,,,,,,زغوان,,,,,,,
,Agric11,,2350,1050.0,0,100.0,2280,2960.0,Zriba,1652,,,,,,,,,الزريبة,,,,,,,
,Agric11,,595,500.0,601,9500.0,5765,6450.0,Bir Mchergua,1653,,,,,,,,,بئر مشارقة,,,,,,,
,Agric11,,32870,24275.0,112,10000.0,6145,7045.0,Fahs,1654,,,,,,,,,الفحص,,,,,,,
,Agric11,,112990,95605.0,,,2495,3210.0,Nadhour,1655,,,,,,,,,الناظور,,,,,,,
,Agric11,,13000,8225.0,,,2937,3680.0,Saouaf,1656,,,,,,,,,صواف,,,,,,,
,Agric11,,168760,135955.0,878,25000.0,31042,37495.0,TOTAL,16,,,,,,,,,المجموع,,,,,,,
,Agric11,,,,,,,,,Source : Commissariat Régional au Développement Agricole,,,,,,,,,المصدر: المندوبية الجهوية للتنمية الفلاحية,,,,,,,
تطور الإنتاج النباتي حسب الصنف (طن),Agric12,,,,,,,,,,,,,,,,,,,,,,,,,
Evolution de la Production Végétale selon l'Espèce (tonne),Agric12,,,,,,,,,,,,,,,,,,,,,,,,,
المعتمدية,Agric12,,الحبوب,,بقول(جافة وخضراء),,الأعلاف,,زيتون,,DELEGATION,Code géographique,,,,,,,,,,,,,,
,Agric12,,Céréaliculture,,Légumineuses,,Fourrages,,Olives,,,,,,,,,,,,,,,,,
,Agric12,,2020,2021.0,2020,2021.0,2020,2021.0,2020,2021.0,,,,,,,,,,,,,,,,
زغوان,Agric12,,11222,15769.0,164,360.5,19635,36700.0,14150,1645.0,Zaghouan,1651,,,,,,,,,,,,,,
الزريبة,Agric12,,3170,8953.0,2.5,86.9,3630,10071.0,10650,860.0,Zriba,1652,,,,,,,,,,,,,,
بئر مشارقة,Agric12,,20740,26170.0,110,170.0,34110,34410.0,10590,6870.0,Bir Mchergua,1653,,,,,,,,,,,,,,
الفحص,Agric12,,29912,49678.0,300,900.0,51138,110725.0,34375,5210.0,Fahs,1654,,,,,,,,,,,,,,
الناظور,Agric12,,2324,3835.0,84,55.5,2050,5840.0,7730,3440.0,Nadhour,1655,,,,,,,,,,,,,,
صواف,Agric12,,2915,2018.0,6,0.0,9600,5916.0,3880,935.0,Saouaf,1656,,,,,,,,,,,,,,
المجموع,Agric12,,70283,106423.0,666.5,1572.9,120163,203662.0,81375,18960.0,TOTAL,16,,,,,,,,,,,,,,
المصدر: المندوبية الجهوية للتنمية الفلاحية,Agric12,,,,,,,,,,,Source : Commissariat Régional au Développement Agricole,,,,,,,,,,,,,,
تطور تربية الماشية حسب الصنف  (أنثى منتجة),Agric13,,,,,,,,,,,,,,,,,,,,,,,,,
Evolution du Cheptel selon l'Espèce ( femelle productive),Agric13,,,,,,,,,,,,,,,,,,,,,,,,,
المعتمدية,Agric13,,أبقار,Bovins,أغنام,Ovins,ماعز,Caprins,DELEGATION,Code géographique,,,,,,,,,,,,,,,,
,Agric13,,2020,2021,2020,2021,2020,2021,,,,,,,,,,,,,,,,,,
زغوان,Agric13,,1450,1415,35300,35500,5100,5150,Zaghouan,1651,,,,,,,,,,,,,,,,
الزريبة,Agric13,,1240,1215,26000,26100,10300,10400,Zriba,1652,,,,,,,,,,,,,,,,
