date,gouvernorat,type_peche,main_œuvre,feuille
2019,بــــنـــــزرت,تربية أحياء مائية,28.0,Feuil1
2019,بــــنـــــزرت,صيدعلى الأقدام,0.0,Feuil1
2019,أريـــــــــانة,صيد ساحلي,1160.0,Feuil1
2019,أريـــــــــانة,صيد بالجر,0.0,Feuil1
2019,أريـــــــــانة,صيد السمك الأزرق,0.0,Feuil1
2019,أريـــــــــانة,صيد التن,0.0,Feuil1
2019,أريـــــــــانة,تربية أحياء مائية,0.0,Feuil1
2019,أريـــــــــانة,صيدعلى الأقدام,0.0,Feuil1
2019,تـــــونــس,صيد ساحلي,1101.0,Feuil1
2019,تـــــونــس,صيد بالجر,611.0,Feuil1
2019,تـــــونــس,صيد السمك الأزرق,64.0,Feuil1
2019,تـــــونــس,صيد التن,0.0,Feuil1
2019,تـــــونــس,تربية أحياء مائية,0.0,Feuil1
2019,تـــــونــس,صيدعلى الأقدام,0.0,Feuil1
2019,بن عروس,صيد ساحلي,630.0,Feuil1
2019,بن عروس,صيد بالجر,0.0,Feuil1
2019,بن عروس,صيد السمك الأزرق,0.0,Feuil1
2019,بن عروس,صيد التن,0.0,Feuil1
2019,بن عروس,تربية أحياء مائية,6.0,Feuil1
2019,بن عروس,صيدعلى الأقدام,0.0,Feuil1
2019,نـــــــــابـل,صيد ساحلي,2333.0,Feuil1
2019,نـــــــــابـل,صيد بالجر,1260.0,Feuil1
2019,نـــــــــابـل,صيد السمك الأزرق,984.0,Feuil1
2019,نـــــــــابـل,صيد التن,14.0,Feuil1
2019,نـــــــــابـل,تربية أحياء مائية,56.0,Feuil1
2019,نـــــــــابـل,صيدعلى الأقدام,0.0,Feuil1
2019,ســــــــوســــــة,صيد ساحلي,1165.0,Feuil1
2019,ســــــــوســــــة,صيد بالجر,130.0,Feuil1
2019,ســــــــوســــــة,صيد السمك الأزرق,24.0,Feuil1
2019,ســــــــوســــــة,صيد التن,0.0,Feuil1
2019,ســــــــوســــــة,تربية أحياء مائية,51.0,Feuil1
2019,ســــــــوســــــة,صيدعلى الأقدام,0.0,Feuil1
2019,الــمــنـســتـيــــــر,صيد ساحلي,3385.0,Feuil1
2019,الــمــنـســتـيــــــر,صيد بالجر,180.0,Feuil1
2019,الــمــنـســتـيــــــر,صيد السمك الأزرق,1376.0,Feuil1
2019,الــمــنـســتـيــــــر,صيد التن,75.0,Feuil1
2019,الــمــنـســتـيــــــر,تربية أحياء مائية,484.0,Feuil1
2019,الــمــنـســتـيــــــر,صيدعلى الأقدام,0.0,Feuil1
2019,الـمــهــد يــــــة,صيد ساحلي,4058.0,Feuil1
2019,الـمــهــد يــــــة,صيد بالجر,1144.0,Feuil1
2019,الـمــهــد يــــــة,صيد السمك الأزرق,1232.0,Feuil1
2019,الـمــهــد يــــــة,صيد التن,84.0,Feuil1
2019,الـمــهــد يــــــة,تربية أحياء مائية,48.0,Feuil1
2019,الـمــهــد يــــــة,صيدعلى الأقدام,0.0,Feuil1
2019,صــفـــــــــــاقس,صيد ساحلي,9095.0,Feuil1
2019,صــفـــــــــــاقس,صيد بالجر,2556.0,Feuil1
2019,صــفـــــــــــاقس,صيد السمك الأزرق,168.0,Feuil1
2019,صــفـــــــــــاقس,صيد التن,336.0,Feuil1
2019,صــفـــــــــــاقس,تربية أحياء مائية,0.0,Feuil1
2019,صــفـــــــــــاقس,صيدعلى الأقدام,1000.0,Feuil1
2019,قـــــــــابـــس,صيد ساحلي,1933.0,Feuil1
2019,قـــــــــابـــس,صيد بالجر,0.0,Feuil1
2019,قـــــــــابـــس,صيد السمك الأزرق,825.0,Feuil1
2019,قـــــــــابـــس,صيد التن,45.0,Feuil1
2019,قـــــــــابـــس,تربية أحياء مائية,0.0,Feuil1
2019,قـــــــــابـــس,صيدعلى الأقدام,0.0,Feuil1
2019,مــــــدنــيـــــــن,صيد ساحلي,6636.0,Feuil1
2019,مــــــدنــيـــــــن,صيد بالجر,51.0,Feuil1
2019,مــــــدنــيـــــــن,صيد السمك الأزرق,365.0,Feuil1
2019,مــــــدنــيـــــــن,صيد التن,75.0,Feuil1
2019,مــــــدنــيـــــــن,تربية أحياء مائية,10.0,Feuil1
2019,مــــــدنــيـــــــن,صيدعلى الأقدام,0.0,Feuil1
2019,الـــــكـــاف,صيد ساحلي,,Feuil1
