inv_declare,nbr_adi,mois,secteur_activite,gouvernorat,feuille
870000,1,10,التحويل الأولي,أريانة,SQL Results
195280,1,10,التحويل الأولي,بنزرت,SQL Results
285410,6,10,الخدمات,قبلي,SQL Results
122069,4,10,الفلاحي,أريانة,SQL Results
296694,7,10,الخدمات,أريانة,SQL Results
1471420,11,10,الفلاحي,بن عروس,SQL Results
2905804,12,10,الفلاحي,زغوان,SQL Results
108286,3,10,الخدمات,قابس,SQL Results
90379,1,10,التحويل الأولي,قفصة,SQL Results
130000,3,10,الصيد البحري,المهدية,SQL Results
1545000,15,10,الفلاحي,سليانة,SQL Results
89800,2,10,الخدمات,المنستير,SQL Results
53000,2,10,الخدمات,سليانة,SQL Results
2317194,10,10,الفلاحي,تطاوين,SQL Results
261122,1,10,الصيد البحري,بنزرت,SQL Results
5570000,1,10,تربية الأحياء المائية,بنزرت,SQL Results
13275,1,11,التحويل الأولي,باجة,SQL Results
2536243,39,11,الفلاحي,القصرين,SQL Results
1187884,9,11,الفلاحي,توزر,SQL Results
102312,5,11,الخدمات,الكاف,SQL Results
2483912,1,11,تربية الأحياء المائية,بنزرت,SQL Results
1418256,5,11,الفلاحي,قبلي,SQL Results
4455918,16,11,الفلاحي,منــوبة,SQL Results
3608969,17,11,الفلاحي,قابس,SQL Results
3734245,16,11,الفلاحي,بن عروس,SQL Results
56136,1,11,الخدمات,القصرين,SQL Results
115380,3,11,الخدمات,قبلي,SQL Results
124300,3,11,الخدمات,المنستير,SQL Results
179413,3,11,الخدمات,سيدي بوزيد,SQL Results
8462300,29,11,الفلاحي,نابل,SQL Results
40500,1,11,الخدمات,توزر,SQL Results
1129322,16,11,الفلاحي,قفصة,SQL Results
149000,1,11,الفلاحي,الكاف,SQL Results
554481,5,11,الخدمات,نابل,SQL Results
2659363,26,11,الفلاحي,سيدي بوزيد,SQL Results
111880,1,11,الخدمات,منــوبة,SQL Results
1773455,17,11,الفلاحي,مدنين,SQL Results
1521000,15,11,الفلاحي,المهدية,SQL Results
109459,2,11,الصيد البحري,بنزرت,SQL Results
960406,15,11,الفلاحي,تطاوين,SQL Results
11582131,40,11,الفلاحي,القيروان,SQL Results
522000,12,11,الخدمات,القيروان,SQL Results
985329,13,11,الفلاحي,صفاقس,SQL Results
163324,5,11,الخدمات,جندوبة,SQL Results
687947,6,11,الفلاحي,زغوان,SQL Results
87464,2,11,الفلاحي,أريانة,SQL Results
134000,4,11,الصيد البحري,المهدية,SQL Results
1003000,14,11,الفلاحي,سليانة,SQL Results
41552,2,11,الخدمات,قابس,SQL Results
36000,3,11,الفلاحي,سوسة,SQL Results
8585,1,11,الخدمات,صفاقس,SQL Results
21323140,1,11,تربية الأحياء المائية,المهدية,SQL Results
824000,11,11,الخدمات,المهدية,SQL Results
126900,1,11,التحويل الأولي,قبلي,SQL Results
74983,2,11,الخدمات,أريانة,SQL Results
170000,1,11,التحويل الأولي,سوسة,SQL Results
6000,1,11,الخدمات,مدنين,SQL Results
1139816,6,11,الفلاحي,جندوبة,SQL Results
16906040,6,11,الفلاحي,باجة,SQL Results
127657,3,11,الخدمات,بن عروس,SQL Results
80000,2,11,الخدمات,سليانة,SQL Results
550,1,11,الصيد البحري,قابس,SQL Results
766935,2,11,الخدمات,قفصة,SQL Results
867,1,11,الصيد البحري,تــونس,SQL Results
121000,4,11,الخدمات,سوسة,SQL Results
255900,2,11,الخدمات,بنزرت,SQL Results
28000,1,11,التحويل الأولي,المهدية,SQL Results
106325,2,11,الخدمات,زغوان,SQL Results
868013,4,11,الصيد البحري,صفاقس,SQL Results
6717295,28,11,الفلاحي,بنزرت,SQL Results
247609,4,11,الخدمات,تطاوين,SQL Results
110619,2,11,الخدمات,تــونس,SQL Results
42500,1,11,التحويل الأولي,المنستير,SQL Results
6000000,1,11,تربية الأحياء المائية,نابل,SQL Results
36554,1,11,الخدمات,باجة,SQL Results
16976280,28,12,الفلاحي,قابس,SQL Results
222485,8,12,الخدمات,صفاقس,SQL Results
119400,2,12,الخدمات,قفصة,SQL Results
256800,8,12,الخدمات,المنستير,SQL Results
102200,3,12,الصيد البحري,المنستير,SQL Results
4100000,1,12,تربية الأحياء المائية,المنستير,SQL Results
1070432,5,12,الفلاحي,صفاقس,SQL Results
51125,4,12,الصيد البحري,المهدية,SQL Results
3908235,64,12,الفلاحي,نابل,SQL Results
179000,4,12,الخدمات,القيروان,SQL Results
38671,2,12,الخدمات,تطاوين,SQL Results
151500,4,12,الخدمات,سوسة,SQL Results
216940,2,12,الخدمات,سليانة,SQL Results
86500,3,12,الفلاحي,المنستير,SQL Results
168800,4,12,الخدمات,الكاف,SQL Results
342004,6,12,الخدمات,جندوبة,SQL Results
8365,2,12,الصيد البحري,صفاقس,SQL Results
1588845,15,12,الفلاحي,بن عروس,SQL Results
702141,9,12,الخدمات,المهدية,SQL Results
153080,2,12,الفلاحي,تطاوين,SQL Results
1065000,1,12,التحويل الأولي,بن عروس,SQL Results
2797784,20,12,الفلاحي,سيدي بوزيد,SQL Results
68700,1,12,الخدمات,باجة,SQL Results
5328955,86,12,الفلاحي,القصرين,SQL Results
1307174,16,12,الفلاحي,المهدية,SQL Results
1847835,34,12,الفلاحي,الكاف,SQL Results
4394,1,12,الصيد البحري,جندوبة,SQL Results
1022885,12,12,الفلاحي,مدنين,SQL Results
1456602,20,12,الفلاحي,القيروان,SQL Results
87583,1,12,الفلاحي,تــونس,SQL Results
340085,4,12,الفلاحي,باجة,SQL Results
2851410,10,12,الفلاحي,منــوبة,SQL Results
467450,7,12,الفلاحي,سوسة,SQL Results
179765,4,12,الخدمات,بن عروس,SQL Results
295000,3,12,التحويل الأولي,المهدية,SQL Results
156783,6,12,الفلاحي,جندوبة,SQL Results
1072922,9,12,الخدمات,سيدي بوزيد,SQL Results
205326,5,12,الخدمات,أريانة,SQL Results
39439,1,12,الخدمات,تــونس,SQL Results
971680,10,12,الفلاحي,سليانة,SQL Results
560094,19,12,الخدمات,نابل,SQL Results
370000,1,12,التحويل الأولي,القصرين,SQL Results
1618409,9,12,الفلاحي,زغوان,SQL Results
34184,3,12,الصيد البحري,بنزرت,SQL Results
100000,1,12,تربية الأحياء المائية,بنزرت,SQL Results
148660,4,12,الخدمات,قابس,SQL Results
44792,2,12,الصيد البحري,نابل,SQL Results
402167,1,12,الخدمات,منــوبة,SQL Results
105097,1,12,الخدمات,زغوان,SQL Results
167635,5,12,الخدمات,مدنين,SQL Results
4300,1,12,الصيد البحري,تــونس,SQL Results
561670,9,12,الفلاحي,أريانة,SQL Results
434965,4,12,الخدمات,بنزرت,SQL Results
249998,4,12,الخدمات,القصرين,SQL Results
860532,13,12,الفلاحي,قفصة,SQL Results
1306198,28,12,الفلاحي,بنزرت,SQL Results
