nbr_adi,mt_investissement_declaree,gouvernorat,delegation,secteur_activite,feuille
3,312500,المنستير,الوردانين,الفلاحي,SQL Results
3,1044800,بنزرت,غار الملح,الصيد البحري,SQL Results
1,88200,سوسة,سيدي عبد الحميد,الخدمات,SQL Results
6,667345,صفاقس,جبنيانة,الفلاحي,SQL Results
1,77574,سوسة,النفيضة,الخدمات,SQL Results
1,678000,باجة,نفزة,الخدمات,SQL Results
2,389159,نابل,منزل تميم,الخدمات,SQL Results
1,104000,مدنين,ميدون,الفلاحي,SQL Results
2,140117,قفصة,بلخير,الخدمات,SQL Results
1,71990,توزر,حزوة,الفلاحي,SQL Results
1,107138,القيروان,منزل المهيري,الخدمات,SQL Results
13,5600700,المهدية,الشابة,الصيد البحري,SQL Results
6,1022273,صفاقس,جبنيانة,الخدمات,SQL Results
11,826407,صفاقس,قرقنة,الخدمات,SQL Results
7,1960650,بنزرت,الغزالة,الفلاحي,SQL Results
14,2510560,صفاقس,بئر علي بن خليفة,الفلاحي,SQL Results
8,547610,سيدي بوزيد,جلمة,الخدمات,SQL Results
11,1113863,القصرين,العيون,الفلاحي,SQL Results
5,1065271,الكاف,تاجروين,الخدمات,SQL Results
5,706148,نابل,الهوارية,الخدمات,SQL Results
3,466635,باجة,تبرسق,الخدمات,SQL Results
3,705000,بنزرت,منزل جميل,تربية الأحياء المائية,SQL Results
5,200458,نابل,قربة,الفلاحي,SQL Results
7,842625,سيدي بوزيد,أولاد حفوز,الفلاحي,SQL Results
19,2340804,القيروان,سيدي عمر بوحجلة,الفلاحي,SQL Results
6,514714,قفصة,الرديف,الفلاحي,SQL Results
12,661914,جندوبة,واد مليز,الفلاحي,SQL Results
3,221012,قبلي,الفوار,الخدمات,SQL Results
5,384217,القيروان,حفوز,الفلاحي,SQL Results
2,171573,صفاقس,ساقية الدائر,الفلاحي,SQL Results
6,814237,القيروان,الشبيكة,الفلاحي,SQL Results
4,1447899,القصرين,حاسي الفريد,الفلاحي,SQL Results
2,17183,جندوبة,فرنانة,الخدمات,SQL Results
6,531183,سيدي بوزيد,سيدي بوزيد الغربية,الخدمات,SQL Results
5,136791,سليانة,مكثر,الفلاحي,SQL Results
3,187500,المهدية,المهدية,الخدمات,SQL Results
1,145805,سليانة,سليانة الجنوبية,الخدمات,SQL Results
12,881148,توزر,توزر,الفلاحي,SQL Results
2,186000,المهدية,شربان,الخدمات,SQL Results
2,312000,قابس,مطماطة الجديدة,الفلاحي,SQL Results
2,275000,باجة,قبلاط,الفلاحي,SQL Results
1,5325,القيروان,القيروان الشما لية,الخدمات,SQL Results
2,97500,تطاوين,تطاوين الجنوبية,الخدمات,SQL Results
2,292600,باجة,نفزة,الفلاحي,SQL Results
2,237798,قابس,المطوية,الخدمات,SQL Results
1,108616,القصرين,حيدرة,الفلاحي,SQL Results
1,1407000,تطاوين,رمادة,التحويل الأولي,SQL Results
1,109800,نابل,قربة,الخدمات,SQL Results
1,2600000,المهدية,الشابة,تربية الأحياء المائية,SQL Results
1,115104,بن عروس,المحمدية,الفلاحي,SQL Results
1,128628,نابل,الحمامات,الخدمات,SQL Results
1,501572,منــوبة,البطان,الخدمات,SQL Results
2,98216,تــونس,حلق الوادي,الصيد البحري,SQL Results
1,220196,باجة,قبلاط,الخدمات,SQL Results
2,722585,الكاف,الكاف الغربية,الفلاحي,SQL Results
1,85284,سيدي بوزيد,سيدي علي بن عون,الخدمات,SQL Results
4,476000,بنزرت,منزل بورقيبة,الفلاحي,SQL Results
5,469716,صفاقس,الحنشة,الفلاحي,SQL Results
8,423271,سيدي بوزيد,سيدي بوزيد الغربية,الفلاحي,SQL Results
2,159266,القيروان,القيروان الجنوبية,الخدمات,SQL Results
2,1370000,المهدية,قصور الساف,التحويل الأولي,SQL Results
13,1148300,قفصة,السند,الفلاحي,SQL Results
15,1886310,سيدي بوزيد,جلمة,الفلاحي,SQL Results
4,364025,قفصة,السند,الخدمات,SQL Results
7,1297000,منــوبة,المرناقية,الفلاحي,SQL Results
15,5973012,قابس,الحامة,الفلاحي,SQL Results
8,1209516,جندوبة,بلطة بوعوان,الخدمات,SQL Results
20,8528188,منــوبة,برج العامري,الفلاحي,SQL Results
1,135660,زغوان,زغوان,التحويل الأولي,SQL Results
15,4691512,زغوان,بئر مشارقة,الفلاحي,SQL Results
8,1144293,سيدي بوزيد,السعيدة,الفلاحي,SQL Results
7,1223266,نابل,قليبية,الصيد البحري,SQL Results
5,361004,جندوبة,واد مليز,الخدمات,SQL Results
1,67370,سوسة,سوسة الجوهرة,الخدمات,SQL Results
1,68875,قبلي,سوق الأحد,التحويل الأولي,SQL Results
2,14651000,المهدية,المهدية,الفلاحي,SQL Results
3,108853,بنزرت,بنزرت الشما لية,الخدمات,SQL Results
2,121958,قابس,مارث,الخدمات,SQL Results
6,683004,سليانة,الكريب,الفلاحي,SQL Results
4,343525,قفصة,قفصة الجنوبية,الخدمات,SQL Results
2,2703000,بن عروس,مرناق,التحويل الأولي,SQL Results
1,550000,المنستير,طبلبة,تربية الأحياء المائية,SQL Results
4,620944,نابل,بوعرقوب,الفلاحي,SQL Results
1,2500000,منــوبة,طبربة,التحويل الأولي,SQL Results
3,3122850,زغوان,صواف,الفلاحي,SQL Results
3,966000,بنزرت,أوتيك,الخدمات,SQL Results
4,308602,سيدي بوزيد,منزل بوزيان,الفلاحي,SQL Results
1,332125,القصرين,القصرين الجنوبية,التحويل الأولي,SQL Results
1,28000,المنستير,المنستير,تربية الأحياء المائية,SQL Results
3,286522,سيدي بوزيد,السعيدة,الخدمات,SQL Results
2,229130,القيروان,حفوز,الخدمات,SQL Results
1,105335,سوسة,كندار,الخدمات,SQL Results
2,104638,القيروان,حاجب العيون,الخدمات,SQL Results
2,41000,الكاف,قلعة سنان,الفلاحي,SQL Results
1,57900,القصرين,فوسانة,الخدمات,SQL Results
1,117850,قابس,مطماطة الجديدة,الخدمات,SQL Results
1,125500,مدنين,بني خداش,الخدمات,SQL Results
2,178122,صفاقس,طينة,الخدمات,SQL Results
1,96048,توزر,الحامة,الفلاحي,SQL Results
1,1800000,صفاقس,جبنيانة,التحويل الأولي,SQL Results
1,111000,صفاقس,صفاقس الجنوبية,التحويل الأولي,SQL Results
1,93040,سوسة,سوسة الرياض,الخدمات,SQL Results
1,264600,بنزرت,جرزونة,التحويل الأولي,SQL Results
1,387000,المهدية,سيدي علوان,الفلاحي,SQL Results
1,173885,نابل,قربة,التحويل الأولي,SQL Results
14,1303696,قفصة,بلخير,الفلاحي,SQL Results
12,2350029,بنزرت,ماطر,الفلاحي,SQL Results
19,2261825,منــوبة,الجديدة,الفلاحي,SQL Results
6,1499062,نابل,منزل بوزلفة,الفلاحي,SQL Results
25,5675878,بن عروس,مرناق,الفلاحي,SQL Results
18,2298889,القيروان,حاجب العيون,الفلاحي,SQL Results
49,4187690,القصرين,القصرين الجنوبية,الفلاحي,SQL Results
18,6792028,صفاقس,عقارب,الفلاحي,SQL Results
1,133485,القصرين,فريانة,الخدمات,SQL Results
4,401449,سيدي بوزيد,سبا لة أولاد عسكر,الخدمات,SQL Results
5,399016,قفصة,زانوش,الفلاحي,SQL Results
4,831296,بنزرت,بنزرت الجنوبية,الخدمات,SQL Results
1,91396,باجة,باجة الشما لية,الخدمات,SQL Results
3,266000,المنستير,طبلبة,الخدمات,SQL Results
6,1220500,المهدية,السواسي,الفلاحي,SQL Results
12,1315894,القيروان,السبيخة,الفلاحي,SQL Results
1,126200,سيدي بوزيد,المكناسي,التحويل الأولي,SQL Results
3,303926,القيروان,الشراردة,الخدمات,SQL Results
7,1295700,تطاوين,تطاوين الجنوبية,الفلاحي,SQL Results
16,5410235,زغوان,زغوان,الفلاحي,SQL Results
4,415707,سليانة,الكريب,الخدمات,SQL Results
8,675009,سيدي بوزيد,بئر الحفي,الفلاحي,SQL Results
1,91000,المنستير,صيادة لمطة بوحجر,الخدمات,SQL Results
1,25000,بنزرت,راس الجبل,الخدمات,SQL Results
9,1846015,الكاف,تاجروين,الفلاحي,SQL Results
1,462300,قابس,المطوية,التحويل الأولي,SQL Results
3,193484,سيدي بوزيد,الهيشرية,الفلاحي,SQL Results
2,336000,المهدية,أولاد الشامخ,الفلاحي,SQL Results
2,189000,المنستير,بني حسان,الفلاحي,SQL Results
1,61000,الكاف,ساقية سيدي يوسف,الخدمات,SQL Results
2,323233,الكاف,الكاف الشرقية,الخدمات,SQL Results
2,185500,قفصة,أم  العرائس,الخدمات,SQL Results
3,336000,تطاوين,غمراسن,الفلاحي,SQL Results
1,2087000,باجة,مجاز الباب,الخدمات,SQL Results
2,320000,المنستير,جمال,الفلاحي,SQL Results
3,545000,أريانة,المنيهلة,التحويل الأولي,SQL Results
1,112000,سليانة,قعفور,الخدمات,SQL Results
3,301000,بنزرت,غار الملح,الخدمات,SQL Results
2,136000,أريانة,رواد,الخدمات,SQL Results
1,25500,بنزرت,ماطر,الخدمات,SQL Results
1,85173,مدنين,حومة السوق,الخدمات,SQL Results
1,7832,توزر,تمغزة,الفلاحي,SQL Results
1,67896,جندوبة,طبرقة,الخدمات,SQL Results
3,326792,توزر,توزر,الخدمات,SQL Results
1,158300,الكاف,السرس,الخدمات,SQL Results
1,1950000,المهدية,الشابة,التحويل الأولي,SQL Results
2,173785,صفاقس,صفاقس الغربية,الخدمات,SQL Results
2,205400,بنزرت,سجنان,الخدمات,SQL Results
30,4130623,بنزرت,أوتيك,الفلاحي,SQL Results
9,729085,مدنين,بني خداش,الفلاحي,SQL Results
1,114000,سوسة,مساكن,الفلاحي,SQL Results
12,2680565,نابل,تاكلسة,الفلاحي,SQL Results
13,1035806,القصرين,سبيبة,الفلاحي,SQL Results
4,685185,القيروان,القيروان الشما لية,الفلاحي,SQL Results
6,663233,القيروان,الشراردة,الفلاحي,SQL Results
10,1168690,بنزرت,بنزرت الجنوبية,الفلاحي,SQL Results
28,2870632,القصرين,فريانة,الفلاحي,SQL Results
3,189767,توزر,دقاش,الفلاحي,SQL Results
2,138109,صفاقس,صفاقس المدينة,الخدمات,SQL Results
12,1438799,سليانة,سليانة الشما لية,الفلاحي,SQL Results
15,1392935,سيدي بوزيد,سيدي بوزيد الشرقية,الفلاحي,SQL Results
3,472277,مدنين,حومة السوق,الفلاحي,SQL Results
23,3197782,جندوبة,بوسا لم,الفلاحي,SQL Results
2,288108,سوسة,سيدي بوعلي,الفلاحي,SQL Results
4,232625,زغوان,الناظور,الفلاحي,SQL Results
16,2396366,القيروان,القيروان الجنوبية,الفلاحي,SQL Results
8,557346,جندوبة,فرنانة,الفلاحي,SQL Results
13,1324526,قفصة,سيدي عيش,الفلاحي,SQL Results
1,407556,باجة,تستور,التحويل الأولي,SQL Results
11,1406358,جندوبة,جندوبة,الفلاحي,SQL Results
6,501000,تطاوين,الصمّار,الفلاحي,SQL Results
2,196100,أريانة,قلعة الأندلس,الصيد البحري,SQL Results
3,782000,المهدية,المهدية,تربية الأحياء المائية,SQL Results
1,81000,المهدية,الشابة,الفلاحي,SQL Results
3,173554,قبلي,قبلي الجنوبية,الخدمات,SQL Results
23,3923979,زغوان,الفحص,الفلاحي,SQL Results
1,127553,نابل,منزل تميم,الفلاحي,SQL Results
1,299300,المنستير,المنستير,الصيد البحري,SQL Results
6,4289830,سليانة,برقو,الفلاحي,SQL Results
9,1527524,سليانة,قعفور,الفلاحي,SQL Results
2,297263,بنزرت,راس الجبل,الفلاحي,SQL Results
3,205000,المهدية,شربان,الفلاحي,SQL Results
5,303000,سليانة,سيدي بورويس,الفلاحي,SQL Results
2,99170,مدنين,مدنين الشما لية,الخدمات,SQL Results
1,86500,أريانة,سكرة,الخدمات,SQL Results
1,142636,سيدي بوزيد,سوق الجديد,الخدمات,SQL Results
3,340087,قبلي,سوق الأحد,الخدمات,SQL Results
1,25694,أريانة,أريانة المدينة,الخدمات,SQL Results
3,242860,تــونس,حلق الوادي,الخدمات,SQL Results
1,3500,الكاف,الدهماني,الخدمات,SQL Results
1,129712,توزر,دقاش,الخدمات,SQL Results
