date,nom_ar,nom_fr,unite,valeur
2026-04-02 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-02 11:00:00,L'humidité du sol,L'humidité du sol,mV,553.9
2026-04-02 09:00:00,Température,Température,°C,14.4
2026-04-02 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-02 09:00:00,L'humidité du sol,L'humidité du sol,mV,553.4
2026-04-02 07:00:00,Température,Température,°C,14.5
2026-04-02 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-02 07:00:00,L'humidité du sol,L'humidité du sol,mV,553.3
2026-04-02 05:00:00,L'humidité du sol,L'humidité du sol,mV,553.2
2026-04-02 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-02 05:00:00,Température,Température,°C,14.7
2026-04-02 03:00:00,L'humidité du sol,L'humidité du sol,mV,553.2
2026-04-02 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-02 03:00:00,Température,Température,°C,14.8
2026-04-02 01:00:00,L'humidité du sol,L'humidité du sol,mV,553.1
2026-04-02 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-02 01:00:00,Température,Température,°C,14.9
2026-04-01 23:00:00,L'humidité du sol,L'humidité du sol,mV,553.1
2026-04-01 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-01 23:00:00,Température,Température,°C,15.0
2026-04-01 21:00:00,L'humidité du sol,L'humidité du sol,mV,553.2
2026-04-01 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-01 21:00:00,Température,Température,°C,15.1
2026-04-01 19:00:00,L'humidité du sol,L'humidité du sol,mV,552.9
2026-04-01 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-01 19:00:00,Température,Température,°C,15.1
2026-04-01 17:00:00,L'humidité du sol,L'humidité du sol,mV,553.1
2026-04-01 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-01 17:00:00,Température,Température,°C,15.0
2026-04-01 15:00:00,L'humidité du sol,L'humidité du sol,mV,552.8
2026-04-01 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-01 15:00:00,Température,Température,°C,14.9
2026-04-01 13:00:00,L'humidité du sol,L'humidité du sol,mV,552.8
2026-04-01 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-01 13:00:00,Température,Température,°C,14.8
2026-04-01 11:00:00,L'humidité du sol,L'humidité du sol,mV,553.1
2026-04-01 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-01 11:00:00,Température,Température,°C,14.8
2026-04-01 09:00:00,L'humidité du sol,L'humidité du sol,mV,552.7
