unnamed_0,feuille,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,توزيع_المشاريع_الفلاحية_من_صنفي_ب_وج_حسب_القطاع,الموشرات,المنجزة,في_طور_الانجاز,indicateurs
الفحص,Agric16,72.5,73.0,73.5,,,,36.2,33.0,38.0,Fahs,1654,,,,,,,,,
الناظور,Agric16,45,45.0,46.0,,,,4.6,4.1,4.3,Nadhour,1655,,,,,,,,,
صواف,Agric16,38,38.0,38.5,9100,9500.0,9900.0,2.8,2.5,2.4,Saouaf,1656,,,,,,,,,
المجموع,Agric16,285,286.0,289.0,78000,87500.0,72500.0,81.99999999999999,75.0,84.00000000000001,TOTAL,,,,,,,,,,
المـصدر : المندوبية  الجهوية للتنمية الفلاحية,Agric16,,,,,,,,,,,Source : Commissariat Régional au Développement Agricole,,,,,,,,,
"تطور وتوزيع الإستثمارات المصادق عليها من صنفي (ب ,ج)",Agric17,,,,,,,,,,,,,,,,,,,,
"Evolution  et répartition des investissements des catégories ""B"" et ""C""agrées",Agric17,,,,,,,,,,,,,,,,,,,,
المعتمدية,Agric17,عدد المشاريع,,,حجم الإستثمار (م.د),,,مواطن الشغل,,,Délégation,Code-Géographique,,,,,,,,,
,Agric17,Nbre de projets,,,Investissements (M.D),,,Emploi,,,,,,,,,,,,,
,Agric17,2015,2016.0,2017.0,2015,2016.0,2017.0,2015,2016.0,2017.0,,,,,,,,,,,
زغوان,Agric17,31,25.0,14.0,4.942,1.403,1.223,47,10.0,10.0,Zaghouan,1651,,,,,,,,,
الزريبة,Agric17,10,11.0,8.0,1.971,1.358,0.612,1,9.0,8.0,Zriba,1652,,,,,,,,,
بئر مشارقة,Agric17,30,34.0,36.0,6.37,1.811,2.735,23,3.0,25.0,Bir Mchergua,1653,,,,,,,,,
الفحص,Agric17,43,53.0,44.0,8.135,45.513,7.393,21,81.0,48.0,Fahs,1654,,,,,,,,,
الناظور,Agric17,8,6.0,11.0,0.496,0.385,0.669,1,3.0,11.0,Nadhour,1655,,,,,,,,,
صواف,Agric17,4,1.0,6.0,2.801,0.099,6.788,16,0.0,5.0,Saouaf,1656,,,,,,,,,
المجمـوع,Agric17,126,130.0,119.0,24.714999999999996,50.568999999999996,19.42,109,106.0,107.0,Total,,,,,,,,,,
المصدر: وكالة النهوض بالإستثمارات الفلاحية,Agric17,,,,,,,,,,,Source: A.P.I.A,,,,,,,,,
,Agric18,,,,,"توزيع المشاريع الفلاحية من صنفي ""ب"" و""ج"" حسب المعتمدية",,,,,,,,,,,,,,,
,Agric18,,,,,,,,"Répartition des projets agricoles des catégories ""B"" et ""C"" par délégation",,,,,,,,,,,,
السنة: 2017,Agric18,,,,,,,,,,Année: 2017,,,,,,,,,,
المعتمدية,Agric18,المشاريع المصرح بها,,,المشاريع المصادق عليها,,,المشاريع المنجزة,,,Délégation,Code-Géographique,,,,,,,,,
,Agric18,Projets déclarés,,,Projets approuvés,,,Projets réalisés,,,,,,,,,,,,,
,Agric18,العدد,الإستثمار (م.د),مواطن الشغل,العدد,الإستثمار (م.د),مواطن الشغل,العدد,الإستثمار (م.د),مواطن الشغل,,,,,,,,,,,
,Agric18,Nombre,Investissement (mD),Emplois,Nombre,Investissement (mD),Emplois,Nombre,Investissement (mD),Emplois,,,,,,,,,,,
زغوان,Agric18,62,8.135,90,14,1.223,10,,,,Zaghouan,1651,,,,,,,,,
الزريبة,Agric18,15,15.95,20,8,0.612,8,,,,Zriba,1652,,,,,,,,,
بئر مشارقة,Agric18,53,5.361,70,36,2.735,25,,,,Bir Mchergua,1653,,,,,,,,,
الفحص,Agric18,77,11.738,95,44,7.393,48,,,,Fahs,1654,,,,,,,,,
الناظور,Agric18,27,2.776,32,11,0.669,11,,,,Nadhour,1655,,,,,,,,,
صواف,Agric18,10,0.404,15,6,6.788,5,,,,Saouaf,1656,,,,,,,,,
المجموع,Agric18,244,44.364,322,119,19.42,107,,,,,,,,,,,,,,
المصدر: وكالة النهوض بالإستثمارات الفلاحية,Agric18,,,,,,,,,,,Source: Agence de promotion des investissements agricoles,,,,,,,,,
,Agric19,,,,,,,,"Répartition des projets agricoles des catégories ""B"" et ""C"" n selon le secteur",,,,,,,,,,,,
السنة:2017,Agric19,,,,,,,,,,Année: 2017,,,,,,,,,,
القطاع,Agric19,المشاريع المصرح بها,,,المشاريع المصادق عليها,,,المشاريع المنجزة,,,Secteur,,,,,,,,,,
,Agric19,Projets déclarés,,,Projets approuvés,,,Projets réalisés,,,,,,,,,,,,,
,Agric19,العدد,الإستثمار (م.د),مواطن الشغل,العدد,,مواطن الشغل,العدد,الإستثمار (م.د),مواطن الشغل,,,,,,,الإستثمار (م.د),,,,
,Agric19,Nombre,Investissement (mD),Emplois,Nombre,,Emplois,Nombre,Investissement (mD),Emplois,,,,,,,Investissement (mD),,,,
الفلاحة,Agric19,,,,,,,,,,Agriculture,,,,,,,,,,
الصيد البحري وتربية الأحياء المائية,Agric19,,,,,,,,,,Pêche et aquaculture,,,,,,,,,,
الخدمات الفلاحية,Agric19,,,,,,,,,,Services agricoles,,,,,,,,,,
المجموع,Agric19,,,,,,,,,,Total,,,,,,,,,,
,Agric19,,,,,,,,,,,,,,,,,,,,
المصدر: وكالة النهوض بالإستثمارات الفلاحية,Agric19,,,,,,,,,,,,,,,,Source: Agence de promotion des investissements agricoles,,,,
,Agric20,,,,,,,,,,,,,,,,,,,,
تطور معاصر زيت الزيتون,Agric20,,,,,,,,,,,,,,,,,,,,
Evolution du nombre des huileries,Agric20,,,,,,,,,,,,,,,,,,,,
المعتمدية,Agric20,عدد المعاصر,,,طاقة التحويل طن/24س,,,طاقة الخزن بالطن,,,Délégation,Code-Géographique,,,,,,,,,
,Agric20,Nbre de huileries,,,Capacité de transformation,,,Capacité de stokage,,,,,,,,,,,,,
,Agric20,2015,2016.0,2017.0,2015,2016.0,2017.0,2015,2016.0,2017.0,,,,,,,,,,,
زغوان,Agric20,8,8.0,10.0,420,420.0,550.0,1145,1145.0,1200.0,Zaghouan,1651,,,,,,,,,
الزريبة,Agric20,5,6.0,5.0,414,416.0,414.0,790,810.0,810.0,Zriba,1652,,,,,,,,,
بئر مشارقة,Agric20,2,2.0,3.0,180,180.0,240.0,900,900.0,960.0,Bir Mchergua,1653,,,,,,,,,
الفحص,Agric20,9,9.0,8.0,489,489.0,540.0,650,650.0,650.0,Fahs,1654,,,,,,,,,
الناظور,Agric20,8,8.0,8.0,555,555.0,580.0,2075,2075.0,2075.0,Nadhour,1655,,,,,,,,,
صواف,Agric20,,,0.0,,,,0,0.0,,Saouaf,1656,,,,,,,,,
المجمـوع,Agric20,32,33.0,34.0,2058,2060.0,2324.0,5560,5580.0,5695.0,Total,,,,,,,,,,
,Agric21,,,,,,,,,,,,,,,,,,,,
مراكز تجميع الحليب حسب المعتمدية,Agric21,,,,,,,,,,,,,,,,,,,,
Evolution de la collecte du lait par délégation,Agric21,,,,,,,,,,,,,,,,,,,,
المعتمدية,Agric21,مراكز التجميع,,,طاقة التبريد لتر/يوم,,,الكمية المجمعة (طن),,,Délégation,Code-Géographique,,,,,,,,,
,Agric21,Centre de collecte,,,Quantité de refroidissement,,,Quantité collecté (tonne),,,,,,,,,,,,,
,Agric21,2015,2016.0,2017.0,2015,2016.0,2017.0,2015,2016.0,2017.0,,,,,,,,,,,
زغوان,Agric21,,,,,,,,,,Zaghouan,1651,,,,,,,,,
الزريبة,Agric21,,,,,,,,,,Zriba,1652,,,,,,,,,
بئر مشارقة,Agric21,,,,,,,,,,Bir Mchergua,1653,,,,,,,,,
الفحص,Agric21,2,1.0,1.0,26000,18000.0,18000.0,1312.258,983.888,711.0,Fahs,1654,,,,,,,,,
الناظور,Agric21,,,,,,,,,,Nadhour,1655,,,,,,,,,
صواف,Agric21,,,,,,,,,,Saouaf,1656,,,,,,,,,
المجمـوع,Agric21,2,1.0,1.0,26000,18000.0,18000.0,1312.258,983.888,711.0,Total,,,,,,,,,,
,Agricult22,,,,,,,,,,,,,,,,,,,,
,Agricult22,التمثيلية المؤسساتية لقطاع الفلاحة حسب المعتمدبة,,,,,,,,,,,,,,,,,,,
,Agricult22,Représentativité Institutionnelle de l'agriculture par délégation,,,,,,,,,,,,,,,,,,,
,Agricult22,المعتمدية,عدد الإدارات  Nombre d'administrations,,الإطارات,Cadres,الأعوان,Agents,DELEGATION,Code-Géographique,,,,,,,,,,,
,Agricult22,,الجهوية,المحلية*,المجموع,منهم إناث,المجموع,منهم إناث,,,,,,,,,,,,,
,Agricult22,,Régionales,Locales,Total,Dont féminin,Total,Dont féminin,,,,,,,,,,,,,
,Agricult22,زغوان,,,69,28,360,63,Zaghouan,1651,,,,,,,,,,,
,Agricult22,الزريبة,,,3,1,30,7,Zriba,1652,,,,,,,,,,,
,Agricult22,بئر مشارقة,,,2,0,10,2,Bir Mchergua,1653,,,,,,,,,,,
,Agricult22,الفحص,,,6,1,140,2,Fahs,1654,,,,,,,,,,,
,Agricult22,الناظور,,,6,2,94,2,Nadhour,1655,,,,,,,,,,,
,Agricult22,صواف,,,2,1,21,1,Saouaf,1656,,,,,,,,,,,
,Agricult22,الولاية,,,88,33,655,77,GOUVERNORAT,,,,,,,,,,,,
,Agricult22,ملاحظة: معطيات تخص فقط أعوان المندوبية الجهوية للتنمية الفلاحية بزغوان ولا تهم جميع مؤسسات قطاع الفلاحة والصيد البحري المتواجدة بالجهة,,,,,,,,,,,,,,,,,,,
,Agricult22,*: تهم الدوائر الفرعية للانتاج الحيواني والدوائر الفرعية للغابات ومراكز الغابات وخلية الإرشاد الفلاحي ومراكز الإشعاع الفلاحي,,,,,,,,,,,,,,,,,,,
,Environnement,,,,,,,,,,,,,,,,,,Réalisé,,
,Environnement,,2016.0,2017.0,,,,,,,,,,,,,,,2015,en cours de réalisation,
,Environnement,,,,,,,,,,,,,,,,,التصرف في النفايات الصلبة,,,Gestion des ordures
,Environnement,,1.0,1.0,,,,,,,,,,,,,,عدد المصبات المراقبة,1,,Décharges contrôlés
,Environnement,,,,,,,,,,,,,,,,,عدد مراكز التحويل,,5,centres de transfert
,Environnement,,,,,,,,,,,,,,,,,كمية النفايات المرفوعة من قبل شركات الرسكلة (طن),,,Quantités ramacées par les sociétés de recyclage en T
,Environnement,,,,,,,,,,,,,,,,,تطهير المياه المستعملة,,,Assinissement des eaux usées
,Environnement,,3.0,3.0,,,,,,,,,,,,,,عدد محطات التطهير,3,1,Stations d'épuration
,Environnement,,1.53,,,,,,,,,,,,,,,كميات المياه المجمعة (م م3),1.51,,Quantités des eaux en Mm3
,Environnement,,1.53,,,,,,,,,,,,,,,كميات المياه المعالجة (م م3),1.51,,Quantités des eaux traitées en Mm3
,Environnement,,,,,,,,,,,,,,,,,المياه المعالجة المستغلة في الري الفلاحي,,,Utilisation des eaux traitées en irrigation
,Environnement,,0.031,0.176,,,,,,,,,,,,,,الكمية (م م3),0.031,,Quantités en Mm3
,Environnement,,30.0,60.5,,,,,,,,,,,,,,المساحة المروية (هك),30,,utilisation des eaux en irrigation en Mm3
,Environnement,,,,,,,,,,,,,,,,,المساحات الخضراء,,,Zones Vertes
,Environnement,,16.25,16.25,,,,,,,,,,,,,,مساحة المناطق الخضراء لكل ساكن في الوسط الحضري (م2 /س),16.25,,Zones vertes par habitant milieu communal en m2
,Environnement,,1.0,,,,,,,,,,,,,,,عدد المنتزهات الحضرية,1,,Parcs de loisirs milieu communal
,Environnement,,10.0,,,,,,,,,,,,,,,المساحة الجملية للمنتزهات (هك),10,,Superficie glabale en Ha
,Environnement,,2.0,,,,,,,,,,,,,,,المساحة المهيأة للمنتزهات (هك),2,,Superficie ménagée en Ha
,Environnement,,,,,,,,,,,,,,,,,نوعية الهواء,,,Qualité de l'air
,Environnement,,,,,,,,,,,,,,,,,عدد المحطات الثابتة لمراقبة نوعية الهواء,,,Station fixe de contrôle de l'air
,Environnement,,,,,,,,,,,,,,,,,الغابات و التنوع البيولوجي,,,Forêt et diversification biologique
,Environnement,,2024.0,2024.0,,,,,,,,,,,,,,مساحة الحدائق الوطنية (هك),2024,,Jardins publics en Ha
,Environnement,,,,,,,,,,,,,,,,,مساحة المحميات الطبيعية (هك),,,Parc naturel
,Environnement,,77.5,92.5,,,,,,,,,,,,,,الغراسات الغابية (هك),102,,Plantation Forestière
,Environnement,,46.0,42.0,,,,,,,,,,,,,,الغراسات الرعوية (هك),7,,Paturages
,Environnement,,,,,,,,,,,,,,,,,الاستغلال الزراعي,,,Exploitation Agricole
,Environnement,,,,,,,,,,,,,,,,,الأراضي الفلاحية المروية المجهزة بتقنيات الاقتصاد في الماء,,,"Superficies Agricoles équipées ""économie d'eau"""
,Environnement,,10593.0,10806.0,,,,,,,,,,,,,,المساحة (هك),10159,,Superficies Agricoles en Ha
,Environnement,,76.0,76.0,,,,,,,,,,,,,,النسبة (%),75,,%
,Environnement,,33000.0,35000.0,,,,,,,,,,,,,,المساحة المخصصة للفلاحة البيولوجية (هك),30000,,Superficie agricole biologique en Ha
